OBJECTID,GEOID10,Under18_Tot,Under5_Tot,Under5_ER,Under5_Hosp,FivePlus_Tot,FivePlus_ER,Tot_ER_Visits,Tot_Hosp_Visits,AsthmaCt,Diabetes1Ct,Diabetes2Ct,DiabetesOtherCt,PctUndr5ER,PctOvr5ER,PctAsthma,PctDiabetes,Shape__Area,Shape__Length
1017,2604903420,111.0,59.0,20.0,39.0,52.0,20.0,40.0,71.0,,0,0,0,0.338983050847458,0.384615384615385,,0.0,1012017265.90527,127257.640588777
1018,2601376000,,,,,,,,,,0,0,0,,,,,4451171312.42383,314611.335615285
1019,2601345560,155.0,74.0,19.0,55.0,81.0,26.0,45.0,110.0,,0,0,0,0.256756756756757,0.320987654320988,,0.0,7532865562.00977,476578.609458492
1020,2601318600,,,,,,,,,,0,0,0,,,,,5494714091.00977,347163.120386754
1021,2601305340,110.0,56.0,17.0,39.0,54.0,19.0,36.0,74.0,,0,0,0,0.303571428571429,0.351851851851852,,0.0,5242039496.56836,366523.383165678
1022,2601303660,9.0,,,,7.0,,,6.0,,0,0,0,,,,0.0,3678921676.66797,285661.712510778
1023,2601300000,,,,,,,,,,0,0,0,,,,,3525611011.0,374202.932521464
1024,2616331420,1037.0,492.0,171.0,321.0,545.0,222.0,393.0,644.0,43.0,0,0,0,0.347560975609756,0.407339449541284,0.0414657666345227,0.0,163613420.73291,62312.224615879
1025,2616328360,249.0,121.0,44.0,77.0,128.0,56.0,100.0,149.0,6.0,0,0,0,0.363636363636364,0.4375,0.0240963855421687,0.0,186077241.592285,72126.2956192803
1026,2616324740,572.0,291.0,106.0,185.0,281.0,125.0,231.0,341.0,38.0,6,0,0,0.36426116838488,0.444839857651246,0.0664335664335664,0.0104895104895105,102903587.437988,44604.550957262
1027,2616322000,37219.0,19575.0,7186.0,12389.0,17644.0,7906.0,15092.0,22127.0,5159.0,179,49,0,0.367100893997446,0.448084334618,0.138611999247696,0.0061259034364168,3982545920.93945,432496.835470933
1028,2616321020,2850.0,1344.0,450.0,894.0,1506.0,647.0,1097.0,1753.0,124.0,9,0,0,0.334821428571429,0.429614873837981,0.0435087719298246,0.0031578947368421,327593535.846436,149857.404861752
1029,2616321000,3487.0,1761.0,603.0,1158.0,1726.0,722.0,1325.0,2162.0,179.0,31,0,0,0.342419080068143,0.418308227114716,0.0513335245196444,0.0088901634642959,682177492.152344,139871.763679059
