OBJECTID,GEOID,NAME,B27011_001E,B27011_002E,B27011_003E,B27011_004E,B27011_005E,B27011_006E,B27011_007E,B27011_008E,B27011_009E,B27011_010E,B27011_011E,B27011_012E,B27011_013E,B27011_014E,B27011_015E,B27011_016E,B27011_017E,ACS_VINTAGE,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,TRACT_LABEL
70,53033005304,"Census Tract 53.04, King County, Washington",1737,656,593,569,457,112,24,63,54,43,11,9,1081,982,898,88,99,5Y20,Seattle,7.2,7.0,University District,"University District, Cowen Park, Ravenna",53.04
71,53033005305,"Census Tract 53.05, King County, Washington",2017,1266,1218,1130,880,250,88,48,13,0,13,35,751,524,498,26,227,5Y20,Seattle,7.2,7.0,University District,"University District, Cowen Park, Ravenna",53.05
72,53033005306,"Census Tract 53.06, King County, Washington",3524,1733,1696,1605,1501,104,91,37,37,37,0,0,1791,1601,1213,388,190,5Y20,Seattle,7.2,7.0,University District,"University District, Cowen Park, Ravenna",53.06
73,53033005307,"Census Tract 53.07, King County, Washington",2573,1346,1168,1152,955,242,16,178,178,178,12,0,1227,1141,1103,41,86,5Y20,Seattle,7.2,7.0,University District,"University District, Cowen Park, Ravenna",53.07
74,53033005401,"Census Tract 54.01, King County, Washington",2889,2668,2635,2567,2543,24,68,33,33,33,0,0,221,215,183,32,6,5Y20,Seattle,11.1,11.0,Fremont,"Fremont, Wallingford, Northlake",54.01
75,53033005402,"Census Tract 54.02, King County, Washington",2729,2433,2310,2310,2196,175,0,123,123,36,87,0,296,288,189,112,8,5Y20,Seattle,11.1,11.0,Fremont,"Fremont, Wallingford, Northlake",54.02
76,53033005600,"Census Tract 56, King County, Washington",3744,3116,2992,2970,2946,40,22,124,124,75,66,0,628,607,604,3,21,5Y20,Seattle,12.1,12.0,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",56.0
77,53033005700,"Census Tract 57, King County, Washington",4472,3777,3666,3540,3427,177,126,111,111,111,0,0,695,695,613,115,0,5Y20,Seattle,12.1,12.0,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",57.0
78,53033005801,"Census Tract 58.01, King County, Washington",5212,4717,4673,4583,4445,168,90,44,44,44,0,0,495,488,451,164,7,5Y20,Seattle,12.2,12.0,Interbay,Interbay,58.01
79,53033005803,"Census Tract 58.03, King County, Washington",2311,1960,1825,1808,1699,128,17,135,135,34,101,0,351,351,128,223,0,5Y20,Seattle,12.2,12.0,Interbay,Interbay,58.03
80,53033005804,"Census Tract 58.04, King County, Washington",1986,1801,1705,1480,1467,13,225,96,96,64,32,0,185,165,165,0,20,5Y20,Seattle,12.2,12.0,Interbay,Interbay,58.04
81,53033005901,"Census Tract 59.01, King County, Washington",3389,2784,2649,2561,2303,391,88,135,128,120,8,7,605,588,534,72,17,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",59.01
82,53033005902,"Census Tract 59.02, King County, Washington",2798,2349,2288,2262,2093,219,26,61,61,41,20,0,449,449,348,101,0,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",59.02
83,53033006000,"Census Tract 60, King County, Washington",4995,4281,4232,3849,3700,238,383,49,49,49,0,0,714,685,598,113,29,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",60.0
84,53033006100,"Census Tract 61, King County, Washington",4499,4007,3875,3728,3678,108,147,132,132,132,12,0,492,451,396,67,41,5Y20,Seattle,7.1,7.0,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",61.0
85,53033006200,"Census Tract 62, King County, Washington",2922,2659,2538,2518,2455,63,20,121,121,72,49,0,263,263,230,40,0,5Y20,Seattle,7.1,7.0,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",62.0
86,53033006300,"Census Tract 63, King County, Washington",3280,2763,2317,2317,2241,105,0,446,446,446,0,0,517,504,487,52,13,5Y20,Seattle,6.5,6.0,Madison Park,"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine",63.0
87,53033006400,"Census Tract 64, King County, Washington",2377,1942,1843,1835,1751,95,8,99,99,56,43,0,435,435,397,38,0,5Y20,Seattle,6.4,6.0,Miller Park,"Madison-Miller, Miller Park, Capitol Hill, Stevens",64.0
88,53033006500,"Census Tract 65, King County, Washington",3784,3368,3188,3021,2996,25,167,180,180,101,107,0,416,416,339,77,0,5Y20,Seattle,6.3,6.0,North Capitol Hill,"North Capitol Hill, Capitol Hill, North Broadway",65.0
89,53033006600,"Census Tract 66, King County, Washington",3942,3595,3490,3459,3412,47,31,105,105,89,33,0,347,332,286,79,15,5Y20,Seattle,11.3,11.0,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",66.0
90,53033006701,"Census Tract 67.01, King County, Washington",2956,2734,2630,2630,2630,0,0,104,86,86,0,18,222,222,222,0,0,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",67.01
91,53033006702,"Census Tract 67.02, King County, Washington",2536,2239,2139,2130,2081,49,9,100,100,0,100,0,297,297,289,8,0,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",67.02
92,53033006703,"Census Tract 67.03, King County, Washington",2919,2348,2259,2227,2145,82,32,89,89,75,14,0,571,571,518,53,0,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",67.03
93,53033006800,"Census Tract 68, King County, Washington",2190,1931,1887,1887,1829,58,0,44,44,44,0,0,259,226,216,10,33,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",68.0
94,53033006900,"Census Tract 69, King County, Washington",3294,2960,2889,2708,2668,64,181,71,71,20,51,0,334,321,257,64,13,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",69.0
95,53033007001,"Census Tract 70.01, King County, Washington",2931,2560,2273,2055,1850,205,218,287,56,27,29,231,371,371,203,188,0,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",70.01
96,53033007002,"Census Tract 70.02, King County, Washington",2988,2794,2718,2562,2519,77,156,76,76,37,39,0,194,194,81,146,0,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",70.02
97,53033007101,"Census Tract 71.01, King County, Washington",2667,2385,2316,2261,2146,115,55,69,63,36,27,6,282,250,115,135,32,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",71.01
98,53033007102,"Census Tract 71.02, King County, Washington",2145,1973,1959,1959,1896,63,0,14,14,14,0,0,172,172,121,51,0,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",71.02
99,53033007201,"Census Tract 72.01, King County, Washington",4515,3523,3452,3299,3225,171,153,71,38,38,0,33,992,992,815,233,0,5Y20,Seattle,11.3,11.0,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",72.01
100,53033007202,"Census Tract 72.02, King County, Washington",2794,2556,2457,2255,2183,72,202,99,90,82,42,9,238,207,177,30,31,5Y20,Seattle,11.3,11.0,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",72.02
101,53033007203,"Census Tract 72.03, King County, Washington",3045,2623,2623,2504,2504,0,119,0,0,0,0,0,422,285,229,56,137,5Y20,Seattle,11.3,11.0,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",72.03
102,53033007301,"Census Tract 73.01, King County, Washington",2495,2279,2015,1988,1978,10,27,264,264,184,80,0,216,209,119,112,7,5Y20,Seattle,11.3,11.0,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",73.01
103,53033007302,"Census Tract 73.02, King County, Washington",3939,3582,3390,3305,3187,210,85,192,99,61,38,93,357,335,124,211,22,5Y20,Seattle,11.3,11.0,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",73.02
104,53033007303,"Census Tract 73.03, King County, Washington",1787,1668,1620,1620,1608,19,0,48,48,48,0,0,119,119,47,87,0,5Y20,Seattle,11.3,11.0,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",73.03
105,53033007403,"Census Tract 74.03, King County, Washington",2974,2719,2695,2520,2387,149,175,24,16,16,0,8,255,205,80,125,50,5Y20,Seattle,6.2,6.0,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",74.03
