OBJECTID,LBAS_NO,SBAS_NO,SUBREGION,RBAS_NO,REGIONAL,MBAS_NO,MAJOR,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
516,4318-02,4318,Hop Brook,43,Farmington,4,Connecticut,507.62701416,0.79316699,24611.8697016266,-22112230.0779513
517,4300-42,4300,Farmington River,43,Farmington,4,Connecticut,557.21002197,0.87063997,29828.6092413859,-24272047.1385817
518,3100-06,3100,Willimantic River,31,Willimantic,3,Thames,280.24700927,0.43788701,20616.0316387216,-12207581.1476234
519,4318-01,4318,Hop Brook,43,Farmington,4,Connecticut,645.96899414,1.00933003,26983.2242334623,-28138397.4450216
520,4303-04,4303,Still River,43,Farmington,4,Connecticut,454.14300537,0.70959901,24017.939512445,-19782491.8906064
521,3206-06,3206,Mount Hope River,32,Natchaug,3,Thames,628.53601074,0.98208802,29361.4722008052,-27379025.9636374
522,3201-07,3201,Bungee Brook,32,Natchaug,3,Thames,724.18200683,1.13153994,32529.3225107566,-31545395.0075157
523,6901-06,6901,Hall Meadow Brook,69,Naugatuck,6,Housatonic,440.92098999,0.68893802,18484.9222749919,-19206501.9632614
524,6905-01,6905,East Branch Naugatuck River,69,Naugatuck,6,Housatonic,545.42401123,0.85222601,25427.890597668,-23758692.6224496
525,4207-01,4207,Ketch Brook,42,Scantic,4,Connecticut,1307.94995117,2.04366993,36700.9921504375,-56974363.3587184
526,4502-01,4502,Marsh Brook,45,Hockanum,4,Connecticut,590.74700927,0.92304301,28214.0689863705,-25732951.5043679
527,3207-04,3207,Fenton River,32,Natchaug,3,Thames,546.82598876,0.85441601,23788.2752824211,-23819750.2897826
528,3403-05,3403,Cady Brook,34,Fivemile,3,Thames,768.5960083,1.20092999,31521.974111018,-33480040.9917596
529,4500-00,4500,Hockanum River,45,Hockanum,4,Connecticut,11556.40039062,18.05690002,297683.815756909,-503396346.817242
530,6000-10,6000,Housatonic River,60,Housatonic Main Stem,6,Housatonic,1048.26000976,1.63791,42519.561252811,-45662258.7543468
531,3206-08,3206,Mount Hope River,32,Natchaug,3,Thames,1262.67004394,1.97291994,41662.7826498999,-55001992.5581098
532,4200-26,4200,Scantic River,42,Scantic,4,Connecticut,860.66802978,1.34478998,32428.412081851,-37490709.3136542
533,4318-00,4318,Hop Brook,43,Farmington,4,Connecticut,2940.91992187,4.59519004,90818.6900394426,-128106495.881841
534,4300-52,4300,Farmington River,43,Farmington,4,Connecticut,594.36798095,0.92870098,22928.4477660424,-25890689.563935
535,3700-19,3700,Quinebaug River,37,Quinebaug,3,Thames,341.14001464,0.53303098,19448.1758992281,-14860052.7017917
536,4318-05,4318,Hop Brook,43,Farmington,4,Connecticut,888.5170288,1.38830995,31923.1184559111,-38703788.01897
537,6901-05,6901,Hall Meadow Brook,69,Naugatuck,6,Housatonic,604.19396972,0.94405299,24597.7862490456,-26318688.8436442
538,4000-15,4000,Connecticut River,40,Connecticut Main Stem,4,Connecticut,621.48498535,0.971071,24066.759515165,-27071902.229343
539,4000-12,4000,Connecticut River,40,Connecticut Main Stem,4,Connecticut,380.36499023,0.59432101,22448.9278606231,-16568710.4418463
540,3700-17,3700,Quinebaug River,37,Quinebaug,3,Thames,806.47399902,1.26012003,36366.5896756291,-35130019.1202594
541,4305-04,4305,Morgan Brook,43,Farmington,4,Connecticut,633.17901611,0.98934197,32009.9564770335,-27581277.6614516
542,3403-01,3403,Cady Brook,34,Fivemile,3,Thames,759.315979,1.18642997,34474.2815489358,-33075820.9182823
543,3100-11,3100,Willimantic River,31,Willimantic,3,Thames,1950.58996582,3.04780006,64445.1349450236,-84967709.7784934
544,4502-00,4502,Marsh Brook,45,Hockanum,4,Connecticut,1325.84997558,2.07164001,62374.3372389112,-57753872.3028543
545,3710-09,3710,Mashamoquet Brook,37,Quinebaug,3,Thames,335.0750122,0.52355498,19348.131789574,-14595875.0536743
546,6301-06,6301,Indian Lake Creek,63,Tenmile,6,Housatonic,1302.43005371,2.03504991,46344.4673402097,-56733894.0220537
547,3206-02,3206,Mount Hope River,32,Natchaug,3,Thames,320.23800659,0.50037199,23647.0999492886,-13949572.9320953
548,4305-01,4305,Morgan Brook,43,Farmington,4,Connecticut,362.81900024,0.566904,24403.0960164873,-15804375.3085219
549,6000-09,6000,Housatonic River,60,Housatonic Main Stem,6,Housatonic,420.34899902,0.65679502,21296.6579853524,-18310400.8269867
550,4000-16,4000,Connecticut River,40,Connecticut Main Stem,4,Connecticut,669.5949707,1.04623997,28814.7196576136,-29167566.8461142
551,4308-18,4308,East Branch Farmington River,43,Farmington,4,Connecticut,1244.55004882,1.94460999,40633.286216627,-54212728.5391308
552,4309-03,4309,Cherry Brook,43,Farmington,4,Connecticut,782.80401611,1.22312998,35661.2083323288,-34098950.8434297
553,3203-13,3203,Bigelow Brook,32,Natchaug,3,Thames,317.92001342,0.49674901,20635.7569263477,-13848580.458971
554,3400-16,3400,Fivemile River,34,Fivemile,3,Thames,519.10101318,0.81109601,20844.6894201684,-22612061.9035382
555,6008-01,6008,Mill Brook,60,Housatonic Main Stem,6,Housatonic,169.86500549,0.26541501,14565.1333823116,-7399332.88830921
556,3710-08,3710,Mashamoquet Brook,37,Quinebaug,3,Thames,577.90502929,0.90297597,24842.934337333,-25173530.0362829
557,3207-05,3207,Fenton River,32,Natchaug,3,Thames,662.67999267,1.03543996,27583.839191528,-28866339.3885161
558,4502-06,4502,Marsh Brook,45,Hockanum,4,Connecticut,529.15997314,0.82681202,21838.6777811597,-23050189.3300186
559,3403-03,3403,Cady Brook,34,Fivemile,3,Thames,177.82099914,0.27784499,14760.746851614,-7745870.65953429
560,6008-00,6008,Mill Brook,60,Housatonic Main Stem,6,Housatonic,2228.63989257,3.48223996,84608.77078735,-97079366.0859408
561,4300-09,4300,Farmington River,43,Farmington,4,Connecticut,472.79400634,0.73874098,20857.8100801747,-20594918.3265489
562,6009-00,6009,Carse Brook,60,Housatonic Main Stem,6,Housatonic,2341.30004882,3.6582899,72208.571600906,-101987210.353131
563,6200-01,6200,Hollenbeck River,62,Hollenbeck,6,Housatonic,735.78399658,1.14965999,27095.5346957883,-32050763.9519965
564,4300-47,4300,Farmington River,43,Farmington,4,Connecticut,1717.31005859,2.68329,51191.8045258432,-74805881.8469028
565,3106-03,3106,Skungamaug River,31,Willimantic,3,Thames,459.60900878,0.71813899,21852.8310680267,-20020567.7466919
566,4302-13,4302,Mad River,43,Farmington,4,Connecticut,732.08197021,1.14388,32575.1624331177,-31889507.2630386
567,3710-01,3710,Mashamoquet Brook,37,Quinebaug,3,Thames,536.63201904,0.83848798,22221.925759559,-23375705.0551165
568,3400-13,3400,Fivemile River,34,Fivemile,3,Thames,315.64300537,0.49319198,19280.2158145702,-13749390.1435471
569,4207-00,4207,Ketch Brook,42,Scantic,4,Connecticut,3103.4099121,4.84907007,75336.2597741262,-135184350.570147
570,4300-48,4300,Farmington River,43,Farmington,4,Connecticut,814.13098144,1.27207994,28691.1033724919,-35463541.8695343
571,4501-06,4501,Charters Brook,45,Hockanum,4,Connecticut,343.45498657,0.53664797,18775.5521280098,-14960887.3067766
572,4310-00,4310,Nepaug River,43,Farmington,4,Connecticut,7688.99023437,12.01410007,185383.753626821,-334932465.978143
573,6701-01,6701,Marshepaug River,67,Shepaug,6,Housatonic,2480.4399414,3.87568998,58222.0109210911,-108047966.324435
574,4300-39,4300,Farmington River,43,Farmington,4,Connecticut,388.08300781,0.60637897,20141.127814003,-16904882.0558047
575,4500-01,4500,Hockanum River,45,Hockanum,4,Connecticut,609.10699462,0.95173001,24795.8174894744,-26532722.2145131
576,4000-17,4000,Connecticut River,40,Connecticut Main Stem,4,Connecticut,1303.63000488,2.03692007,31411.4574039678,-56786054.8065728
577,3106-04,3106,Skungamaug River,31,Willimantic,3,Thames,937.15802001,1.46431005,28370.5159872762,-40822589.0485959
578,6902-01,6902,Hart Brook,69,Naugatuck,6,Housatonic,263.66699218,0.41197898,16276.4386360197,-11485317.2326551
579,6301-07,6301,Indian Lake Creek,63,Tenmile,6,Housatonic,630.7199707,0.98550099,29669.1403865408,-27474181.8276048
580,4300-41,4300,Farmington River,43,Farmington,4,Connecticut,440.9460144,0.68897801,28222.7231812321,-19207594.2731641
581,3206-07,3206,Mount Hope River,32,Natchaug,3,Thames,637.83001708,0.99660897,30868.1732295723,-27783867.5616332
582,4300-10,4300,Farmington River,43,Farmington,4,Connecticut,982.79797363,1.53561997,45216.4224151182,-42810672.3047513
583,3709-02,3709,Wappoquia Brook,37,Quinebaug,3,Thames,888.06097412,1.38759994,31830.5384744622,-38683945.8825081
584,4300-54,4300,Farmington River,43,Farmington,4,Connecticut,722.74102783,1.12927997,30408.7316797478,-31482600.3287129
585,3202-07,3202,Still River,32,Natchaug,3,Thames,2084.19995117,3.2565701,46125.9518237507,-90787905.167751
586,4502-02,4502,Marsh Brook,45,Hockanum,4,Connecticut,244.08599853,0.38138499,15989.2881258661,-10632387.3343295
587,3207-06,3207,Fenton River,32,Natchaug,3,Thames,870.15399169,1.35960996,29528.7450954201,-37903893.5995254
588,3709-01,3709,Wappoquia Brook,37,Quinebaug,3,Thames,399.83401489,0.62474101,22207.7347807687,-17416775.0894211
589,6008-03,6008,Mill Brook,60,Housatonic Main Stem,6,Housatonic,216.12800598,0.3377,14424.6628891187,-9414525.77888571
590,4404-01,4404,North Branch Park River,44,Park,4,Connecticut,390.23699951,0.60974502,22034.3145610524,-16998717.4944302
591,4502-04,4502,Marsh Brook,45,Hockanum,4,Connecticut,221.98599243,0.34685298,14567.7444111948,-9669695.3003255
592,4309-05,4309,Cherry Brook,43,Farmington,4,Connecticut,1054.1899414,1.64717996,35798.2478444819,-45920697.3631665
593,6705-01,6705,Bantam River,67,Shepaug,6,Housatonic,2586.73999023,4.04177999,73859.5714364305,-112678312.360273
594,3400-19,3400,Fivemile River,34,Fivemile,3,Thames,613.35601806,0.958368,27526.0233857355,-26717775.5049093
595,6905-02,6905,East Branch Naugatuck River,69,Naugatuck,6,Housatonic,1137.42004394,1.77722001,38221.0525540567,-49545954.4723936
596,6904-05,6904,West Branch Naugatuck River,69,Naugatuck,6,Housatonic,1060.70996093,1.65735995,39754.3521709874,-46204511.3202668
597,4300-55,4300,Farmington River,43,Farmington,4,Connecticut,311.95800781,0.48743501,17808.3035242465,-13588899.2523831
598,3710-00,3710,Mashamoquet Brook,37,Quinebaug,3,Thames,2262.45996093,3.53508996,96925.2464619748,-98552729.6302398
599,3400-14,3400,Fivemile River,34,Fivemile,3,Thames,275.31100463,0.43017399,16263.4565836666,-11992561.1972902
600,3400-15,3400,Fivemile River,34,Fivemile,3,Thames,541.65802001,0.84634101,26270.8560458931,-23594627.230043
601,3106-06,3106,Skungamaug River,31,Willimantic,3,Thames,861.25097656,1.34570002,29125.448980887,-37516087.6889815
602,4502-03,4502,Marsh Brook,45,Hockanum,4,Connecticut,485.23001098,0.75817197,23658.4634348044,-21136607.488462
603,3203-14,3203,Bigelow Brook,32,Natchaug,3,Thames,1058.94995117,1.65460002,34654.5680955718,-46127719.8909529
604,4502-05,4502,Marsh Brook,45,Hockanum,4,Connecticut,92.54489898,0.144601,12096.7350783744,-4031255.87545432
605,4318-06,4318,Hop Brook,43,Farmington,4,Connecticut,246.2290039,0.38473299,16991.8541230909,-10725746.7875292
606,3100-08,3100,Willimantic River,31,Willimantic,3,Thames,480.74899291,0.75116997,21526.099250298,-20941434.3388597
607,3710-10,3710,Mashamoquet Brook,37,Quinebaug,3,Thames,253.24699401,0.39569801,14759.8304095698,-11031414.6758077
608,3404-01,3404,Whetstone Brook,34,Fivemile,3,Thames,1003.65002441,1.56819999,34954.6869665844,-43718776.6934287
609,3206-09,3206,Mount Hope River,32,Natchaug,3,Thames,899.13500976,1.40489995,38811.1699859595,-39166301.4448463
610,3205-02,3205,Squaw Hollow Brook,32,Natchaug,3,Thames,699.02301025,1.09221994,28874.825916574,-30449419.1705782
611,4300-40,4300,Farmington River,43,Farmington,4,Connecticut,288.20498657,0.45032098,15030.5445508555,-12554233.8521341
612,6009-01,6009,Carse Brook,60,Housatonic Main Stem,6,Housatonic,769.67602539,1.20262002,29494.6577148527,-33527105.3153841
613,6008-02,6008,Mill Brook,60,Housatonic Main Stem,6,Housatonic,477.54699707,0.74616801,21243.4459415941,-20801960.3928735
614,4300-56,4300,Farmington River,43,Farmington,4,Connecticut,397.79800415,0.62155902,17654.4660985902,-17328074.0139723
615,4200-28,4200,Scantic River,42,Scantic,4,Connecticut,1499.16003417,2.34243988,54722.3787667456,-65303561.2110357
616,6902-02,6902,Hart Brook,69,Naugatuck,6,Housatonic,1038.57995605,1.62278997,39218.9098793188,-45240692.2471362
617,4500-02,4500,Hockanum River,45,Hockanum,4,Connecticut,457.46600341,0.71479099,22538.1613007478,-19927218.6922277
618,4303-02,4303,Still River,43,Farmington,4,Connecticut,926.97998046,1.44841003,35778.2914432736,-40379255.4705599
619,3710-07,3710,Mashamoquet Brook,37,Quinebaug,3,Thames,2080.13989257,3.25022006,57215.4299502627,-90610891.7884311
620,4310-04,4310,Nepaug River,43,Farmington,4,Connecticut,885.60797119,1.38375997,34416.2642708092,-38577074.5424786
621,4318-04,4318,Hop Brook,43,Farmington,4,Connecticut,1472.97998046,2.30152988,51827.1157183222,-64162950.8582693
622,6301-09,6301,Indian Lake Creek,63,Tenmile,6,Housatonic,863.51599121,1.34923994,28727.3222650491,-37614772.368252
623,4300-57,4300,Farmington River,43,Farmington,4,Connecticut,484.57998657,0.75715601,23905.9700900304,-21108311.9944347
624,4303-03,4303,Still River,43,Farmington,4,Connecticut,525.06500244,0.820414,30934.8781432564,-22871820.1298456
625,4310-05,4310,Nepaug River,43,Farmington,4,Connecticut,1201.02001953,1.87660002,39742.5175665612,-52316628.4582773
626,4404-00,4404,North Branch Park River,44,Park,4,Connecticut,5309.14013671,8.29553031,155860.476414939,-231266146.027857
627,3404-00,3404,Whetstone Brook,34,Fivemile,3,Thames,2968.26000976,4.63789987,98952.8796300922,-129297227.257141
628,6701-02,6701,Marshepaug River,67,Shepaug,6,Housatonic,888.24499511,1.38787996,31544.6082781379,-38691945.8848476
629,4321-01,4321,Mill Brook,43,Farmington,4,Connecticut,358.46301269,0.560099,25396.0862527442,-15614663.7866701
630,6008-04,6008,Mill Brook,60,Housatonic Main Stem,6,Housatonic,556.17199707,0.86901897,26613.8660054741,-24226874.0046387
631,3400-17,3400,Fivemile River,34,Fivemile,3,Thames,766.52197265,1.19769001,33151.1960561136,-33389708.120275
632,4404-02,4404,North Branch Park River,44,Park,4,Connecticut,715.84002685,1.11849999,26758.8745000628,-31182006.0470526
633,3205-00,3205,Squaw Hollow Brook,32,Natchaug,3,Thames,1081.1899414,1.68935,47004.0648720494,-47096451.7468587
634,3207-07,3207,Fenton River,32,Natchaug,3,Thames,1489.89001464,2.32795,49127.0690374071,-64899562.9488207
635,4309-04,4309,Cherry Brook,43,Farmington,4,Connecticut,396.5369873,0.61958897,20551.9614528636,-17273157.8886701
636,6009-02,6009,Carse Brook,60,Housatonic Main Stem,6,Housatonic,348.23999023,0.54412597,21338.1466469657,-15169350.1615527
637,4321-00,4321,Mill Brook,43,Farmington,4,Connecticut,3151.82006835,4.92471981,94825.5258324633,-137293288.774809
638,6302-00,6302,Mill Brook,63,Tenmile,6,Housatonic,3293.26000976,5.14572,115283.149601854,-143454465.843667
639,4200-27,4200,Scantic River,42,Scantic,4,Connecticut,551.12097167,0.86112701,20261.4034415725,-24006827.9286089
640,4310-03,4310,Nepaug River,43,Farmington,4,Connecticut,668.73199462,1.04489004,46099.9341623527,-29129954.170611
641,4321-03,4321,Mill Brook,43,Farmington,4,Connecticut,183.05499267,0.286024,16485.8446357836,-7973886.48048788
642,4300-12,4300,Farmington River,43,Farmington,4,Connecticut,713.36798095,1.11463999,34183.3195387553,-31074310.688925
643,4300-11,4300,Farmington River,43,Farmington,4,Connecticut,268.55599975,0.41961801,20086.287903453,-11698284.4660491
644,4300-14,4300,Farmington River,43,Farmington,4,Connecticut,849.11401367,1.32674002,30993.9688968964,-36987418.8710846
645,3404-03,3404,Whetstone Brook,34,Fivemile,3,Thames,899.85302734,1.40602004,30967.548172829,-39197576.9704175
646,3700-21,3700,Quinebaug River,37,Quinebaug,3,Thames,144.58900451,0.22592,15779.811799195,-6298292.88867076
647,3710-13,3710,Mashamoquet Brook,37,Quinebaug,3,Thames,349.28201293,0.545753,19227.8029524624,-15214714.0440158
648,3710-11,3710,Mashamoquet Brook,37,Quinebaug,3,Thames,1654.03002929,2.58441996,41389.6950489133,-72049470.0833238
649,3100-09,3100,Willimantic River,31,Willimantic,3,Thames,525.98999023,0.821859,25417.8891540776,-22912107.0808902
650,3106-05,3106,Skungamaug River,31,Willimantic,3,Thames,241.75900268,0.37774899,19981.9319244911,-10531037.2544009
651,4318-03,4318,Hop Brook,43,Farmington,4,Connecticut,2013.36999511,3.14590001,57694.7571027034,-87702526.2262349
652,3106-09,3106,Skungamaug River,31,Willimantic,3,Thames,704.54699707,1.10084998,29273.4571952462,-30690049.4658457
653,3700-23,3700,Quinebaug River,37,Quinebaug,3,Thames,1340.51000976,2.09454989,42815.8431633199,-58392757.6208091
654,6904-04,6904,West Branch Naugatuck River,69,Naugatuck,6,Housatonic,231.86199951,0.362284,16022.0906012368,-10099889.9744649
655,6705-02,6705,Bantam River,67,Shepaug,6,Housatonic,1207.27001953,1.88635003,45420.0840516522,-52588536.2170511
656,4004-00,4004,Podunk River,40,Connecticut Main Stem,4,Connecticut,5620.9399414,8.78271961,151104.929369828,-244848138.943849
657,3400-18,3400,Fivemile River,34,Fivemile,3,Thames,314.65399169,0.491647,20222.4832815167,-13706324.536268
658,4503-01,4503,Tankerhoosen River,45,Hockanum,4,Connecticut,695.4420166,1.08662998,28617.4964236627,-30293435.3931684
659,3710-17,3710,Mashamoquet Brook,37,Quinebaug,3,Thames,237.67199707,0.371362,14198.2126529783,-10352989.5986445
660,4300-38,4300,Farmington River,43,Farmington,4,Connecticut,392.36401367,0.61306798,17342.8733588748,-17091359.0550579
661,3200-02,3200,Natchaug River,32,Natchaug,3,Thames,2083.11010742,3.25485992,48798.6933242514,-90740273.0756581
662,3700-22,3700,Quinebaug River,37,Quinebaug,3,Thames,226.65600585,0.35414999,14267.5227623105,-9873123.96264059
663,6010-01,6010,Furnace Brook,60,Housatonic Main Stem,6,Housatonic,1426.54003906,2.22897005,59227.3934745477,-62140250.9581604
664,6010-06,6010,Furnace Brook,60,Housatonic Main Stem,6,Housatonic,996.5670166,1.55713999,41966.7937046395,-43410446.805372
665,4404-09,4404,North Branch Park River,44,Park,4,Connecticut,1935.08996582,3.02358007,56050.3049069433,-84292600.1042622
666,6000-12,6000,Housatonic River,60,Housatonic Main Stem,6,Housatonic,910.01599121,1.42190003,37178.0825481515,-39640288.3982463
667,3206-10,3206,Mount Hope River,32,Natchaug,3,Thames,1504.84997558,2.35133004,45060.7226507815,-65551379.6147273
668,6010-07,6010,Furnace Brook,60,Housatonic Main Stem,6,Housatonic,212.86999511,0.33261001,17240.8528858145,-9272622.67641494
669,3200-00,3200,Natchaug River,32,Natchaug,3,Thames,10284.40039062,16.06929969,258266.450780715,-447987530.823479
670,6302-01,6302,Mill Brook,63,Tenmile,6,Housatonic,1146.39001464,1.79122996,35313.8614266352,-49936686.4447783
671,4404-10,4404,North Branch Park River,44,Park,4,Connecticut,1323.53002929,2.06801009,39039.9259356708,-57652812.2622534
672,6903-00,6903,Nickel Mine Brook,69,Naugatuck,6,Housatonic,2266.91992187,3.54206991,69517.7291622823,-98747176.0522524
673,6302-04,6302,Mill Brook,63,Tenmile,6,Housatonic,697.90399169,1.09047996,23225.0000414325,-30400710.086447
674,4317-00,4317,Nod Brook,43,Farmington,4,Connecticut,3322.9399414,5.19210004,90150.2260959003,-144747416.06616
675,6011-04,6011,Guinea Brook,60,Housatonic Main Stem,6,Housatonic,1513.19995117,2.3643701,44856.5221049227,-65914879.9279014
676,6904-00,6904,West Branch Naugatuck River,69,Naugatuck,6,Housatonic,3062.94995117,4.78586006,87879.8407305305,-133422225.745358
677,3200-01,3200,Natchaug River,32,Natchaug,3,Thames,1159.97998046,1.81245994,36803.7374874118,-50528520.1003191
678,4300-15,4300,Farmington River,43,Farmington,4,Connecticut,531.77197265,0.83089298,21181.9998683069,-23163969.3795119
679,4312-01,4312,Roaring Brook,43,Farmington,4,Connecticut,833.92602539,1.30300998,30996.2960887211,-36325806.7952419
680,3710-12,3710,Mashamoquet Brook,37,Quinebaug,3,Thames,267.1329956,0.417396,16148.07612558,-11636329.9174416
681,4503-05,4503,Tankerhoosen River,45,Hockanum,4,Connecticut,647.40997314,1.01157999,31005.6626189668,-28201192.9960005
682,3100-10,3100,Willimantic River,31,Willimantic,3,Thames,427.46701049,0.66791701,23612.3391946442,-18620450.3156469
683,4500-03,4500,Hockanum River,45,Hockanum,4,Connecticut,634.190979,0.990924,25522.9182185027,-27625369.2820727
684,4000-18,4000,Connecticut River,40,Connecticut Main Stem,4,Connecticut,1200.67004394,1.87603998,50994.1563553359,-52300998.5544403
685,6010-08,6010,Furnace Brook,60,Housatonic Main Stem,6,Housatonic,205.52099609,0.32112601,16261.3257099419,-8952492.84944634
686,4300-37,4300,Farmington River,43,Farmington,4,Connecticut,264.79299926,0.41373899,19785.2036237809,-11534375.2496619
687,4310-08,4310,Nepaug River,43,Farmington,4,Connecticut,593.00201416,0.926566,27335.8763609183,-25831165.7859863
688,3100-12,3100,Willimantic River,31,Willimantic,3,Thames,399.26901245,0.62385797,19415.385708429,-17392156.4841337
689,3205-03,3205,Squaw Hollow Brook,32,Natchaug,3,Thames,647.14300537,1.01116001,28035.3272934331,-28189573.7608212
690,3106-07,3106,Skungamaug River,31,Willimantic,3,Thames,1067.0,1.66717994,39925.2602417499,-46478441.2339088
691,4500-04,4500,Hockanum River,45,Hockanum,4,Connecticut,731.41699218,1.14284002,39843.056001831,-31860518.8773736
692,6000-11,6000,Housatonic River,60,Housatonic Main Stem,6,Housatonic,437.7869873,0.68404197,24086.9456638623,-19069998.2369087
693,4500-06,4500,Hockanum River,45,Hockanum,4,Connecticut,318.7579956,0.49805998,20080.1653104051,-13885107.6181943
694,4503-02,4503,Tankerhoosen River,45,Hockanum,4,Connecticut,680.2869873,1.06295001,27605.5365134117,-29633306.0286739
695,4300-13,4300,Farmington River,43,Farmington,4,Connecticut,454.03900146,0.70943599,22364.2123281453,-19777938.844843
696,3404-09,3404,Whetstone Brook,34,Fivemile,3,Thames,614.86297607,0.96072298,23596.1832008176,-26783430.9733257
697,6703-00,6703,West Branch Bantam River,67,Shepaug,6,Housatonic,4572.25976562,7.14415979,101548.179922775,-199167710.620435
698,4503-00,4503,Tankerhoosen River,45,Hockanum,4,Connecticut,3504.9399414,5.47648,91918.3528023073,-152675381.079603
699,6904-02,6904,West Branch Naugatuck River,69,Naugatuck,6,Housatonic,254.62600708,0.39785298,17400.8272433666,-11091500.4630758
700,6703-01,6703,West Branch Bantam River,67,Shepaug,6,Housatonic,409.81399536,0.64033401,30143.0090923736,-17851475.2998595
701,3100-13,3100,Willimantic River,31,Willimantic,3,Thames,940.64599609,1.46975994,29786.6180526414,-40974532.2274664
702,3710-14,3710,Mashamoquet Brook,37,Quinebaug,3,Thames,1138.60998535,1.77908003,39822.7753570194,-49598010.8327874
703,6904-01,6904,West Branch Naugatuck River,69,Naugatuck,6,Housatonic,629.75598144,0.983994,35486.1002049685,-27432179.3874309
704,3400-20,3400,Fivemile River,34,Fivemile,3,Thames,461.93301391,0.72176998,25152.5924103374,-20121793.1475906
705,3710-16,3710,Mashamoquet Brook,37,Quinebaug,3,Thames,181.22799682,0.28316798,15756.1083035927,-7894277.44185798
706,6701-00,6701,Marshepaug River,67,Shepaug,6,Housatonic,3723.92993164,5.81864023,105273.310290789,-162214445.017749
707,4303-01,4303,Still River,43,Farmington,4,Connecticut,374.3580017,0.58493399,22914.5254191771,-16307017.1314019
708,4300-16,4300,Farmington River,43,Farmington,4,Connecticut,1322.60998535,2.06658005,51029.7545870178,-57613075.2313011
709,4500-05,4500,Hockanum River,45,Hockanum,4,Connecticut,492.14498901,0.76897698,23515.8904018458,-21437853.8037833
710,4300-34,4300,Farmington River,43,Farmington,4,Connecticut,459.85198974,0.71851897,25812.7879418719,-20031173.152254
711,4300-35,4300,Farmington River,43,Farmington,4,Connecticut,328.90200805,0.51390898,20479.5141657048,-14326954.7863374
712,3404-02,3404,Whetstone Brook,34,Fivemile,3,Thames,849.15197753,1.32679998,27375.0827106013,-36989075.77091
713,6302-02,6302,Mill Brook,63,Tenmile,6,Housatonic,1049.80004882,1.64031004,33989.6465299136,-45729318.7548283
714,3100-17,3100,Willimantic River,31,Willimantic,3,Thames,2070.01000976,3.23439002,69749.0449795669,-90169709.9998876
715,6010-09,6010,Furnace Brook,60,Housatonic Main Stem,6,Housatonic,741.2670288,1.15822994,25577.0235268521,-32289568.4387846
716,4321-02,4321,Mill Brook,43,Farmington,4,Connecticut,425.15499877,0.66430497,21765.4522634201,-18519753.0227669
717,4500-10,4500,Hockanum River,45,Hockanum,4,Connecticut,334.06600952,0.52197802,20932.91342959,-14551903.6545523
718,3207-11,3207,Fenton River,32,Natchaug,3,Thames,1323.72998046,2.06833004,41003.3957146434,-57661810.2475139
719,4004-01,4004,Podunk River,40,Connecticut Main Stem,4,Connecticut,1784.73999023,2.78866004,67726.035615385,-77743329.2927301
720,3106-10,3106,Skungamaug River,31,Willimantic,3,Thames,461.74798583,0.72148197,22116.3581549613,-20113750.5101448
721,4000-19,4000,Connecticut River,40,Connecticut Main Stem,4,Connecticut,1106.80004882,1.72938001,33251.8701855894,-48212218.1946977
722,3207-08,3207,Fenton River,32,Natchaug,3,Thames,69.52159881,0.10862699,11214.6566270394,-3028358.84149025
723,6010-00,6010,Furnace Brook,60,Housatonic Main Stem,6,Housatonic,1673.94995117,2.61554002,58609.5998319839,-72917098.981835
724,3711-00,3711,Blackwell Brook,37,Quinebaug,3,Thames,6057.62011718,9.46502971,205175.478158468,-263869936.014454
725,4300-58,4300,Farmington River,43,Farmington,4,Connecticut,485.41000366,0.75845199,20580.7648630616,-21144440.7088853
726,4310-02,4310,Nepaug River,43,Farmington,4,Connecticut,1594.85998535,2.49196004,41433.6230689149,-69471978.9946999
727,3206-12,3206,Mount Hope River,32,Natchaug,3,Thames,1135.28002929,1.77388,36752.0140216925,-49452845.6147125
728,4000-23,4000,Connecticut River,40,Connecticut Main Stem,4,Connecticut,385.3580017,0.60212099,20983.4064672299,-16786178.066317
729,3710-18,3710,Mashamoquet Brook,37,Quinebaug,3,Thames,1519.90002441,2.37484002,59760.2796359329,-66206703.2022398
730,4500-07,4500,Hockanum River,45,Hockanum,4,Connecticut,439.68600463,0.68700897,20203.0873409071,-19152708.6308176
731,6700-01,6700,Shepaug River,67,Shepaug,6,Housatonic,4001.41992187,6.25221014,131041.42603931,-174301676.290286
732,6904-03,6904,West Branch Naugatuck River,69,Naugatuck,6,Housatonic,156.49299621,0.24451999,12519.5654726984,-6816830.21565837
733,4300-33,4300,Farmington River,43,Farmington,4,Connecticut,339.98098754,0.53122097,18969.8210148512,-14809578.7303237
734,4312-00,4312,Roaring Brook,43,Farmington,4,Connecticut,3353.25,5.23944997,96334.327319869,-146067477.230814
735,3710-15,3710,Mashamoquet Brook,37,Quinebaug,3,Thames,814.83001708,1.27316999,30222.623510303,-35494005.6011438
736,4404-03,4404,North Branch Park River,44,Park,4,Connecticut,357.49700927,0.55858898,17481.5735967651,-15572583.3145634
737,4300-36,4300,Farmington River,43,Farmington,4,Connecticut,732.71899414,1.14487004,25242.8730955029,-31917264.0286737
738,4310-09,4310,Nepaug River,43,Farmington,4,Connecticut,268.84899902,0.42007601,17751.1784397702,-11711053.6758354
