OBJECTID,LBAS_NO,SBAS_NO,SUBREGION,RBAS_NO,REGIONAL,MBAS_NO,MAJOR,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
1791,3605-01,3605,Billings Brook,36,Pachaug,3,Thames,1498.93005371,2.34208011,42504.0317888322,-65293389.5643579
1792,8101-01,8101,Quaker Brook,81,Croton,8,Hudson,836.89898681,1.30764997,28686.9425557532,-36455297.9600351
1793,6916-09,6916,Hop Brook,69,Naugatuck,6,Housatonic,1325.86999511,2.07168006,41195.2769758454,-57755042.5290865
1794,3003-02,3003,Poquetanuck Brook,30,Thames Main Stem,3,Thames,548.1630249,0.85650497,30577.5639204929,-23877999.4009468
1795,4710-08,4710,Moodus River,47,Salmon,4,Connecticut,565.92999267,0.88426601,21612.5195917452,-24651905.5682743
1796,3906-04,3906,Gardner Brook,39,Yantic,3,Thames,354.57998657,0.55403202,17629.0684035813,-15445523.900717
1797,3000-00,3000,Thames River,30,Thames Main Stem,3,Thames,9187.38964843,14.35529994,257708.552427728,-400202881.492395
1798,4013-10,4013,Sumner Brook,40,Connecticut Main Stem,4,Connecticut,383.49899291,0.59921699,19756.5805307194,-16705218.7467356
1799,3001-01,3001,Trading Cove Brook,30,Thames Main Stem,3,Thames,368.40100097,0.57562601,21393.6870653336,-16047533.2644913
1800,4710-00,4710,Moodus River,47,Salmon,4,Connecticut,4138.72021484,6.46675014,134037.76655792,-180282687.132071
1801,6700-32,6700,Shepaug River,67,Shepaug,6,Housatonic,600.45501708,0.93821197,26860.5909190073,-26155836.6704938
1802,5204-00,5204,Broad Brook,52,Quinnipiac,5,South Central Coast,2522.36010742,3.94119,62180.2845892741,-109873999.195312
1803,6000-41,6000,Housatonic River,60,Housatonic Main Stem,6,Housatonic,584.19396972,0.91280299,24676.540421656,-25447490.4082437
1804,4014-13,4014,Higganum Creek,40,Connecticut Main Stem,4,Connecticut,945.49798583,1.47733998,30756.5139851764,-41185888.4562848
1805,3001-04,3001,Trading Cove Brook,30,Thames Main Stem,3,Thames,322.93701171,0.504588,17475.8769021784,-14067114.8426763
1806,3002-05,3002,Shewville Brook,30,Thames Main Stem,3,Thames,1166.63000488,1.82286,45167.8860675698,-50818463.142956
1807,3716-01,3716,Broad Brook,37,Quinebaug,3,Thames,289.95800781,0.45305898,17417.6375092885,-12630572.6902264
1808,3001-09,3001,Trading Cove Brook,30,Thames Main Stem,3,Thames,321.98001098,0.50309401,22104.2244014403,-14025465.917382
1809,6806-04,6806,Transylvania Brook,68,Pomperaug,6,Housatonic,965.40301513,1.50844001,34501.051365722,-42052947.9980097
1810,4710-12,4710,Moodus River,47,Salmon,4,Connecticut,628.26300048,0.98166102,30267.2319944591,-27367148.310565
1811,5200-11,5200,Quinnipiac River,52,Quinnipiac,5,South Central Coast,993.93597412,1.55302,37746.789352486,-43295834.9654063
1812,4013-04,4013,Sumner Brook,40,Connecticut Main Stem,4,Connecticut,231.64300537,0.36194199,19757.5059688243,-10090354.6519863
1813,6915-01,6915,Fulling Mill Brook,69,Naugatuck,6,Housatonic,219.12800598,0.34238699,15033.8913124698,-9545197.49654749
1814,3001-00,3001,Trading Cove Brook,30,Thames Main Stem,3,Thames,3142.13989257,4.90958976,109566.090417108,-136871456.492471
1815,5301-00,5301,Willow Brook,53,South Central Western Complex,5,South Central Coast,3706.20996093,5.79094982,97217.0455623567,-161442538.519994
1816,3002-03,3002,Shewville Brook,30,Thames Main Stem,3,Thames,401.72399902,0.62769299,23812.4964819895,-17499080.9711484
1817,4014-10,4014,Higganum Creek,40,Connecticut Main Stem,4,Connecticut,2183.01000976,3.41094994,76978.6366381585,-95091859.4690149
1818,6915-03,6915,Fulling Mill Brook,69,Naugatuck,6,Housatonic,498.54199218,0.77897202,23195.8564103339,-21716483.6207097
1819,4802-03,4802,East Branch Eightmile River,48,Eightmile,4,Connecticut,853.04797363,1.33289003,33395.5092892215,-37158780.9102181
1820,4802-04,4802,East Branch Eightmile River,48,Eightmile,4,Connecticut,793.47497558,1.23980998,28845.0401860183,-34563789.081817
1821,6915-02,6915,Fulling Mill Brook,69,Naugatuck,6,Housatonic,329.45300292,0.51476997,24086.8365923236,-14350964.1778596
1822,4607-09,4607,Coginchaug River,46,Mattabesset,4,Connecticut,150.91099548,0.23579899,12487.315416053,-6573695.9845949
1823,6700-33,6700,Shepaug River,67,Shepaug,6,Housatonic,670.36499023,1.04744994,24604.0333787983,-29201107.0850796
1824,1001-03,1001,Wyassup Brook,10,Pawcatuck Main Stem,1,Pawcatuck,1268.1899414,1.98154997,36150.8845094725,-55242387.1739696
1825,1001-02,1001,Wyassup Brook,10,Pawcatuck Main Stem,1,Pawcatuck,2088.76000976,3.26367998,67522.1819047371,-90986233.4624933
1826,6916-12,6916,Hop Brook,69,Naugatuck,6,Housatonic,381.58700561,0.59622901,21261.1706985696,-16621909.1223524
1827,3003-09,3003,Poquetanuck Brook,30,Thames Main Stem,3,Thames,816.77301025,1.27620995,32391.4383845271,-35578637.7378668
1828,4710-10,4710,Moodus River,47,Salmon,4,Connecticut,266.14199829,0.415847,17698.095360756,-11593155.9191422
1829,6402-01,6402,Ball Pond Brook,64,Candlewood,6,Housatonic,1063.26000976,1.66133999,49566.7197506764,-46315541.4904855
1830,6806-03,6806,Transylvania Brook,68,Pomperaug,6,Housatonic,152.03599548,0.23755699,15392.6714007725,-6622699.77968148
1831,4801-00,4801,Harris Brook,48,Eightmile,4,Connecticut,1774.66003417,2.77291011,60004.9680514273,-77304207.0549974
1832,6402-02,6402,Ball Pond Brook,64,Candlewood,6,Housatonic,666.08398437,1.04076004,28674.5470205401,-29014629.7390113
1833,4013-03,4013,Sumner Brook,40,Connecticut Main Stem,4,Connecticut,292.50601196,0.45704099,18504.0949626453,-12741566.5595812
1834,4800-05,4800,Eightmile River,48,Eightmile,4,Connecticut,308.09899902,0.48140498,17319.4919660871,-13420813.9415804
1835,3002-01,3002,Shewville Brook,30,Thames Main Stem,3,Thames,589.23400878,0.92067801,27069.6525320602,-25667024.9399747
1836,6915-00,6915,Fulling Mill Brook,69,Naugatuck,6,Housatonic,1595.41003417,2.49283003,68114.9964052213,-69496116.3631946
1837,6023-02,6023,Eightmile Brook,60,Housatonic Main Stem,6,Housatonic,850.7960205,1.32937002,39129.2610160776,-37060655.1055048
1838,6800-03,6800,Pomperaug River,68,Pomperaug,6,Housatonic,851.84002685,1.33099997,32993.3897090171,-37106161.9276951
1839,4014-11,4014,Higganum Creek,40,Connecticut Main Stem,4,Connecticut,315.23098754,0.49254798,20246.1198562367,-13731463.0104648
1840,4709-08,4709,Pine Brook,47,Salmon,4,Connecticut,197.03799438,0.30787199,14669.9806975532,-8582986.88840322
1841,6000-42,6000,Housatonic River,60,Housatonic Main Stem,6,Housatonic,943.00402832,1.47344005,38529.9523762879,-41077257.5588154
1842,6806-05,6806,Transylvania Brook,68,Pomperaug,6,Housatonic,555.77502441,0.86839801,30978.6541728893,-24209561.1364009
1843,8103-02,8103,East Branch Croton River,81,Croton,8,Hudson,555.56500244,0.86807,20869.5142560773,-24200384.5144704
1844,6806-02,6806,Transylvania Brook,68,Pomperaug,6,Housatonic,252.7559967,0.394932,15143.0950802511,-11010063.9922008
1845,3005-01,3005,Stony Brook,30,Thames Main Stem,3,Thames,3542.6899414,5.53544998,112873.389999056,-154319514.00206
1846,6917-03,6917,Long Meadow Pond Brook,69,Naugatuck,6,Housatonic,329.7250061,0.51519602,16140.8509566439,-14362839.4184355
1847,6917-02,6917,Long Meadow Pond Brook,69,Naugatuck,6,Housatonic,456.34698486,0.71304202,21086.9696495973,-19878478.3507906
1848,1002-05,1002,Green Fall River,10,Pawcatuck Main Stem,1,Pawcatuck,1646.22998046,2.5722301,55851.8950049284,-71709752.4932813
1849,3906-01,3906,Gardner Brook,39,Yantic,3,Thames,585.25201416,0.914456,27564.9678316255,-25493575.1535954
1850,4802-00,4802,East Branch Eightmile River,48,Eightmile,4,Connecticut,2942.06005859,4.59697008,105495.296189575,-128156057.816988
1851,6000-48,6000,Housatonic River,60,Housatonic Main Stem,6,Housatonic,993.86297607,1.55290997,37832.0404683,-43292685.2541871
1852,3003-00,3003,Poquetanuck Brook,30,Thames Main Stem,3,Thames,1740.09997558,2.71889996,48330.116386657,-75798664.8648362
1853,1001-00,1001,Wyassup Brook,10,Pawcatuck Main Stem,1,Pawcatuck,3726.67993164,5.82292985,95058.7003959892,-162333958.977456
1854,4710-09,4710,Moodus River,47,Salmon,4,Connecticut,954.7290039,1.49176001,34619.178296148,-41588011.9444502
1855,4014-00,4014,Higganum Creek,40,Connecticut Main Stem,4,Connecticut,187.00700378,0.292198,16669.8151776986,-8146004.48746011
1856,1004-02,1004,Shunock River,10,Pawcatuck Main Stem,1,Pawcatuck,1525.97998046,2.38434004,53034.2630508017,-66471661.0368756
