OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,LIMA_LIM_ACC_CODE,LIM_ACC_CODE_DESC,TOWN_TOWN,TOWN_DESC,YEAR,GlobalID,Shape__Length
1334,8-N,45.09,48.81,2,Full Control-Other Divided Hwys 4 or more lanes,65,HARWINTON,2022,31277261-ea16-413b-bcc7-c453c95bc1db,19597.9497225955
1335,8-N,48.81,55.98,2,Full Control-Other Divided Hwys 4 or more lanes,143,TORRINGTON,2022,dc24642e-8fa4-4730-9f65-1fe5df5f8aa4,37718.1339510836
1336,8-S,7.32,12.48,2,Full Control-Other Divided Hwys 4 or more lanes,126,SHELTON,2022,c97f831e-cffe-4d41-ba85-6944ac19b013,27643.8050094326
1337,6-E,57.91,61.22,2,Full Control-Other Divided Hwys 4 or more lanes,155,WEST HARTFORD,2022,f7bde288-71a0-4f26-914f-72815cd7cf70,17518.0929995234
1338,6-E,64.62,69.34,2,Full Control-Other Divided Hwys 4 or more lanes,42,EAST HARTFORD,2022,f641fa38-831c-47fd-89d6-1f6e9ef1447e,24871.9460284511
1339,6-E,76.24,76.95,5,"Partial Control-Divided, 4 or more lanes",12,BOLTON,2022,cb2b3d31-77bc-4054-bd78-e55f9c18f0eb,3534.64590189456
1340,6-E,110.31,110.51,4,Full Control-Undivided Highways,19,BROOKLYN,2022,1cd8ff02-58fe-4b30-b5ee-e8bb16e53fae,1034.82406169254
1341,6-W,55.82,55.92,4,Full Control-Undivided Highways,51,FARMINGTON,2022,236a1976-265f-42ed-a9fb-b66c6ae31ce7,475.249256915104
1342,6-W,70.06,70.36,7,Partial Control-Channelization,76,MANCHESTER,2022,f3a17e2d-cc80-4107-bbd6-2843917d1c3b,1576.62172767103
1343,6-W,92.45,92.87,2,Full Control-Other Divided Hwys 4 or more lanes,163,WINDHAM,2022,db971a3c-0753-4a66-9342-b80c5262cf13,2342.76986605469
1344,6-W,110.85,111.31,2,Full Control-Other Divided Hwys 4 or more lanes,68,KILLINGLY,2022,ef0a119a-2506-494c-9915-5439e0b80cd6,2546.76134139994
1345,6-W,111.31,111.55,4,Full Control-Undivided Highways,68,KILLINGLY,2022,1aa87ecb-4427-4110-acba-bc93101375e3,1197.50493783908
1346,617-E,0.0,0.85,6,Partial Control-Undivided Highways,101,NORTH STONINGTON,2022,445fbe98-40b4-4f89-8bb8-3669520965b2,4496.49074723541
1347,684-S,0.0,1.41,2,Full Control-Other Divided Hwys 4 or more lanes,56,GREENWICH,2022,9e1e5d30-52c9-4462-be56-1fde86535e5e,7205.68078249538
1348,691-E,0.0,4.67,2,Full Control-Other Divided Hwys 4 or more lanes,79,MERIDEN,2022,a272ad55-417d-4dd1-9088-7b6315c97d25,24671.9541484194
1349,691-W,0.0,4.67,2,Full Control-Other Divided Hwys 4 or more lanes,79,MERIDEN,2022,01b9b357-3257-4b54-8b9f-44cbf80681a5,24659.4926734222
1350,693-S,0.15,1.06,2,Full Control-Other Divided Hwys 4 or more lanes,152,WATERFORD,2022,b7f2bd03-a82c-4af7-90c1-556883db9196,4638.38158548435
1351,702-W,0.0,0.81,2,Full Control-Other Divided Hwys 4 or more lanes,148,WALLINGFORD,2022,321540e3-666f-4cf8-8adc-30b5aa0c5e15,4677.25035214393
1352,72-N,2.87,6.34,2,Full Control-Other Divided Hwys 4 or more lanes,109,PLAINVILLE,2022,cd32e93a-db8c-432e-8fec-fcb3d67f0558,18317.2145944603
1353,72-N,8.35,8.58,6,Partial Control-Undivided Highways,17,BRISTOL,2022,c25bfaf5-5a27-4146-a754-b8e33b3a3bec,1230.5036344451
