OBJECTID,GEOID10,B03002_001,White,AA,AI_AN_A,Asian,NHOPIA,Other,TwoRace,Hispanic,RaceEthnic,Shape__Area,Shape__Length
413,261635388001,1043,0,1004,15,0,0,13,0,11,Black or African American alone,4835894.38720703,8924.10548089328
414,261635387002,1538,11,1522,0,0,0,0,0,5,Black or African American alone,3871021.11083984,8985.94055292427
415,261635387001,1399,9,1350,0,0,0,0,40,0,Black or African American alone,4872567.62451172,9572.28418765899
416,261635386006,1799,13,1773,0,0,0,0,13,0,Black or African American alone,2788495.17724609,6880.08622270028
417,261635386005,936,1,909,0,0,0,0,26,0,Black or African American alone,2778230.84228516,6867.47968984777
418,261635386004,498,0,476,0,0,0,0,22,0,Black or African American alone,2155705.87841797,5916.11641818677
419,261635386003,989,0,981,0,0,0,0,8,0,Black or African American alone,2171135.35742188,5940.42216564841
420,261635386002,911,0,911,0,0,0,0,0,0,Black or African American alone,1934053.27294922,5576.12551660587
421,261635386001,461,0,446,0,0,0,0,0,15,Black or African American alone,1921908.36572266,5556.64682441792
422,261635385006,752,0,742,0,0,0,0,10,0,Black or African American alone,1546054.20263672,6451.04422398189
423,261635422004,595,0,595,0,0,0,0,0,0,Black or African American alone,2302970.04785156,6132.50067182813
424,261635422003,796,0,796,0,0,0,0,0,0,Black or African American alone,2289035.89160156,6109.3424338274
425,261635422002,1021,0,803,0,0,0,0,11,207,Black or African American alone,2795907.54785156,6829.18285727467
426,261635422001,574,0,497,0,0,0,0,77,0,Black or African American alone,2600673.94482422,6668.04964401386
427,261635421006,890,13,821,0,0,0,0,38,18,Black or African American alone,2270938.86816406,6091.71507836747
428,261635421005,795,35,692,0,0,0,0,22,46,Black or African American alone,2636736.70898438,8972.1492299596
429,261635421004,774,39,735,0,0,0,0,0,0,Black or African American alone,2169910.36523438,6915.66367191593
430,261635421003,413,0,400,0,0,0,0,0,13,Black or African American alone,2293254.66699219,7591.23336461765
431,261635421002,405,3,391,0,0,0,0,0,11,Black or African American alone,1906071.8125,5523.87682845516
432,261635421001,762,0,762,0,0,0,0,0,0,Black or African American alone,2709756.37158203,6739.84021408487
433,261635142001,425,0,403,5,0,0,0,17,0,Black or African American alone,3361840.83251953,7349.98342504942
434,261635142002,534,0,534,0,0,0,0,0,0,Black or African American alone,2228764.91943359,6396.46633215138
435,261635143002,1176,0,1176,0,0,0,0,0,0,Black or African American alone,5885458.38916016,11409.6661668241
436,261635143001,1078,71,1002,0,5,0,0,0,0,Black or African American alone,9955367.65039063,14264.4754118775
437,261635141001,868,50,767,0,0,0,0,51,0,Black or African American alone,3365416.92285156,7333.39720056447
438,261635141002,950,0,882,0,12,0,0,0,56,Black or African American alone,3179224.15917969,7150.80673764067
439,261635139003,483,32,435,0,0,0,0,0,16,Black or African American alone,3763778.16162109,8191.36132235725
440,261635139002,796,0,777,0,0,0,0,19,0,Black or African American alone,5035830.73779297,9238.26548769143
441,261635139001,627,0,613,0,0,0,0,14,0,Black or African American alone,5044567.43554688,9350.18072521405
442,261635136001,603,25,517,0,10,0,0,51,0,Black or African American alone,5518800.96655273,9508.68113526602
443,261635137002,1061,24,1021,8,0,0,0,0,8,Black or African American alone,6186331.47729492,11404.9509897223
444,261635250003,517,194,213,0,0,0,0,6,104,Black or African American alone,11718524.232666,13586.9736025668
445,261635208001,1374,355,673,10,180,0,0,57,99,Black or African American alone,21903999.0563965,22388.5586862959
446,261635114001,413,0,413,0,0,0,0,0,0,Black or African American alone,7765995.90380859,12845.388849217
447,261635015005,1454,140,1311,0,0,0,0,0,3,Black or African American alone,6054449.3125,10203.6569546721
448,261635014004,886,38,837,0,0,0,0,11,0,Black or African American alone,4775387.08349609,10772.6838686914
449,261635050001,895,11,859,8,7,0,0,10,0,Black or African American alone,5967719.61425781,12527.9301798431
450,261635050002,243,7,236,0,0,0,0,0,0,Black or African American alone,2191821.39355469,7743.88819191608
451,261635054003,573,7,555,0,0,0,0,11,0,Black or African American alone,4264055.5078125,8329.02733720311
452,261635385005,577,0,572,0,0,0,0,0,5,Black or African American alone,1559832.48876953,6452.5981565437
453,261635385004,424,8,403,0,0,0,0,13,0,Black or African American alone,1678465.36181641,6533.80361660329
454,261635385003,752,0,713,0,0,0,0,39,0,Black or African American alone,1724835.39746094,6558.11526693306
455,261635385002,627,7,596,24,0,0,0,0,0,Black or African American alone,1953310.46484375,5603.66681099402
456,261635385001,769,0,669,0,0,0,0,100,0,Black or African American alone,1935924.01513672,5571.82362842767
457,261635384003,747,96,640,0,11,0,0,0,0,Black or African American alone,3381474.06591797,7871.66772899393
458,261635384002,777,94,683,0,0,0,0,0,0,Black or African American alone,3748812.22167969,10651.0766761371
459,261635071004,657,0,657,0,0,0,0,0,0,Black or African American alone,4082389.36474609,11310.1546459902
460,261635071001,178,13,142,23,0,0,0,0,0,Black or African American alone,2278768.32324219,6278.73929204008
461,261635070003,861,0,861,0,0,0,0,0,0,Black or African American alone,3629602.25146484,8721.91441576077
462,261635070002,816,0,812,0,0,0,0,4,0,Black or African American alone,5264977.87158203,10203.1449900225
463,261635070001,1310,25,1276,0,0,0,0,9,0,Black or African American alone,3870021.05224609,8202.50142136173
464,261635069004,1037,97,859,0,0,0,0,0,81,Black or African American alone,2167146.18359375,6920.69587664991
465,261635069003,716,13,703,0,0,0,0,0,0,Black or African American alone,2156904.69482422,6904.85430924572
466,261635069002,538,20,518,0,0,0,0,0,0,Black or African American alone,2270491.47363281,6977.27371307531
467,261635069001,626,0,626,0,0,0,0,0,0,Black or African American alone,2266241.75341797,6981.6636016292
468,261635068002,683,10,673,0,0,0,0,0,0,Black or African American alone,3371408.09179688,7964.06712061821
469,261635068001,791,0,750,0,0,0,0,41,0,Black or African American alone,2450742.47119141,7032.87627864255
470,261635068004,764,8,728,0,0,0,0,0,28,Black or African American alone,2050246.13964844,6697.27904439047
