OBJECTID,ADMIN_ST,ADMU_NM,LUP_OHV_DSGNTN,GIS_ACRES,GlobalID,Shape__Area,Shape__Length
1101,UT,Vernal Field Office,Limited,0.90231997,{DC2A6FF7-ED66-42E8-8E38-6C49C9B63C6A},3651.559345775,821.747698902717
1102,UT,Vernal Field Office,Limited,1.31233395,{E18D7290-87AC-4395-8A5C-9AE42E28F74D},5310.82705502,655.715616152047
1103,UT,Vernal Field Office,Limited,5.25072632,{47ED8B50-89D0-47BA-B664-880C582CE0F1},21248.935541365,4833.07230789666
1104,UT,Vernal Field Office,Limited,2.14716389,{6F6C9B31-47EB-4E78-BF0A-5A3F4C025377},8689.263977325,1169.78953947976
1105,UT,Vernal Field Office,Limited,4.96199716,{9BFB98ED-B43A-47F8-A779-584C80B637D4},20080.490077455,2464.33991136636
1106,UT,Vernal Field Office,Limited,0.7214402,{A25D18EF-D11D-4F84-931F-CC250AE3D7D9},2919.564916995,1230.47013181821
1107,UT,Vernal Field Office,Limited,4.40408028,{F9942E63-D80B-4266-B9F5-99AB7D8B2A01},17822.680562255,1245.83291951473
1108,UT,Vernal Field Office,Limited,37042.16945194,{7520D7D7-49DE-4502-96A3-41243634E765},149904341.346209,170695.721472345
1109,UT,Vernal Field Office,Limited,33.59177332,{5224E092-5A51-48AD-9050-448E213A0D8A},135941.08360997,1462.16825178915
1110,UT,Vernal Field Office,Closed,20.46713272,{7711A32E-DA42-41B9-A86F-823BA724428B},82827.547485465,4270.45379392011
1111,UT,Vernal Field Office,Limited,4.34886758,{D33D43CE-6D8E-4BA5-9EF4-6A41F7624FE5},17599.242693695,4079.15281551193
1112,UT,Vernal Field Office,Limited,6.85380717,{295F80C6-C098-49F6-9A18-5E6DA0CABCE5},27736.373548675,1558.17492380513
1113,UT,Richfield Field Office,Limited,555.96785687,{5EAC6FA0-E041-42FF-8AA0-9CF0105E74FB},2249922.0922034,6450.35518687512
1114,UT,Vernal Field Office,Limited,0.93185879,{8074F947-27CB-41FF-9E9E-F65DB9449215},3771.098722505,631.532033186401
1115,UT,Vernal Field Office,Limited,7.94864623,{03F9BF46-90E1-4411-9343-6D2CE020A66F},32167.03004598,3211.32213824053
1116,UT,Vernal Field Office,Limited,2.04984032,{F1E01B44-507E-4CC6-9E70-3644792DC5DE},8295.409455905,832.262099109325
1117,UT,Vernal Field Office,Limited,0.26723546,{392D4676-F985-4836-AD7E-9097C3BCA695},1081.4635493,361.820379276316
1118,UT,Vernal Field Office,Limited,3.23556421,{919C7743-B748-4287-85E1-91920A69C004},13093.863803485,1623.47369969532
1119,UT,Vernal Field Office,Limited,0.28839263,{6D9EB2FF-17C7-4442-ACE3-D0954B9A0610},1167.08356565,394.024941147184
1120,UT,Vernal Field Office,Limited,6.43852605,{13FE03AF-399E-4B42-AF55-1FE8F545E19C},26055.790510015,2373.87839806933
1121,UT,Vernal Field Office,Limited,4.45818354,{F9FEDD38-5585-44BD-8FBB-2FEC1BEE3213},18041.62868758,4258.08564452875
1122,UT,Vernal Field Office,Limited,4.98892425,{D7987AB4-BF5D-41D7-91F0-6C9A8498BC40},20189.46013394,3221.82617306936
1123,UT,Vernal Field Office,Limited,0.42659298,{8D108AA3-4D0C-494E-894F-FC0898335D75},1726.36052882,360.051895987022
1124,UT,Vernal Field Office,Limited,5.05301771,{E0ACB8ED-B995-4763-A448-6B9C07617F93},20448.83716673,2862.81793696419
1125,UT,Vernal Field Office,Limited,0.35564672,{BE7D2A6F-A035-4B5B-8173-CC752ED60148},1439.25121401,683.769609013165
1126,UT,Vernal Field Office,Limited,1140.98280545,{8E841D42-9DE6-456B-929D-60EBB9E8D7CC},4617393.59409731,16582.8120349402
1127,UT,Vernal Field Office,Limited,43.12829492,{B1E4C944-60F2-485D-9419-C6EAF660DE70},174534.01727125,4150.16614289792
1128,UT,Vernal Field Office,Closed,0.04028303,{2F494051-1DE2-46EB-9855-55FBA605FD17},163.01962372,111.876072840193
1129,UT,Vernal Field Office,Limited,50.07858782,{E875A898-895F-41FA-975A-94F39107124D},202660.854734425,2812.32893587081
1130,UT,Vernal Field Office,Limited,1.2267881,{C21E7CCC-107A-49E3-8BFC-2E9C98CFFAB3},4964.63530746,945.858092642323
1131,UT,Vernal Field Office,Limited,0.89983498,{D59E53EB-4972-4CEB-AEBB-646D3C6EBFC7},3641.50298011,993.470655735338
1132,UT,Vernal Field Office,Limited,74.58938745,{E029BFB3-85ED-4AB1-9AFD-D131EE4CB86C},301852.541655575,8360.68044109719
1133,UT,Vernal Field Office,Limited,1.08165965,{A9F2DA7A-C36B-4607-8A05-ED81FD673DE1},4377.321321235,832.988723796391
1134,UT,Vernal Field Office,Limited,657.57585444,{8E40C976-458B-40F6-B019-76C3EE620841},2661115.06975242,8119.15677058524
1135,UT,Vernal Field Office,Limited,4.53569859,{927F6B8C-494E-4C8A-8356-E3806B470B46},18355.320956385,3967.72284654247
1136,UT,Vernal Field Office,Limited,4.99914493,{6765346E-9AB2-4D03-AF77-5117AE9AF023},20230.821746825,2442.56313989109
1137,UT,Vernal Field Office,Limited,27.42106575,{FB3C0226-6A01-420A-8F94-19013690E355},110969.116046485,4577.32619367381
1138,UT,Richfield Field Office,Limited,1392.9083378,{8BE16485-742D-4547-86E2-D91C962779D5},5636900.05265765,11094.9666541336
1139,UT,Vernal Field Office,Limited,223.15605454,{3F05D84B-96FF-482E-8936-8D92886C5411},903080.51252932,5983.93061475343
1140,UT,Vernal Field Office,Limited,1.02232082,{73976AEE-AA22-44E1-A8E1-9FCAADDC37BF},4137.185574485,1429.14319182803
1141,UT,Vernal Field Office,Limited,730.08517396,{F04273E8-6895-4755-A9CF-506E3D32A1F5},2954549.87515077,7569.64731187767
1142,UT,Vernal Field Office,Limited,0.39190643,{F2BAC94F-4EA2-48B6-9BDC-D65A378181C4},1585.98906752,796.923032738645
1143,UT,Vernal Field Office,Limited,0.35654751,{73674127-4BA9-4018-AC65-19FBFCFACF69},1442.89657487,347.528285994454
1144,UT,Vernal Field Office,Limited,1.31496199,{3468B57C-7F2D-44E4-9613-A7EEA42285DA},5321.46238868,940.487652795637
