sensor_ID,Longitude,Latitude,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12p,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12a
14456@1,-79.84056268,40.54003029,92.0,50.0,74.0,122.0,128.0,335.0,754.0,944.0,822.0,573.0,511.0,515.0,625.0,580.0,588.0,718.0,704.0,760.0,549.0,398.0,337.0,269.0,206.0,129.0
5446@2,-80.05165682,40.34942304,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,128.0,142.5,135.5,161.5,327.5,316.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5921@1,-79.78104814,40.55538692,31.0,12.0,6.0,8.0,33.0,70.0,202.0,237.0,140.0,94.0,133.0,173.0,188.0,240.0,287.0,357.0,363.0,334.0,245.0,142.0,108.0,89.0,44.0,41.0
21460@1,-80.23490799,40.40627126,4.0,3.0,3.0,3.0,4.0,13.0,39.0,62.0,37.0,35.0,23.0,27.0,31.0,35.0,47.0,75.0,81.0,61.0,44.0,34.0,20.0,17.0,19.0,8.0
2918@1,-80.17795367,40.523808,86.0,44.0,39.0,45.0,60.0,138.0,323.0,581.0,559.0,510.0,489.0,603.0,609.0,576.0,668.0,792.0,519.0,533.0,649.0,518.0,376.0,331.0,237.0,211.0
27753@1,-79.82622919,40.35216504,29.0,22.0,17.0,19.0,27.0,73.0,232.0,542.0,471.0,383.0,449.0,439.0,435.0,504.0,651.0,790.0,838.0,720.0,495.0,365.0,288.0,182.0,125.0,88.0
24132@2,-79.7901241,40.37186879,64.0,34.0,24.0,40.0,72.0,183.0,413.0,613.0,657.0,577.0,548.0,559.0,602.0,624.0,698.0,784.0,869.0,812.0,641.0,486.0,426.0,321.0,178.0,157.0
16180@1,-79.88824055,40.61382055,-1.0,2.0,-1.0,2.0,14.0,56.0,128.0,68.0,53.0,47.0,53.0,49.0,57.0,66.0,94.0,146.0,143.0,107.0,113.0,49.0,43.0,23.0,9.0,3.0
5893@1,-79.87328581,40.6219093,3.0,1.0,1.0,1.0,3.0,16.0,47.0,110.0,48.0,34.0,34.0,27.0,24.0,54.0,69.0,78.0,109.0,113.0,50.0,76.0,37.0,19.0,27.0,13.0
5665@1,-80.18917035,40.53089696,61.0,19.0,25.0,24.0,36.0,68.0,173.0,424.0,494.0,353.0,302.0,298.0,342.0,311.0,395.0,591.0,704.0,685.0,456.0,271.0,241.0,130.0,112.0,71.0
12100@1,-80.05493162,40.43785323,64.0,21.0,21.0,23.0,36.0,142.0,365.0,522.0,405.0,353.0,371.0,311.0,373.0,370.0,476.0,537.0,694.0,626.0,457.0,321.0,235.0,222.0,189.0,131.0
20696@1,-79.9301941,40.26630593,-1.0,2.0,1.0,-1.0,3.0,15.0,37.0,49.0,34.0,16.0,16.0,22.0,34.0,20.0,29.0,33.0,41.0,54.0,31.0,19.0,36.0,22.0,10.0,5.0
11301@1,-79.877326,40.44122546,247.0,126.0,96.0,106.0,221.0,656.0,320.0,308.0,333.0,152.0,65.0,85.0,189.0,238.0,284.0,361.0,534.0,464.0,198.0,974.0,810.0,701.0,547.0,380.0
5748@1,-80.03650548,40.66970478,11.0,12.0,5.0,1.0,11.0,61.0,247.0,387.0,359.0,274.0,261.0,249.0,309.0,277.0,297.0,344.0,455.0,527.0,381.0,224.0,181.0,124.0,76.0,36.0
6880@1,-79.92185379,40.4620607,5.0,12.0,5.0,3.0,6.0,36.0,188.0,237.0,187.0,163.0,109.0,92.0,100.0,99.0,120.0,121.0,131.0,116.0,81.0,76.0,53.0,40.0,29.0,13.0
6880@2,-79.92172131,40.46213427,56.0,38.0,23.0,12.0,22.0,41.0,190.0,426.0,462.0,398.0,371.0,428.0,460.0,446.0,459.0,575.0,612.0,637.0,479.0,350.0,280.0,186.0,116.0,76.0
5466@1,-80.04421532,40.3910535,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,632.0,639.0,702.0,736.0,674.0,714.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27835@1,-79.76276686,40.6074511,4.0,-1.0,6.0,8.0,27.0,66.0,91.0,94.0,73.0,59.0,71.0,78.0,74.0,77.0,104.0,118.0,106.0,108.0,61.0,52.0,36.0,34.0,14.0,10.0
14316@1,-79.88196139,40.28197863,93.0,40.0,58.0,70.0,216.0,610.0,821.0,658.0,477.0,406.0,498.0,466.0,496.0,509.0,618.0,734.0,671.0,561.0,482.0,286.0,256.0,243.0,256.0,150.0
10513@1,-80.20264674,40.41882872,50.0,18.0,11.0,22.0,39.0,149.0,353.0,593.0,424.0,284.0,258.0,317.0,313.0,311.0,349.0,521.0,570.0,548.0,358.0,301.0,234.0,141.0,91.0,56.0
19116@1,-79.80250679,40.43170731,89.0,47.0,37.0,28.0,56.0,159.0,471.0,774.0,933.0,967.0,968.0,175.0,236.0,160.0,84.0,200.0,239.0,339.0,275.0,916.0,631.0,408.0,284.0,153.0
19116@2,-79.8020007,40.43198196,113.0,55.0,47.0,29.0,75.0,257.0,561.0,692.0,661.0,791.0,893.0,104.0,284.0,578.0,630.0,380.0,659.0,690.0,483.0,101.0,94.0,967.0,408.0,231.0
5707@1,-80.02534759,40.50332283,158.0,95.0,65.0,73.0,151.0,474.0,142.0,648.0,408.0,967.0,907.0,952.0,944.0,114.0,209.0,503.0,601.0,680.0,391.0,865.0,682.0,655.0,479.0,344.0
5856@1,-79.93751818,40.64741943,28.0,12.0,9.0,24.0,88.0,194.0,468.0,741.0,640.0,491.0,461.0,447.0,447.0,486.0,555.0,600.0,635.0,651.0,410.0,326.0,226.0,123.0,112.0,33.0
5856@2,-79.9376221,40.6473963,33.0,22.0,15.0,31.0,51.0,99.0,521.0,525.0,463.0,431.0,413.0,384.0,464.0,493.0,575.0,639.0,849.0,788.0,471.0,444.0,367.0,241.0,122.0,84.0
12648@1,-79.84723276,40.33315625,131.0,122.0,46.0,74.0,80.0,342.0,728.0,795.0,922.0,934.0,776.0,854.0,951.0,956.0,44.0,212.0,259.0,44.0,827.0,697.0,667.0,434.0,431.0,224.0
14077@1,-79.9927426,40.44942511,138.0,46.0,126.0,190.0,290.0,671.0,901.0,394.0,761.0,544.0,376.0,264.0,202.0,452.0,866.0,922.0,865.0,734.0,425.0,181.0,477.0,371.0,230.0,180.0
14077@2,-79.99231327,40.44871679,158.0,65.0,105.0,191.0,348.0,618.0,952.0,815.0,654.0,537.0,459.0,326.0,342.0,388.0,82.0,156.0,324.0,216.0,640.0,373.0,271.0,825.0,507.0,150.0
5667@2,-80.1684711,40.52927732,39.0,18.0,24.0,57.0,102.0,315.0,618.0,828.0,622.0,452.0,421.0,526.0,567.0,576.0,613.0,907.0,751.0,631.0,424.0,229.0,172.0,150.0,82.0,60.0
5667@1,-80.16843213,40.52933331,28.0,16.0,31.0,70.0,100.0,307.0,645.0,873.0,650.0,578.0,502.0,522.0,587.0,621.0,650.0,984.0,844.0,702.0,467.0,282.0,254.0,139.0,80.0,74.0
27713@1,-80.05048486,40.30914127,52.0,14.0,13.0,21.0,79.0,291.0,788.0,898.0,732.0,573.0,579.0,625.0,651.0,655.0,665.0,930.0,97.0,88.0,860.0,598.0,538.0,290.0,151.0,86.0
5670@1,-80.16722009,40.60162053,2.0,2.0,-1.0,1.0,3.0,9.0,13.0,28.0,18.0,19.0,12.0,17.0,18.0,22.0,24.0,29.0,28.0,41.0,35.0,20.0,15.0,13.0,18.0,4.0
5493@1,-80.17484844,40.35833143,11.0,8.0,2.0,6.0,9.0,49.0,141.0,301.0,191.0,126.0,96.0,107.0,122.0,129.0,146.0,178.0,297.0,340.0,238.0,128.0,104.0,101.0,50.0,29.0
27822@1,-79.76097606,40.45291307,35.0,15.0,17.0,22.0,47.0,152.0,397.0,502.0,554.0,425.0,428.0,492.0,605.0,524.0,626.0,693.0,880.0,844.0,612.0,520.0,273.0,226.0,114.0,70.0
27513@1,-80.01875858,40.53329269,44.0,24.0,22.0,25.0,51.0,132.0,454.0,721.0,767.0,781.0,955.0,943.0,965.0,993.0,2.0,51.0,201.0,144.0,894.0,649.0,432.0,291.0,164.0,76.0
5914@1,-79.80523091,40.55704433,16.0,5.0,3.0,5.0,14.0,38.0,90.0,174.0,169.0,110.0,121.0,159.0,172.0,145.0,191.0,212.0,235.0,226.0,154.0,92.0,61.0,47.0,30.0,13.0
26513@2,-80.15180672,40.51230088,43.0,19.0,25.0,24.0,56.0,195.0,550.0,938.0,725.0,417.0,425.0,451.0,428.0,407.0,590.0,793.0,969.0,126.0,634.0,339.0,259.0,207.0,131.0,94.0
26513@1,-80.15174015,40.51234594,45.0,19.0,29.0,12.0,30.0,85.0,173.0,412.0,321.0,293.0,241.0,256.0,260.0,282.0,378.0,407.0,506.0,474.0,331.0,213.0,172.0,145.0,85.0,101.0
5986@1,-79.71085292,40.51575131,-1.0,-1.0,3.0,-1.0,1.0,8.0,14.0,14.0,13.0,13.0,6.0,6.0,8.0,11.0,18.0,15.0,23.0,21.0,11.0,14.0,3.0,4.0,-1.0,1.0
27396@1,-79.95515371,40.46113313,194.0,103.0,80.0,79.0,111.0,440.0,187.0,783.0,742.0,356.0,86.0,109.0,224.0,217.0,429.0,602.0,723.0,516.0,424.0,540.0,757.0,700.0,487.0,365.0
10491@1,-79.83591218,40.21664489,22.0,21.0,13.0,21.0,81.0,206.0,250.0,232.0,229.0,215.0,203.0,228.0,221.0,179.0,282.0,316.0,391.0,339.0,308.0,195.0,170.0,156.0,98.0,54.0
