OBJECTID,adm_code,adm_manage,adm_name,GIS_acres,SMA_ID,GlobalID,SHAPE_Length,SHAPE_Area
4568,PRI,PRI, ,10.32796425,2388.0,{A53087CB-31A3-45A2-8287-E13B73005530},1097.09066611818,41795.7884390817
4569,USFS,USFS,,38.73437664,915.0,{6E8AA809-9CBB-4BA9-B006-D9508EBEF7EF},1585.30405523856,156752.460863147
4570,PRI,PRI,Arapaho National Recreation Area,4.01642294,2388.0,{C76A2AF4-3B0E-4571-83DA-D814B7A49DC9},1178.77163137147,16253.8869549415
4571,STA,STA,,636.91829089,2386.0,{4A030173-A58E-4E46-B6AC-6117B97CA0A9},6422.64520422053,2577516.87604814
4572,BLM,BLM,,4.70777305,2.0,{534D5BE4-3200-4C0E-9314-8FA55FE28CDC},736.019759561142,19051.6816105533
4573,NPS,NPS,,3.89e-06,2012.0,{823E13FF-2F18-4EAE-9BDE-C4E3EC4A765E},0.650375342934347,0.0157451799091806
4574,BLM,BLM,,0.03752397,2.0,{2B5E71DE-C2FE-45AC-B94E-97C1CB6241B5},79.3950886800914,151.854132877347
4575,PRI,PRI, ,2.98025063,2388.0,{CE34DE00-EB58-4E51-92C4-FD47CB2B07E0},474.264213343842,12060.6463925798
4576,BLM,BLM,,0.8499669,2.0,{58B99C93-8923-450F-886E-25BB32F02E89},302.43737592479,3439.69400853339
4577,STA,STA,,2.49570028,2386.0,{68DFEB11-83EE-4C76-A52E-37E1DB2E2827},401.992171761286,10099.740687866
4578,PRI,PRI, ,662.73666306,2388.0,{BAC2393C-BA87-4CC6-ADCD-A7716D873DF0},11991.135445306,2682000.12128265
4579,LOCAL,LOCAL,Cherokee SWA - Upper Unit,614.95379285,2387.0,{361CE1C8-B5C9-4363-9D42-8D1CC54793BD},6307.22259568787,2488629.70608275
4580,PRI,PRI, ,325.95044151,2388.0,{CE55D8A6-0A8A-4A06-9C74-496AA1581C09},5687.61102610927,1319074.63759909
