YEAR,STATE,BENE_GEO_CD,MA_OP_POPN,BENE_AVG_AGE,BENE_FEML_PCT,BENE_MALE_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_OTHR_PCT,BENE_DUAL_PCT,BENES_IP_STAY_CNT,BENES_IP_PCT,IP_STAY_PER_1000_BENES,IP_DAYS_PER_1000_BENES,BENES_IRF_CNT,BENES_IRF_PCT,IRF_STAYS_PER_1000_BENES,IRF_DAYS_PER_1000_BENES,BENES_LTC_CNT,BENES_LTC_PCT,LTC_STAYS_PER_1000_BENES,LTC_DAYS_PER_1000_BENES,BENES_SNF_CNT,BENES_SNF_PCT,SNF_STAYS_PER_1000_BENES,SNF_DAYS_PER_1000_BENES
2016,WA,53.0,367777,72,0.5633,0.4367,0.8589,0.0264,0.0281,0.0866,0.1390,42784,0.1163,160.388,806.921,686,0.0019,2.1426,22.3179,93,0.0003,0.2882,10.1284,9027,0.0245,31.2418,584.9088
2016,WI,55.0,421497,74,0.5561,0.4439,0.9071,0.0493,0.0155,0.0282,0.1012,54937,0.1303,186.1389,864.9124,875,0.0021,2.2064,30.5625,257,0.0006,0.6809,20.6004,17081,0.0405,53.5117,1074.2805
2016,WV,54.0,112048,73,0.551,0.449,0.9628,0.0225,0.0032,0.0114,0.0884,17456,0.1558,237.068,1380.5512,352,0.0031,3.4539,45.3109,123,0.0011,1.3030,33.8426,3885,0.0347,45.2752,835.5080
2016,WY,56.0,3261,73,0.5161,0.4839,0.9077,0.0049,0.0426,0.0448,0.1104,366,0.1122,160.6869,710.8249,12,0.0037,3.6799,55.8111,*,*,*,*,108,0.0331,44.7715,948.7887
2017,AK,2.0,1222,74,0.4967,0.5033,0.8527,0.0262,0.0409,0.0802,0.1031,164,0.1342,202.946,1147.2995,0,0.0000,0.0000,0.0000,*,*,*,*,17,0.0139,20.4583,383.7971
2017,AL,1.0,367411,70,0.5715,0.4285,0.7104,0.2714,0.0056,0.0126,0.2216,60231,0.1639,248.5473,1488.8014,1682,0.0046,4.9835,64.8973,292,0.0008,0.8465,23.3009,12237,0.0333,41.5856,756.8690
2017,AR,5.0,132476,69,0.5562,0.4438,0.7956,0.1729,0.0140,0.0175,0.2895,22500,0.1698,265.4594,1383.5412,777,0.0059,6.4993,82.2791,173,0.0013,1.3889,37.0482,4587,0.0346,45.9102,948.9719
2017,AZ,4.0,469597,72,0.5642,0.4358,0.7492,0.0384,0.1738,0.0386,0.2749,65814,0.1401,207.397,1041.476,1260,0.0027,2.9472,38.7290,286,0.0006,0.7538,19.3102,13975,0.0298,39.2464,749.1892
2017,CA,6.0,2470863,74,0.5635,0.4365,0.5458,0.0685,0.2363,0.1494,0.1941,224712,0.0909,127.8756,574.7154,2433,0.0010,1.1219,10.5473,745,0.0003,0.5759,12.3443,46186,0.0187,24.9241,503.4193
2017,CO,8.0,316534,73,0.5614,0.4386,0.8120,0.0342,0.1121,0.0416,0.1289,38185,0.1206,167.9725,751.24,192,0.0006,0.6476,8.9501,187,0.0006,0.6634,25.4728,6102,0.0193,27.0777,496.1078
2017,CT,9.0,183090,74,0.5697,0.4303,0.7845,0.0840,0.0817,0.0498,0.3620,26401,0.1442,220.0175,1188.35,264,0.0014,1.5621,21.2027,191,0.0010,1.4310,33.0876,9698,0.0530,78.5788,1586.7825
2017,DC,11.0,13336,73,0.617,0.383,0.1512,0.7825,0.0356,0.0306,0.4848,1402,0.1051,184.0132,1222.9304,27,0.0020,2.2496,31.4187,*,*,*,*,397,0.0298,41.3167,892.8464
2017,DE,10.0,21604,72,0.5585,0.4415,0.6906,0.2440,0.0310,0.0345,0.1950,3438,0.1591,240.0944,1499.2131,100,0.0046,4.9528,71.6071,*,*,*,*,904,0.0418,55.3601,1127.7078
2017,FL,12.0,1802227,72,0.5534,0.4466,0.6244,0.1267,0.2148,0.0341,0.2477,250408,0.1389,211.5727,1097.1343,4808,0.0027,3.1333,34.8447,2044,0.0011,1.7384,38.4663,58940,0.0327,42.3432,749.8412
2017,GA,13.0,566727,71,0.5863,0.4137,0.6047,0.3418,0.0175,0.0360,0.2340,88178,0.1556,240.128,1341.6336,1335,0.0024,2.5162,35.4403,646,0.0011,1.2440,40.0687,17306,0.0305,39.9646,823.0877
2017,HI,15.0,116412,75,0.5717,0.4283,0.2690,0.0073,0.0721,0.6515,0.2249,12858,0.1105,154.3999,978.3012,312,0.0027,2.7832,34.3349,*,*,*,*,2745,0.0236,28.6740,743.0935
2017,IA,19.0,108714,74,0.5475,0.4525,0.9425,0.0254,0.0130,0.0191,0.1116,15127,0.1391,201.8139,993.8094,230,0.0021,2.2076,30.5572,35,0.0003,0.3403,9.1709,4223,0.0388,51.3273,1038.2931
2017,ID,16.0,96035,73,0.5514,0.4486,0.9331,0.0023,0.0351,0.0296,0.1156,12125,0.1263,172.0623,709.0644,228,0.0024,2.4991,36.9240,79,0.0008,0.9580,25.5636,1761,0.0183,22.2107,401.6765
2017,IL,17.0,505177,73,0.5696,0.4304,0.6884,0.1844,0.0798,0.0473,0.1629,79351,0.1571,244.9043,1246.2424,1677,0.0033,3.5473,50.3645,469,0.0009,1.2827,31.1515,24789,0.0491,67.9405,1548.9502
