OBJECTID,BOUNDARY,Notes,SHAPE_Length
208,TsunamiZone,Tsunami Regulatory Zone,791.57994874519
209,Artifact,Boundary Of Topo Quad,35.0207729712995
210,Artifact,Boundary Of Topo Quad,8.15550757167279
211,Artifact,Boundary Of Topo Quad,15.331117759495
212,Artifact,Boundary Of Topo Quad,9.77974472666232
213,TsunamiZone,Tsunami Regulatory Zone,2452.46336948174
214,Artifact,Boundary Of Topo Quad,10.9658654101897
215,Artifact,Boundary Of Topo Quad,14.9796842322325
216,TsunamiZone,Tsunami Regulatory Zone,3245.69519089521
217,Artifact,Boundary Of Topo Quad,15.9989256509542
218,Artifact,Boundary Of Topo Quad,13.4800206461251
219,Artifact,Boundary Of Topo Quad,20.0055770363326
220,Artifact,Boundary Of Topo Quad,11.8801046724069
221,Artifact,Boundary Of Topo Quad,16.275501293943
222,Artifact,Boundary Of Topo Quad,12.7654735372909
223,Artifact,Boundary Of Topo Quad,8.7970544107226
224,Artifact,Boundary Of Topo Quad,15.2479269354669
225,Artifact,Boundary Of Topo Quad,14.8498019028717
226,Artifact,Boundary Of Topo Quad,12.6804214703837
227,Artifact,Boundary Of Topo Quad,5.96140161648357
228,Artifact,Boundary Of Topo Quad,14.9589178312881
229,Artifact,Boundary Of Topo Quad,10.0646193284133
230,Artifact,Boundary Of Topo Quad,10.0646238087991
231,Artifact,Boundary Of Topo Quad,10.3232697135923
232,Artifact,Boundary Of Topo Quad,15.8421320499242
233,Artifact,Boundary Of Topo Quad,9.44697002157702
234,Artifact,Boundary Of Topo Quad,12.7069024974943
235,TsunamiZone,Tsunami Regulatory Zone,9650.48020176366
236,Artifact,Boundary Of Topo Quad,9.82037559648279
237,Artifact,Boundary Of Topo Quad,12.4796586157585
238,Artifact,Boundary Of Topo Quad,13.9395790560214
239,TsunamiZone,Tsunami Regulatory Zone,86862.5084758598
240,Artifact,Boundary Of Topo Quad,6.1661519866533
241,Artifact,Boundary Of Topo Quad,18.1013408395637
242,Artifact,Boundary Of Topo Quad,5.80439393397
243,TsunamiZone,Tsunami Regulatory Zone,21517.2714617543
244,Artifact,Boundary Of Topo Quad,14.2616923686306
245,TsunamiZone,Tsunami Regulatory Zone,40361.9076831198
246,Artifact,Boundary Of Topo Quad,12.6206413663796
247,TsunamiZone,Tsunami Regulatory Zone,125514.231643505
248,Artifact,Boundary Of Topo Quad,39.8635642858724
249,TsunamiZone,Tsunami Regulatory Zone,7453.43070702192
250,TsunamiZone,Tsunami Regulatory Zone,11809.1397510303
251,TsunamiZone,Tsunami Regulatory Zone,30506.3744455847
252,TsunamiZone,Tsunami Regulatory Zone,37113.5893350128
253,TsunamiZone,Tsunami Regulatory Zone,1794.84131333349
254,TsunamiZone,Tsunami Regulatory Zone,570.543485074532
255,Artifact,Boundary Of Topo Quad,655.848042602552
256,Artifact,Boundary of Topo Quad,2002.72775083471
257,Artifact,Boundary of Topo Quad,535.682817805884
258,Artifact,Boundary of Topo Quad,1592.03776132096
259,TsunamiZone,Tsunami Regulatory Zone,2005.19635240108
