OBJECTID_12_13_14_15_16,ID,NAME,ST_ABBREV,TSEGNAME,TLIFENAME,TURBZNAME,TC_ID,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,Gain,Loss,No_Change,TreeCanopy_2016_Area,TreeCanopy_2021_Area,Change_Area,Change_PercentChange,TreeCanopy_2016_Percent,TreeCanopy_2021_Percent,Change_Percent_AbsDiff,OBJECTID,TC_ID_1,OBJECTID_1,TC_ID_12,OBJECTID_12,TC_ID_12_13,TC_Land_A_1,OBJECTID_12_13,TC_ID_12_13_14,Total_A_1,Can_A_1,Grass_A_1,Soil_A_1,Water_A_1,Build_A_1,Road_A_1,Paved_A_1,Perv_A_1,Imperv_A_1,Can_P_1,Grass_P_1,Soil_P_1,Water_P_1,Build_P_1,Road_P_1,Paved_P_1,Perv_P_1,Imperv_P_1,OBJECTID_12_13_14,TC_ID_12_13_14_15,TC_E_A_1,TC_Pv_A_1,TC_Land_A_12,TC_Pi_A_1,TC_P_A_1,TC_E_P_1,TC_Pv_P_1,TC_P_P_1,TC_Pi_P_1,OBJECTID_12_13_14_15,TC_ID_12_13_14_15_16,TC_Land_A_12_13,Gain_1,Loss_1,No_Change_1,TreeCanopy_2016_Area_1,TreeCanopy_2021_Area_1,Change_Area_1,Change_PercentChange_1,TreeCanopy_2016_Percent_1,TreeCanopy_2021_Percent_1,Change_Percent_AbsDiff_1,Shape__Area,Shape__Length
108,530330031003,530330031.003,WA,Urban Chic,Upscale Avenues,Suburban Periphery,108,3181465,857481,1103187,0,0,649608,418191,152998,1960668,1220797,26.9523945729405,34.6754404024561,0.0,0.0,20.4185178840566,13.1446047654147,4.80904237513221,61.6278349753966,38.3721650246034,857481,1103187,3181465,152998,1256185,26.9523945729405,34.6754404024561,39.4844827775883,4.80904237513221,120776,99601,736705,836306,857481,21175,2.53196796387925,26.2868206942399,26.9523945729405,0.665573878700599,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3181478.25180054,7228.74004241245
109,530330031004,530330031.004,WA,Urban Chic,Upscale Avenues,Suburban Periphery,109,4139731,1090595,1375462,778,0,877176,580721,214999,2466835,1672896,26.3445861578929,33.2258786863204,0.0187934916544094,0.0,21.1892028733268,14.0279887751161,5.19355001568942,59.5892583358677,40.4107416641323,1090595,1375462,4139731,215777,1591239,26.3445861578929,33.2258786863204,38.4382221936643,5.21234350734384,166546,132239,924049,1056288,1090595,34307,3.24788315307946,25.5158608131784,26.3445861578929,0.828725344714499,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4139740.07168579,9180.35604865107
110,530330031005,530330031.005,WA,Urban Chic,Upscale Avenues,Suburban Periphery,110,9234479,3973379,2515605,297088,69018,919890,800153,659346,6855090,2379389,43.027646714016,27.2414393925201,3.21716038338492,0.747394628327164,9.96147156758925,8.66484183893861,7.14004547522389,74.2336411182482,25.7663588817517,3973379,2515605,9165461,956434,3472039,43.3516546521773,27.4465736093362,37.8817715770107,10.4351979676745,294058,379583,3679321,4058904,3973379,-85525,-2.10709590569277,44.2847773832653,43.3516546521773,-0.933122731087998,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9234493.77685547,19279.3484759615
111,530330032001,530330032.001,WA,Emerald City,Middle Ground,Metro Cities,111,2057652,544044,604923,0,0,499271,301532,107882,1148967,908685,26.440039423576,29.3987029876772,0.0,0.0,24.2641126876654,14.6541786463406,5.24296625474084,55.8387424112532,44.1612575887468,544044,604923,2057652,107882,712805,26.440039423576,29.3987029876772,34.6416692424181,5.24296625474084,80810,60481,463234,523715,544044,20329,3.88169137794411,25.4520686685601,26.440039423576,0.987970755015901,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057873.65802002,5777.74345569565
112,530330032002,530330032.002,WA,Trendsetters,Uptown Individuals,Principal Urban Center,112,2089986,391899,498670,22038,0,605454,313950,257975,912607,1177379,18.7512739319785,23.85996843998,1.0544568241127,0.0,28.9692849617174,15.0216317238489,12.3433841183625,43.6656991960712,56.3343008039288,391899,498670,2089986,280013,778683,18.7512739319785,23.85996843998,37.2578093824552,13.3978409424752,59500,60610,332399,393009,391899,-1110,-0.282436280085189,18.8043843355888,18.7512739319785,-0.0531104036103009,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2089745.24938965,5813.09610256257
113,530330032003,530330032.003,WA,Metro Renters,Uptown Individuals,Principal Urban Center,113,3656869,726603,579991,1466,73444,1005563,342340,927462,1381504,2275365,19.8695386681886,15.860316571362,0.0400889394725378,2.00838476850005,27.4979224030174,9.36156039497176,25.3621882544876,37.7783289475231,62.2216710524769,726603,579991,3583425,928928,1508919,20.2767743150757,16.1853813041992,42.10829025304,25.9229089488408,91263,67270,635340,702610,726603,23993,3.41483895760094,19.6072193502027,20.2767743150757,0.669554964872997,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3656841.86813354,14466.7549972849
114,530330032004,530330032.004,WA,Trendsetters,Uptown Individuals,Principal Urban Center,114,2822144,731337,842696,0,0,522002,378639,347470,1574033,1248111,25.9142340008164,29.8601347060958,0.0,0.0,18.4966465212264,13.4167143845247,12.3122703873367,55.7743687069122,44.2256312930878,731337,842696,2822144,347470,1190166,25.9142340008164,29.8601347060958,42.1724050934325,12.3122703873367,105158,87599,626179,713778,731337,17559,2.46000857409447,25.2920474646226,25.9142340008164,0.622186536193801,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2822201.34609985,8289.09066643678
115,530330032005,530330032.005,WA,Urban Chic,Upscale Avenues,Suburban Periphery,115,2069547,644231,631865,0,0,443004,275259,75188,1276096,793451,31.1290828379351,30.5315607715118,0.0,0.0,21.4058438875754,13.3004469093961,3.63306559358159,61.6606436094469,38.3393563905531,644231,631865,2069547,75188,707053,31.1290828379351,30.5315607715118,34.1646263650934,3.63306559358159,96951,69818,547280,617098,644231,27133,4.39687051327342,29.8180229779754,31.1290828379351,1.3110598599597,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2069513.69436646,5781.00311250555
116,530330032006,530330032.006,WA,Golden Years,Senior Styles,Suburban Periphery,116,6198604,1159748,1571070,58080,146931,1073186,701450,1488139,2935829,3262775,18.7098256317068,25.3455455454164,0.936985166337453,2.37038855845607,17.3133499091086,11.3162576605958,24.007647528379,47.3627449019166,52.6372550980834,1159748,1571070,6051673,1546219,3117289,19.1640890048091,25.9609202281749,51.5111936814828,25.5502734533079,179678,150745,980070,1130815,1159748,28933,2.55859711800781,18.6859898081076,19.1640890048091,0.4780991967015,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6198635.21820068,23329.5328907646
117,530330032007,530330032.007,WA,Urban Chic,Upscale Avenues,Suburban Periphery,117,3424336,844335,1073121,0,0,765976,457352,283552,1917456,1506880,24.6568969867443,31.3380754692297,0.0,0.0,22.3685993430551,13.3559323617776,8.28049583919335,55.9949724559739,44.0050275440261,844335,1073121,3424336,283552,1356673,24.6568969867443,31.3380754692297,39.618571308423,8.28049583919335,128129,136379,716206,852585,844335,-8250,-0.967645454705396,24.8978196064872,24.6568969867443,-0.2409226197429,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3424317.79379272,8563.33452481071
