OBJECTID,SampleDate,Location,Ph,Temperature,DissolvedOxygen,Conductivity,BiologicalOxygenDemand,TotalSuspendedSolids,EColi,Ammonia,Nitrate,Weather,R_Humidity,WindSpeed,WindGust,FrozenOver,Comments,LocationID,GlobalID
23963,2012/07/10 09:00:00+00,Big Sioux River @ I-90,4.7,23.6,8.27,0.02,4.7,49.0,39.0,0.03,0.026,,,,,No,,26C,{2B5CC4A5-0688-4607-9098-8EA6805BC50A}
23964,2012/07/17 09:00:00+00,Big Sioux River @ I-90,8.29,26.11,5.14,0.886,5.8,62.0,93.0,0.01,0.031,,,,,No,,26C,{C389E787-81BC-4AD4-8890-584C20B15CB8}
23965,2013/06/06 00:00:00+00,Big Sioux River @ Timberline,8.52,17.99,9.33,1.051,3.4,86.0,111.0,0.04,2.5,,,,,No,,26B,{45DD57AA-9977-4CB9-A5EF-C4C258A29D8B}
23966,2013/06/06 00:00:00+00,Big Sioux River @ Bahnson,8.54,18.03,9.54,1.021,3.5,79.0,102.0,0.04,0.92,,,,,No,,26A,{1B253CC3-E6FF-4908-8545-99E873873978}
23967,2013/04/16 00:00:00+00,Big Sioux River @ Timberline,8.57,7.0,13.98,0.983,5.3,50.0,33.0,,3.5,,,,,No,,26B,{74E232DA-D06F-4BBB-B3F1-C126F2AA1A71}
23968,2013/06/06 00:00:00+00,Big Sioux River @ I-90,8.57,18.15,8.95,0.955,3.1,60.0,155.0,0.04,0.89,,,,,No,,26C,{D6D95F0B-343B-44F4-8000-E55288DB5069}
23969,2013/08/26 00:00:00+00,Big Sioux River @ Timberline,8.95,28.65,8.7,1.13,4.0,35.0,131.0,0.01,4.5,,,,,No,,26B,{5F61F597-392F-42B6-864B-A05032772AC5}
23970,2012/10/02 00:00:00+00,Big Sioux River @ Timberline,8.59,18.51,7.57,1.571,5.4,11.0,219.0,0.2,25.0,,,,,No,,26B,{AE63CDCD-4276-445C-9A36-EE2F0B69045B}
23971,2012/10/30 00:00:00+00,Big Sioux River @ Timberline,8.44,9.62,13.65,1.282,5.1,13.0,249.0,0.03,14.0,,,,,No,,26B,{9DE55B20-A038-41D3-A879-167E15C5A51E}
23972,2013/08/26 00:00:00+00,Big Sioux River @ Bahnson,8.93,28.9,7.44,1.097,4.2,36.0,142.0,0.01,2.0,,,,,No,,26A,{937859C0-73C2-490C-B5D2-33712ADD3159}
23973,2013/04/16 00:00:00+00,Big Sioux River @ Bahnson,8.66,6.1,13.38,0.966,3.3,43.0,51.0,,2.3,,,,,No,,26A,{0690F9DF-4B34-43C9-B708-5E4D70290923}
23974,2013/06/06 00:00:00+00,Skunk Creek @ Marion Road,8.57,17.7,11.48,1.372,4.0,73.0,248.0,0.03,0.76,,,,,No,,26D,{F31E612B-76BB-418D-834D-4D18BADDA868}
23975,2012/10/30 00:00:00+00,Big Sioux River @ Bahnson,8.5,7.97,15.51,1.173,6.6,34.0,84.0,0.05,5.9,,,,,No,,26A,{61CCF7E7-C429-4BF9-8EB0-BEE1A138F044}
23976,2012/11/28 00:00:00+00,Big Sioux River @ Timberline,6.84,6.0,13.52,1.342,6.1,22.0,133.0,0.01,14.0,,,,,No,,26B,{AE95FD3A-5087-400E-9199-55F65521A8C9}
23977,2013/05/09 00:00:00+00,Big Sioux River @ Timberline,8.22,14.95,10.23,1.003,4.1,81.0,,,2.3,,,,,No,,26B,{785920DE-3676-4BB1-B8E5-CB2549DA86C6}
23978,2012/10/02 00:00:00+00,Big Sioux River @ Bahnson,8.5,17.88,7.51,1.724,4.5,14.5,155.0,0.22,17.0,,,,,No,,26A,{0CBE3BC0-4E75-4BB9-B2C3-94D33ADDE2F1}
23979,2013/10/16 00:00:00+00,Big Sioux River @ Timberline,8.77,11.68,11.52,0.941,4.8,26.5,1119.9,0.01,6.8,,,,,No,,26B,{A0D41994-2574-4E7D-8630-DC40BE1F9DC0}
23980,2013/05/09 00:00:00+00,Big Sioux River @ Bahnson,8.41,14.12,10.36,0.955,3.8,57.0,,,1.6,,,,,No,,26A,{DEA9A095-53A7-4385-8690-15EEBCA84294}
23981,2012/11/28 00:00:00+00,Big Sioux River @ Bahnson,7.1,4.85,13.44,1.328,8.6,37.0,22.0,0.07,2.7,,,,,No,,26A,{47656055-7F39-4995-899B-89265BCE6C96}
23982,2012/10/30 00:00:00+00,Big Sioux River @ I-90,8.5,6.3,15.26,0.836,9.9,35.0,67.0,0.02,0.057,,,,,No,,26C,{79B09BD5-C349-4723-8B32-F09D62A9AD8C}
23983,2013/04/16 00:00:00+00,Big Sioux River @ I-90,8.59,6.08,13.52,0.906,3.7,47.0,54.0,,2.1,,,,,No,,26C,{F5CB7449-575C-447C-8299-D97CEC108527}
23984,2013/06/11 00:00:00+00,Big Sioux River @ Timberline,8.39,20.32,8.53,1.042,3.6,122.0,1733.0,0.05,3.0,,,,,No,,26B,{72ED350E-3017-4E19-B0FE-CEED5C92990F}
23985,2013/10/16 00:00:00+00,Big Sioux River @ Bahnson,8.8,10.85,11.87,0.9,5.2,21.0,1299.7,0.02,3.7,,,,,No,saved,26A,{6F414752-6440-436F-A600-71224AD5622E}
23986,2013/08/26 00:00:00+00,Big Sioux River @ I-90,8.77,26.8,7.74,1.022,4.1,38.0,83.0,0.01,0.01,,,,,No,,26C,{8F42223B-1D50-4C48-B379-5E5F56A78378}
23987,2012/10/02 00:00:00+00,Big Sioux River @ I-90,8.9,15.64,6.51,0.928,4.8,49.5,99.0,0.02,,,,,,No,,26C,{B9F163E6-C2C5-446F-8CBB-21CBBA34D69E}
23988,2013/02/22 00:00:00+00,Big Sioux River @ Timberline,8.56,1.65,11.61,2.304,6.8,19.6,1120.0,0.13,18.3,,,,,No,,26B,{13C59185-09A3-4A5A-895B-3C7C4693A1C4}
23989,2013/06/11 00:00:00+00,Big Sioux River @ Bahnson,8.43,20.22,9.32,1.045,4.0,113.0,1553.0,0.07,2.3,,,,,No,,26A,{9FFD3158-25A6-4DF4-A0DD-3F3F44FC527F}
23990,2013/05/09 00:00:00+00,Big Sioux River @ I-90,8.66,14.44,11.42,1.023,3.7,76.0,,,1.0,,,,,No,,26C,{18C4F9F9-CFDB-4AA1-BCD4-B131ADE4A125}
23991,2013/10/16 00:00:00+00,Big Sioux River @ Falls Park,8.79,10.0,11.75,0.885,4.0,17.0,1203.3,0.02,0.63,,,,,No,saved comments,26E,{0080B0D6-2EA3-4A96-98C8-B81DA824A1B7}
23992,2013/02/20 00:00:00+00,Big Sioux River @ Timberline,8.36,1.5,11.08,2.056,7.6,12.5,980.0,0.15,19.8,,,,,No,,26B,{22E3B62F-789D-413F-90DB-920BF3BF44DD}
23993,2013/08/26 00:00:00+00,Skunk Creek @ Marion Road,8.61,27.1,6.59,1.296,6.8,56.0,127.0,0.01,0.01,,,,,No,,26D,{4F3B0D35-4586-40AC-A2C1-AE13A1192CF6}
23994,2012/10/02 00:00:00+00,Skunk Creek @ Marion Road,8.8,15.55,8.25,1.316,3.8,28.5,75.0,0.04,0.017,,,,,No,,26D,{9E3C26CA-12F5-44A9-98A4-14EF430DCDC3}
23995,2012/10/30 00:00:00+00,Skunk Creek @ Marion Road,8.48,6.81,14.06,1.201,3.2,11.0,15.0,0.03,0.15,,,,,No,,26D,{D9E18B93-FA83-4AD7-BE6D-275ED9A5C733}
23996,2012/11/28 00:00:00+00,Big Sioux River @ I-90,7.08,1.18,15.4,0.905,8.0,31.0,5.0,0.01,0.7,,,,,No,,26C,{50F76051-8E8A-4FD3-9236-DC0C4C763F08}
23997,2013/04/16 00:00:00+00,Skunk Creek @ Marion Road,9.06,7.08,17.23,1.17,9.4,61.0,101.0,,0.049,,,,,No,,26D,{990ADFAA-C912-4DC6-806E-2AE7A2C80E1E}
23998,2013/05/09 00:00:00+00,Skunk Creek @ Marion Road,8.52,14.53,10.21,0.995,7.1,31.0,,,0.01,,,,,No,,26D,{C97B56A3-BB9D-4460-BDB8-BA99D199562B}
23999,2013/06/11 00:00:00+00,Big Sioux River @ I-90,8.38,20.07,9.24,0.961,3.5,178.0,2420.0,0.03,3.7,,,,,No,,26C,{D41294D6-986C-4071-9FDE-B69A62FE59D9}
24000,2013/10/16 00:00:00+00,Skunk Creek @ Marion Road,8.69,11.85,11.85,1.205,4.1,17.0,1011.2,0.02,0.5,,,,,No,,26D,{BD4C3FD7-5AEE-4997-8F89-718D9E5DF906}
24001,2013/05/31 00:00:00+00,Big Sioux River @ Timberline,8.58,18.66,10.08,1.069,,72.0,249.0,,2.5,,,,,No,,26B,{67036460-BFD9-4647-9E6A-9FA4A85BDE82}
24002,2012/11/28 00:00:00+00,Skunk Creek @ Marion Road,7.1,5.21,12.44,1.274,4.0,12.5,1.0,0.03,0.041,,,,,No,,26D,{46E8F208-C9C3-4D79-9D93-8066B64AF910}
24003,2013/05/31 00:00:00+00,Big Sioux River @ Bahnson,8.63,18.75,9.83,1.063,,56.0,179.0,,1.7,,,,,No,,26A,{1A92CFEA-57B8-4FD2-8900-17DED2F48CB9}
24004,2013/06/11 00:00:00+00,Skunk Creek @ Marion Road,8.45,21.11,10.05,1.271,3.6,91.0,1300.0,0.11,1.8,,,,,No,,26D,{FBD50EFC-DD9C-4650-9C9B-129977771ACC}
24005,2013/10/16 00:00:00+00,Big Sioux River @ I-90,9.62,9.76,11.52,0.869,5.6,19.0,145.0,0.03,0.69,,,,,No,,26C,{542CA7D6-2A55-44F0-B20A-F78C577CEE47}
24006,2013/05/31 00:00:00+00,Big Sioux River @ I-90,8.6,18.75,10.2,0.974,,124.0,816.0,,1.7,,,,,No,,26C,{BE39E539-EB9F-48A0-B65E-445891FED59B}
24007,2013/07/01 00:00:00+00,Big Sioux River @ Timberline,8.39,25.28,8.05,0.0,4.7,162.0,99.0,0.08,0.73,,,,,No,,26B,{8D475D24-A2B6-4989-BA28-571DAA8A8699}
24008,2012/11/05 00:00:00+00,Big Sioux River @ Timberline,8.45,9.16,13.58,1.216,4.3,17.0,816.0,0.12,12.0,,,,,No,,26B,{72C57D1C-DCD2-4D5A-B3D0-EE20455A5E73}
24009,2012/11/20 00:00:00+00,Big Sioux River @ Timberline,7.88,8.8,11.18,0.009,6.8,15.5,387.0,0.04,12.0,,,,,No,,26B,{28F21002-E618-4176-BB7E-A16D128BA548}
24010,2013/05/31 00:00:00+00,Skunk Creek @ Marion Road,7.9,17.89,8.28,1.327,,43.0,152.0,,1.5,,,,,No,,26D,{806F0515-D1B6-473D-97D0-BD93D1EE89B8}
24011,2013/07/01 00:00:00+00,Big Sioux River @ Bahnson,8.29,24.88,8.28,0.001,5.0,153.0,99.0,0.1,0.5,,,,,No,,26A,{D3BFF979-DDAF-4589-8AE2-2749ED0C55D6}
24012,2013/07/03 00:00:00+00,Big Sioux River @ Timberline,8.29,28.55,8.8,0.001,3.2,127.0,411.0,0.11,,,,,,No,,26B,{41EE3B99-0B78-425E-85D0-ACBA18EED301}
24013,2012/11/20 00:00:00+00,Big Sioux River @ Bahnson,8.0,7.19,12.75,0.007,7.9,27.5,59.0,0.29,1.1,,,,,No,,26A,{770BB58B-C762-47A4-B5B5-02697C364783}
24014,2012/11/05 00:00:00+00,Big Sioux River @ Bahnson,8.7,6.67,15.66,1.086,5.5,23.0,119.0,0.09,3.1,,,,,No,,26A,{4ED4A493-1F42-4B8E-8137-90BDB922A488}
24015,2013/07/03 00:00:00+00,Big Sioux River @ Bahnson,8.1,28.02,7.8,0.0,3.3,116.0,365.0,0.13,,,,,,No,,26A,{808856C9-F7F6-4D56-A610-F616D53A8303}
24016,2013/04/30 00:00:00+00,Big Sioux River @ Timberline,8.52,14.97,9.15,0.934,4.2,144.0,138.0,,3.9,,,,,No,,26B,{EFC947A1-63DF-493F-B605-24796D9FEA3A}
24017,2013/07/01 00:00:00+00,Big Sioux River @ I-90,8.5,21.9,9.1,0.0,4.0,137.0,82.0,0.1,0.3,,,,,No,,26C,{F63D6083-4C5B-4DE4-AA75-F01530EAA6AF}
24018,2013/04/30 00:00:00+00,Big Sioux River @ Bahnson,8.52,14.84,9.36,0.921,4.0,135.0,116.0,,2.4,,,,,No,,26A,{377D3E97-7A45-491D-B9A3-8A883918F62D}
24019,2012/08/30 00:00:00+00,Big Sioux River @ Bahnson,8.3,23.49,6.86,1.598,3.8,20.0,185.0,0.12,7.9,,,,,No,,26A,{E70FBD67-E96B-4E04-89B5-7548BDE898FF}
24020,2012/11/20 00:00:00+00,Big Sioux River @ I-90,7.79,7.89,12.05,0.012,11.2,48.0,30.0,0.02,0.64,,,,,No,,26C,{C1D48864-530E-4C93-B93E-86842A937923}
24021,2012/11/05 00:00:00+00,Big Sioux River @ I-90,8.82,4.91,15.75,0.832,9.3,40.0,14.0,0.1,0.39,,,,,No,,26C,{0B507BAA-121F-48C0-950E-AE6EC759CB3E}
24022,2013/07/03 00:00:00+00,Big Sioux River @ I-90,8.17,23.44,7.91,0.0,3.0,95.0,260.0,0.11,,,,,,No,,26C,{32EAF253-3C36-4F6E-9A26-46F818B84A51}
24023,2012/08/30 00:00:00+00,Big Sioux River @ Timberline,8.24,23.81,7.01,1.592,2.3,15.0,166.0,0.03,11.0,,,,,No,,26B,{6D2BE0B8-7EB0-47E0-9505-287A75CDA658}
24024,2013/07/01 00:00:00+00,Skunk Creek @ Marion Road,8.56,22.62,8.86,0.0,5.2,64.0,119.0,0.06,1.4,,,,,No,,26D,{16709845-CC7F-40A3-85D7-89036551FE00}
24025,2013/04/30 00:00:00+00,Big Sioux River @ I-90,8.49,14.56,8.36,0.872,6.3,181.0,33.0,,2.2,,,,,No,,26C,{78F2FC72-8D1C-490E-A1E4-6E6461D87B55}
24026,2013/08/29 00:00:00+00,Big Sioux River @ Timberline,8.76,27.9,5.8,1.151,3.6,35.0,172.0,0.04,4.6,,,,,No,,26B,{15C714F3-3671-495B-A027-1EC2824E03AF}
24027,2012/10/16 00:00:00+00,Big Sioux River @ Timberline,8.26,15.38,8.12,1.485,3.9,13.0,172.0,0.1,20.0,,,,,No,,26B,{E069C66C-9114-41B5-B8AE-979266AC6D02}
24028,2012/08/30 00:00:00+00,Big Sioux River @ I-90,8.83,24.04,5.35,0.849,2.5,34.0,69.0,0.04,0.01,,,,,No,,26C,{D758FBB5-C865-487C-ADC4-12404FCC72CD}
24029,2012/11/20 00:00:00+00,Skunk Creek @ Marion Road,7.7,7.1,10.37,0.005,3.9,12.0,9.0,0.03,0.13,,,,,No,,26D,{6D97BD7E-56C5-4D85-BBA5-82E22A6A1FC8}
24030,2013/07/03 00:00:00+00,Skunk Creek @ Marion Road,8.01,23.76,8.31,0.0,10.7,80.0,613.0,0.06,,,,,,No,,26D,{7A5AD838-6F0D-4D5A-A3FC-BC33322A6E2D}
24031,2013/06/04 00:00:00+00,Big Sioux River @ Timberline,8.42,17.0,8.52,0.923,3.5,64.0,345.0,0.09,2.3,,,,,No,,26B,{71366204-C847-4525-94EE-918B4CEE4DB3}
24032,2013/08/29 00:00:00+00,Big Sioux River @ Bahnson,8.78,27.85,6.26,1.108,3.3,40.0,162.0,0.24,2.2,,,,,No,,26A,{1526C4A6-8A21-4A93-9E96-7BFC18A1A8ED}
24033,2013/04/30 00:00:00+00,Skunk Creek @ Marion Road,8.6,15.14,10.48,1.255,5.3,52.0,39.0,,0.92,,,,,No,,26D,{8EACEDE7-E149-4A48-A328-7FF8A561CB37}
24034,2013/07/29 00:00:00+00,Big Sioux River @ Timberline,8.63,21.27,7.15,1.046,1.6,34.0,88.0,0.03,3.1,,,,,No,,26B,{FEDB3017-CF22-45AD-9BFD-F353BDBC8EDD}
24035,2013/07/31 00:00:00+00,Big Sioux River @ Timberline,8.6,22.07,6.64,1.063,2.1,36.0,65.0,0.02,3.7,,,,,No,,26B,{1051507F-4F31-4F69-85B1-0A20E0599A6B}
24036,2012/08/28 00:00:00+00,Big Sioux River @ Bahnson,8.27,23.64,6.15,1.42,5.2,20.0,210.0,0.06,10.0,,,,,No,,26A,{6D3B7B3E-BF2B-43AD-A914-FE07BE345F14}
24037,2012/10/16 00:00:00+00,Big Sioux River @ Bahnson,8.21,13.0,8.33,1.397,6.1,20.0,53.0,0.07,6.8,,,,,No,,26A,{73B5E83A-4D09-41F3-BEEB-AA1E0CBEEA6B}
24038,2012/11/05 00:00:00+00,Skunk Creek @ Marion Road,8.23,5.65,14.28,1.126,1.7,8.0,20.0,0.16,0.084,,,,,No,,26D,{817368C7-0320-441A-BF6B-0C29238A7CA9}
24039,2013/06/04 00:00:00+00,Big Sioux River @ Bahnson,8.46,16.95,8.7,0.916,3.7,60.0,1986.0,0.11,1.3,,,,,No,,26A,{E1469E87-3741-4797-83B4-985CC6BF64E6}
24040,2013/09/03 00:00:00+00,Big Sioux River @ Timberline,8.74,21.56,6.65,1.145,3.4,29.0,1046.0,0.02,4.9,,,,,No,,26B,{ED5A51AF-3C8A-4B66-893B-512EAFC7886E}
24041,2012/08/28 00:00:00+00,Big Sioux River @ Timberline,8.25,23.73,6.11,1.537,3.2,15.0,225.0,0.06,25.0,,,,,No,,26B,{0FD273C3-72FF-4C57-9AF1-4691D3FBB2F2}
24042,2012/08/30 00:00:00+00,Skunk Creek @ Marion Road,8.47,22.38,5.26,1.229,2.4,35.0,37.0,0.04,0.026,,,,,No,,26D,{A009F674-1238-4B09-A33A-C7D434122D98}
24043,2013/07/29 00:00:00+00,Big Sioux River @ Bahnson,8.62,21.28,7.32,1.027,1.7,44.0,60.0,0.04,2.1,,,,,No,,26A,{8E451662-2ED6-4FFF-9551-E96A1866D29B}
24044,2013/07/31 00:00:00+00,Big Sioux River @ Bahnson,8.61,21.96,7.12,1.039,1.8,26.0,130.0,0.04,2.0,,,,,No,,26A,{251A1795-6E6C-43B1-8B91-0415D310DCA5}
24045,2013/08/29 00:00:00+00,Big Sioux River @ I-90,8.81,26.95,4.98,1.004,3.7,41.0,70.0,0.02,0.01,,,,,No,,26C,{67719E19-1426-419A-8E82-847BE109E8B1}
24046,2013/09/03 00:00:00+00,Big Sioux River @ Bahnson,8.69,22.56,6.7,1.111,3.5,53.0,613.0,0.02,2.0,,,,,No,,26A,{506672A3-6E52-4ABA-9245-1A28C263D01F}
24047,2012/10/16 00:00:00+00,Big Sioux River @ I-90,8.45,11.48,8.85,0.912,9.1,47.0,,0.03,0.01,,,,,No,,26C,{D5B4D84F-9B1B-43F5-8EDE-6432D4810897}
24048,2012/08/28 00:00:00+00,Big Sioux River @ I-90,8.62,24.26,5.6,0.849,3.7,31.0,74.0,0.02,0.058,,,,,No,,26C,{D08E2207-E1F1-4659-92D9-6F22FC7774AA}
24049,2013/06/04 00:00:00+00,Big Sioux River @ I-90,8.44,16.97,7.88,0.858,3.1,126.0,118.0,0.03,0.83,,,,,No,,26C,{F3941230-ED09-42C5-B28B-9458B80B9C79}
24050,2012/09/14 00:00:00+00,Big Sioux River @ Bahnson,8.24,17.49,6.21,1.451,3.3,27.0,1120.0,0.14,8.9,,,,,No,,26A,{4957ADD6-8871-45C0-AD29-6F6CC1CE0AEB}
24051,2013/07/29 00:00:00+00,Big Sioux River @ I-90,8.55,19.8,6.93,0.984,1.2,66.0,59.0,0.06,1.3,,,,,No,,26C,{B84D82F0-25B4-414C-BC05-249B5B178B25}
24052,2013/07/31 00:00:00+00,Big Sioux River @ I-90,8.56,20.72,7.03,0.988,1.5,42.0,73.0,0.03,1.5,,,,,No,,26C,{DD3AE30D-903A-4995-BCE4-961FDC748B69}
24053,2013/08/06 00:00:00+00,Big Sioux River @ Timberline,8.69,22.81,6.86,1.083,2.6,31.0,153.0,0.04,4.4,,,,,No,,26B,{616661AF-2163-495E-B859-BE5D586775BA}
24054,2013/08/29 00:00:00+00,Skunk Creek @ Marion Road,8.28,25.64,4.84,1.229,5.2,57.0,124.0,0.01,0.11,,,,,No,,26D,{153EF8DF-E8CF-4E31-9CAF-27E7F455B5D9}
24055,2012/09/14 00:00:00+00,Big Sioux River @ Timberline,8.27,18.13,6.13,1.511,1.9,19.0,167.0,0.04,22.0,,,,,No,,26B,{C8A0F7D3-9BF5-429B-98E0-C0A9474B7338}
24056,2013/08/06 00:00:00+00,Big Sioux River @ Bahnson,8.71,23.45,7.3,1.04,2.4,31.0,155.0,0.09,2.2,,,,,No,,26A,{62293CC3-6654-4F96-A53F-14C46D6A6828}
24057,2012/08/28 00:00:00+00,Skunk Creek @ Marion Road,8.7,22.85,4.7,1.205,4.7,112.0,62.0,0.03,0.012,,,,,No,,26D,{0768A6CB-A9E9-4C22-BE8C-D7C762D3B25C}
24058,2013/07/29 00:00:00+00,Skunk Creek @ Marion Road,8.28,19.65,6.03,1.241,5.6,46.0,96.0,0.03,0.01,,,,,No,,26D,{B4DAF649-CD34-41B9-97BE-FC95125FA302}
24059,2013/07/31 00:00:00+00,Skunk Creek @ Marion Road,8.46,20.43,5.88,1.233,6.1,47.0,66.0,0.02,0.011,,,,,No,,26D,{0C352E03-6538-4795-A3B7-6FE8C75D7667}
24060,2013/06/04 00:00:00+00,Skunk Creek @ Marion Road,8.32,15.89,7.68,1.296,4.8,107.0,2420.0,0.15,1.2,,,,,No,,26D,{353A54CA-C9B9-4867-BAEF-C4FD18D0E045}
24061,2012/09/14 00:00:00+00,Big Sioux River @ I-90,8.78,17.67,5.77,0.833,2.5,25.5,66.0,0.01,0.016,,,,,No,,26C,{2682B9BE-1BD7-45DB-BAC9-6BDEEB2C492E}
24062,2013/09/03 00:00:00+00,Big Sioux River @ I-90,9.39,19.79,5.31,1.174,4.0,29.0,58.0,0.01,0.01,,,,,No,,26C,{2A86EAF9-2E8E-432B-8D26-D12C01E4160D}
24063,2012/10/16 00:00:00+00,Skunk Creek @ Marion Road,8.12,11.44,9.42,1.362,4.6,22.0,20.0,0.02,0.01,,,,,No,,26D,{5ED84082-2A7E-4FF7-A74A-6E9115890DC5}
24064,2012/09/18 00:00:00+00,Big Sioux River @ Timberline,8.64,15.98,6.67,1.554,2.9,18.0,178.0,0.03,21.0,,,,,No,,26B,{C87E7332-272A-4E6B-A30B-8B4F796A4CFC}
24065,2013/09/05 00:00:00+00,Big Sioux River @ Timberline,8.68,23.23,6.5,1.2,3.5,36.0,261.0,0.03,7.0,,,,,No,,26B,{E796CD86-E4F8-4446-A0DE-3019D6E50053}
24066,2012/09/14 00:00:00+00,Skunk Creek @ Marion Road,8.85,15.45,6.0,1.235,3.0,54.0,249.0,0.02,0.017,,,,,No,,26D,{C1A0F59B-55CC-4F83-8014-258D6E7E7035}
24067,2013/04/26 00:00:00+00,Big Sioux River @ Timberline,8.63,9.37,11.12,1.043,6.5,43.0,70.0,,3.3,,,,,No,,26B,{1E2406FA-254D-4077-ACAD-8232659013E1}
24068,2012/09/04 00:00:00+00,Big Sioux River @ Timberline,8.28,21.67,5.31,1.208,6.0,35.0,1986.0,0.17,9.6,,,,,No,,26B,{244810D0-8045-4772-AE51-726E1D887829}
24069,2012/09/18 00:00:00+00,Big Sioux River @ Bahnson,8.28,14.17,6.31,1.639,3.0,24.0,111.0,0.06,15.0,,,,,No,,26A,{D4F5D7D2-8CFE-45EA-A6E5-24C007A3A6EB}
24070,2013/08/09 00:00:00+00,Big Sioux River @ Timberline,8.78,21.19,7.28,1.073,2.8,26.0,1120.0,0.02,3.9,,,,,No,,26B,{C1795BB4-E288-489B-A177-235CA95BCD4A}
24071,2012/08/23 00:00:00+00,Big Sioux River @ Timberline,8.19,21.97,6.86,1.378,3.8,20.0,69.0,0.04,15.0,,,,,No,,26B,{F940970E-ECBF-49AD-8F78-00BF82394B2E}
24072,2013/08/06 00:00:00+00,Skunk Creek @ Marion Road,8.22,20.91,5.69,1.232,5.5,56.0,120.0,0.02,0.12,,,,,No,,26D,{7218BB65-B66A-4DEB-BE27-30E42116DA85}
24073,2013/09/03 00:00:00+00,Skunk Creek @ Marion Road,9.06,21.43,5.86,1.028,5.4,61.0,166.0,0.01,0.01,,,,,No,,26D,{7A46E327-ECF4-4B82-BA12-8899CD9B35CD}
24074,2013/09/05 00:00:00+00,Big Sioux River @ Bahnson,8.66,24.24,6.29,1.156,3.9,101.0,308.0,0.07,3.2,,,,,No,,26A,{F86120C6-D5FD-433F-BF2A-F27BA4870565}
24075,2013/04/26 00:00:00+00,Big Sioux River @ Bahnson,8.61,8.92,12.08,1.034,6.9,45.0,62.0,,2.0,,,,,No,,26A,{D8FBC9B4-48C6-4EC7-841C-52BB1D466638}
24076,2013/08/09 00:00:00+00,Big Sioux River @ Bahnson,8.76,22.22,7.34,1.045,3.0,28.0,1739.0,0.02,2.2,,,,,No,,26A,{6A1290E0-6B4D-4EE9-A5CC-1C2308769A44}
24077,2013/04/26 00:00:00+00,Big Sioux River @ I-90,8.49,8.34,11.1,0.947,5.9,42.0,18.0,,2.0,,,,,No,,26C,{1DE11A3B-9389-45A0-8DFE-7E8DC5CC46F7}
24078,2012/09/04 00:00:00+00,Big Sioux River @ Bahnson,8.34,21.92,5.6,1.134,9.2,38.0,1011.0,0.26,6.7,,,,,No,,26A,{9E952E06-B1B6-4866-BFD0-5D32E76AC1F7}
24079,2013/08/06 00:00:00+00,Big Sioux River @ I-90,8.54,22.14,6.3,1.004,1.7,38.0,42.0,0.02,1.3,,,,,No,,26C,{40A8F012-DF55-462D-8B01-5112DEF5BDAB}
24080,2012/09/18 00:00:00+00,Big Sioux River @ I-90,8.75,15.75,5.57,0.897,3.6,26.0,127.0,0.02,0.01,,,,,No,,26C,{7041DD12-EC97-4E84-89DD-47AC2359180E}
24081,2013/07/10 00:00:00+00,Big Sioux River @ Timberline,8.45,25.17,5.99,0.99,3.0,73.0,276.0,0.02,2.0,,,,,No,,26B,{536BDC07-01A4-4AAF-89EA-3E696209AAF6}
24082,2013/08/09 00:00:00+00,Big Sioux River @ I-90,8.59,21.11,6.65,0.986,2.0,19.0,64.0,0.01,1.5,,,,,No,,26C,{0FC02C00-6F2C-4BF6-876B-25F5E4874BBA}
24083,2012/08/23 00:00:00+00,Big Sioux River @ Bahnson,8.07,21.34,5.83,1.34,8.5,26.0,148.0,0.06,9.0,,,,,No,,26A,{AD2E1A92-C9B5-4CCA-84E9-81A9444ED930}
24084,2013/09/05 00:00:00+00,Big Sioux River @ I-90,8.44,22.21,5.28,1.215,5.4,40.0,45.0,0.02,0.01,,,,,No,,26C,{6923445A-CB3D-44B8-889A-452766202809}
24085,2012/09/04 00:00:00+00,Big Sioux River @ I-90,8.7,23.17,5.75,0.852,2.9,26.0,461.0,0.02,0.012,,,,,No,,26C,{6CEA0F6B-33D0-4D28-B2FC-42BE73A82044}
24086,2013/07/10 00:00:00+00,Big Sioux River @ Bahnson,8.43,25.64,6.21,0.991,3.3,71.0,219.0,0.01,1.7,,,,,No,,26A,{09490F18-32EA-4ED1-B151-1EF5F270A60C}
24087,2013/04/26 00:00:00+00,Skunk Creek @ Marion Road,8.62,10.3,10.97,1.258,8.8,64.0,38.0,,0.8,,,,,No,,26D,{1DB21874-54C2-4A7C-99EC-8E9A7794CA55}
24088,2012/09/18 00:00:00+00,Skunk Creek @ Marion Road,8.58,13.02,5.76,1.211,4.1,45.0,101.0,0.02,0.01,,,,,No,,26D,{A0EAD0B6-72A6-4532-95F7-802DE6C3B17F}
24089,2012/08/23 00:00:00+00,Big Sioux River @ I-90,8.49,22.66,4.63,0.835,5.3,34.0,161.0,0.04,0.01,,,,,No,,26C,{1186B762-0407-48B5-8666-01E57D032073}
24090,2013/08/09 00:00:00+00,Skunk Creek @ Marion Road,8.03,19.6,5.25,1.246,3.9,36.0,93.0,0.08,0.043,,,,,No,,26D,{EFFC5F7E-B926-4D2E-883A-90693DA9F404}
24092,2013/09/05 00:00:00+00,Skunk Creek @ Marion Road,8.95,23.47,5.75,1.031,5.0,46.0,140.0,0.02,0.01,,,,,No,,26D,{7E49EFB8-3B66-43A6-9393-8D44E2819CD7}
