OBJECTID,SampleDate,Location,Ph,Temperature,DissolvedOxygen,Conductivity,BiologicalOxygenDemand,TotalSuspendedSolids,EColi,Ammonia,Nitrate,Weather,R_Humidity,WindSpeed,WindGust,FrozenOver,Comments,LocationID,GlobalID
24403,2013/04/25 10:00:00+00,Big Sioux River @ Bahnson,8.62,6.07,12.81,1.032,5.7,37.0,54.0,,2.1,,,,,No,,26A,{B6169914-D5F8-4EEC-A5C4-EB40254FE411}
24404,2013/04/29 10:00:00+00,Big Sioux River @ Bahnson,8.61,13.76,9.76,0.975,,99.0,115.0,,2.2,,,,,No,,26A,{E37E5FD3-A711-422F-8447-37C5AE444893}
24405,2013/07/17 10:00:00+00,Big Sioux River @ I-90,7.96,25.74,6.0,0.927,1.8,76.0,2420.0,0.09,1.0,,,,,No,,26C,{F161D1D9-7524-461B-A6F6-62FABBE4D1A0}
24406,2013/08/13 10:00:00+00,Big Sioux River @ Timberline,8.93,21.48,7.61,1.013,3.8,36.5,517.0,0.02,3.1,,,,,No,,26B,{EE1FEA5F-4053-477F-9C79-7C481A6FABAC}
24407,2013/10/02 10:00:00+00,Skunk Creek @ Marion Road,8.62,14.06,7.12,1.32,4.2,33.0,46.0,0.03,0.01,,,,,No,,26D,{287D757D-BAE2-49F0-9DE5-E4AFF51A250D}
24408,2013/10/18 10:00:00+00,Skunk Creek @ Marion Road,8.76,6.35,12.73,1.076,3.1,25.0,2419.6,0.08,1.1,,,,,No,,26D,{4D82B85B-A43B-47B3-80DF-C05B116F12FD}
24409,2012/09/25 09:58:00+00,Big Sioux River @ Bahnson,8.27,14.42,7.08,1.567,12.3,17.0,120.0,0.08,15.0,,,,,No,,26A,{E6887326-2692-4448-A3E7-77D0BC976264}
24410,2012/08/03 09:57:00+00,Skunk Creek @ Marion Road,8.44,23.95,4.46,1.103,6.7,95.0,147.0,0.08,0.01,,,,,No,,26D,{BACF97E4-6331-4101-9C04-4820CCE9F553}
24411,2012/07/05 09:56:00+00,Big Sioux River @ I-90,8.05,26.4,7.55,0.011,5.3,43.0,99.0,0.01,0.01,,,,,No,,26C,{240163C0-9761-457C-A370-F743E39B4052}
24412,2012/08/01 09:56:00+00,Skunk Creek @ Marion Road,8.37,25.74,5.17,1.116,7.0,67.0,125.0,0.03,0.01,,,,,No,,26D,{247FC3B2-862F-4324-A62B-44E45F46BB07}
24413,2013/02/06 09:56:00+00,Big Sioux River @ Bahnson,8.22,2.01,12.7,1.936,6.8,17.6,122.0,0.17,12.0,,,,,No,,26A,{D67C5B9A-E1F6-4834-A240-5322874D14DD}
24414,2012/06/19 09:55:00+00,Big Sioux River @ I-90,8.24,24.83,8.44,1.234,6.9,69.0,210.0,0.03,0.78,,,,,No,,26C,{5B9211CF-3D08-4035-98D7-ACDDA4719F71}
24415,2012/07/17 09:55:00+00,Big Sioux River @ Bahnson,8.52,26.16,6.25,1.148,6.7,54.0,96.0,0.06,2.7,,,,,No,,26A,{362F3655-F3DC-42F1-906B-4280BAF79C30}
24416,2012/11/15 09:55:00+00,Big Sioux River @ I-90,8.56,3.4,17.7,0.835,10.8,38.5,17.0,0.01,0.36,,,,,No,,26C,{D61101A4-84C0-4781-B541-3BFC790BB6D9}
24417,2012/12/04 09:55:00+00,Skunk Creek @ Marion Road,7.16,1.96,12.16,1.165,0.7,7.4,6.0,0.07,0.078,,,,,No,,26D,{D49D20AC-E10A-4216-B567-14521B00E19B}
