OBJECTID,ALLOT_NO,ALLOT_NAME,GIS_ACRES,ADMIN_ST,ADM_OFC_CD,ADM_UNIT_CD,ST_ALLOT,ACTIVE_DT,GlobalID,Shape__Length,Shape__Area
977,5212.0,Cane Beds,16759.08183233,AZ,A01000,AZA01000,AZ05212,9999/09/09 00:00:00+00,{5F6A1684-6245-4AE4-A782-D75FCC048701},52800.9649224513,67821597.9466995
978,5238.0,Harris Well,6803.29977788,AZ,A01000,AZA01000,AZ05238,9999/09/09 00:00:00+00,{7BB126E5-95D8-4E33-9DCD-6873F245DBB9},33307.6557008889,27531977.3996107
979,5340.0,Wahweep,4066.62088132,AZ,A02000,AZA02000,AZ05340,9999/09/09 00:00:00+00,{6C94F7C2-586A-4424-B441-FD177EBDB888},25446.5337377408,16457030.8310512
980,5332.0,Soap Creek,15671.24085919,AZ,A02000,AZA02000,AZ05332,9999/09/09 00:00:00+00,{81FBE375-C227-4C24-B97B-422659905DD9},105713.763389499,63419261.7180004
983,5244.0,Stateline,2033.43987388,AZ,A01000,AZA01000,AZ05244,9999/09/09 00:00:00+00,{8484CC49-66FE-4941-97FE-B391FB9932E0},12356.5052612884,8229039.21315809
984,5234.0,Valley Wash,4398.1011553,AZ,A01000,AZA01000,AZ05234,9999/09/09 00:00:00+00,{B48FC8D2-08F6-4F1D-BD8F-20A770FB077C},18475.2846630788,17798483.9066737
985,5304.0,Eight Mile Pass,443.81681854,UT,C04000,UTP02000,UT05304,9999/09/09 00:00:00+00,{5372DB84-08FE-45D0-9DB8-1581921C702A},6033.02552199906,1796062.94246805
986,5260.0,Loco Point,6700.69015635,AZ,A01000,AZA01000,AZ05260,9999/09/09 00:00:00+00,{8DD46DF2-1792-4243-976E-6BFA575951D3},28822.283700951,27116730.9937193
987,5246.0,Ferrin,2272.51118261,AZ,A01000,AZA01000,AZ05246,9999/09/09 00:00:00+00,{4F6A4E4F-BBD6-445C-9AE8-591B80F79629},17718.5095712715,9196526.47431611
988,5311.0,Sage,920.89293694,AZ,A01000,AZA01000,AZ05311,9999/09/09 00:00:00+00,{66604361-6B70-482C-8ABA-A012981A8004},8410.84320398736,3726721.49621738
989,4839.0,Wolfhole Mountain,6844.80670347,AZ,A01000,AZA01000,AZ04839,9999/09/09 00:00:00+00,{511F93E2-D9F5-4DB6-A95B-573DDD961167},29752.3462284699,27699949.968038
991,5271.0,Lane,533.55595261,AZ,A01000,AZA01000,AZ05271,9999/09/09 00:00:00+00,{BD64B7E7-C324-4473-A40B-BF70154FC38C},6438.30405539719,2159224.33351872
992,4813.0,Blake Pond,3454.5657614,AZ,A01000,AZA01000,AZ04813,9999/09/09 00:00:00+00,{9B514018-6CDB-4B44-8A7F-D867395C3A0C},23378.6195035011,13980131.6381086
993,5332.0,Soap Creek,5394.73888629,AZ,A02000,AZA02000,AZ05332,9999/09/09 00:00:00+00,{93DD85FF-D74C-4FAA-BEA8-08AE8CA04463},36344.9586891888,21831733.7091484
994,5301.0,Shinarump,1822.201524,AZ,A01000,AZA01000,AZ05301,9999/09/09 00:00:00+00,{EC273710-7579-4432-94D6-10CEBA2DDF4D},14738.2885595091,7374187.94029295
995,4810.0,Sullivan Canyon,21641.05701033,AZ,A01000,AZA01000,AZ04810,9999/09/09 00:00:00+00,{F4E3F76B-A2E8-4E40-B40C-67D190F14510},74908.2682723546,87578250.5497829
996,5302.0,Brown-Shumway,1305.31764002,AZ,A01000,AZA01000,AZ05302,9999/09/09 00:00:00+00,{DB165D8D-CE0F-407C-89CC-69E781869B97},12159.9597039373,5282433.07477408
997,5308.0,Button,5841.64158942,AZ,A01000,AZA01000,AZ05308,9999/09/09 00:00:00+00,{0DE98319-F485-4FAF-A77B-B581759C84EF},28147.4286983585,23640284.7835064
998,5245.0,Joe,2935.81394465,AZ,A01000,AZA01000,AZ05245,9999/09/09 00:00:00+00,{ACC749FD-97A6-4615-AE02-E85A27F4C012},18626.6101756832,11880817.516864
999,5349.0,White Sage,11896.01554202,AZ,A01000,AZA01000,AZ05349,9999/09/09 00:00:00+00,{98BC2516-0416-44F8-A641-AB1D55F2006E},38142.9110728974,48141466.8971855
1000,5319.0,Rock Canyon Tank,23124.71084008,AZ,A01000,AZA01000,AZ05319,9999/09/09 00:00:00+00,{046A1331-EF32-467D-B2E5-2D61D558EBD0},63443.8353336832,93582384.5793309
1001,4856.0,Quail Canyon,16267.64577065,AZ,A01000,AZA01000,AZ04856,9999/09/09 00:00:00+00,{A6D10837-6068-4F20-9D69-82DCCCF1D02F},41767.8175031012,65832826.764287
1002,5314.0,Pratt Tank,16691.63039268,AZ,A01000,AZA01000,AZ05314,9999/09/09 00:00:00+00,{B71E953D-4710-484E-966D-58A787F30454},42765.537958058,67548631.6549186
1003,5253.0,Homestead,14488.67632967,AZ,A01000,AZA01000,AZ05253,9999/09/09 00:00:00+00,{D585B9E3-CD29-4500-BC80-FD102424F75D},43948.1504665519,58633592.8568158
1004,4824.0,Mountain Sheep,2024.05353557,AZ,A01000,AZA01000,AZ04824,9999/09/09 00:00:00+00,{B7670069-B32C-4984-A33E-627BED536079},17430.1686838723,8191054.0496907
1005,4832.0,Mesquite Community,21911.70792777,AZ,A03000,AZA03000,AZ04832,9999/09/09 00:00:00+00,{3E268112-7D73-40F0-90E2-3233A963B8EE},49863.8522867684,88673535.9532425
1006,5236.0,Scotties Seep,5808.17112179,AZ,A01000,AZA01000,AZ05236,9999/09/09 00:00:00+00,{7E55A2F8-CF08-4BF8-94EA-6F48219113B6},23576.086597249,23504834.6066299
1007,5227.0,Hacks,4431.60785814,AZ,A01000,AZA01000,AZ05227,9999/09/09 00:00:00+00,{F08E5D31-B2AC-47EA-AF2C-1CE595811D5B},26611.1428725149,17934080.7222555
1008,5263.0,Yellowstone,10626.08121534,AZ,A01000,AZA01000,AZ05263,9999/09/09 00:00:00+00,{465421CF-936B-4EED-B4DF-8D42A2720FA4},39961.8448205072,43002225.0112478
1009,4851.0,Tassi,189.70106787,AZ,A03000,AZA03000,AZ04851,9999/09/09 00:00:00+00,{C79F5BBD-E5C6-44F4-9F25-D588CC20C136},5285.21769980281,767692.98483853
1010,4801.0,Jump Canyon,27705.00117411,AZ,A03000,AZA03000,AZ04801,9999/09/09 00:00:00+00,{8D46252F-8BA5-4623-B2AE-2962743C3B8D},69261.2730531758,112118161.934057
1011,5218.0,Mt. Logan,16716.79843316,AZ,A03000,AZA03000,AZ05218,9999/09/09 00:00:00+00,{A172804F-B26C-4F11-B0AB-38188597DEAA},42329.5899637684,67650483.1012076
1012,122.0,Imlay-Sullivan Tank,29636.00615187,AZ,A03000,AZA03000,AZ00122,9999/09/09 00:00:00+00,{94BE1CEC-DDAC-4E08-8AEF-3ECFFAB99313},57550.5934450383,119932661.829957
1013,4867.0,Hat Knoll,3280.32748181,AZ,A01000,AZA01000,AZ04867,9999/09/09 00:00:00+00,{956E4155-C8F3-4BDD-9CE1-E443A5C3C3D0},16775.6935748538,13275014.3373372
1014,97.0,Tuckup,16908.687465,AZ,A01000,AZA01000,AZ00097,9999/09/09 00:00:00+00,{E498E274-8434-459B-AE1C-77243232E76B},40259.2797622887,68427030.4620974
1015,4826.0,Mt. Trumbull,12570.35771554,AZ,A01000,AZA01000,AZ04826,9999/09/09 00:00:00+00,{44FADB1B-25F5-4B22-9447-4C4573EE43DF},40468.2272405217,50870432.8529892
1016,4820.0,Duncan Tank,4557.28525576,AZ,A03000,AZA03000,AZ04820,9999/09/09 00:00:00+00,{554FED78-AB7D-4387-A2C2-FC10473DF3B3},56504.1390523889,18442679.1059802
1017,0.0,Private or State,3833.78297218,AZ,A03000,AZA03000,AZ00000,9999/09/09 00:00:00+00,{50819187-D163-4010-BF84-FDF5AB90F0AA},16206.6677056817,15514769.2430683
1018,5230.0,Gulch,1915.96408413,AZ,A01000,AZA01000,AZ05230,9999/09/09 00:00:00+00,{C25FF88A-37CA-45A0-9006-92890DB00E35},16831.1478267198,7753631.55896362
1019,0.0,Home Ranch,58065.02141993,AZ,A03000,AZA03000,AZ00000,9999/09/09 00:00:00+00,{3B42FD15-A918-493C-831F-1BE736DF4102},291369.937295068,234980804.850024
1020,5237.0,Moonshine,6222.99112389,AZ,A01000,AZA01000,AZ05237,9999/09/09 00:00:00+00,{0259DD27-6DD0-47EA-9542-460BE99FC158},29150.159514348,25183551.596261
1021,5315.0,Shuttleworth,9472.61314541,AZ,A01000,AZA01000,AZ05315,9999/09/09 00:00:00+00,{8B83330A-0083-4E08-BEC6-128AC664C5FD},27059.089013355,38334305.3443956
1022,4834.0,Iverson,4709.4454355,AZ,A01000,AZA01000,AZ04834,9999/09/09 00:00:00+00,{1A05B5DF-CA51-4C52-A7E4-806855914074},23324.2209773146,19058449.5065833
1023,5257.0,Lamb Tank,3899.1614839,AZ,A01000,AZA01000,AZ05257,9999/09/09 00:00:00+00,{BE9883F7-F8C6-4761-BB95-EE1E277C0CD9},29173.989058479,15779346.6930822
1024,5331.0,House Rock,8133.64756474,AZ,A02000,AZA02000,AZ05331,9999/09/09 00:00:00+00,{E5086E68-815E-45EF-BD21-3E3A5C974441},30314.8974451905,32915703.8848904
1025,4836.0,Mosby-Nay,12610.23383793,AZ,A03000,AZA03000,AZ04836,9999/09/09 00:00:00+00,{3EF81202-644F-4DB2-9FA9-ED086A596C5B},34531.4550900418,51031805.7950068
1026,5223.0,Wildband,43514.34133102,AZ,A01000,AZA01000,AZ05223,9999/09/09 00:00:00+00,{7189A504-FB94-420B-9C6D-308BE163496D},134102.709838981,176096291.681946
1027,4844.0,Mormon Well,16031.86662879,AZ,A01000,AZA01000,AZ04844,9999/09/09 00:00:00+00,{3947A534-C9FA-4B19-B8EF-93AA862EF835},32311.4731554284,64878662.4297615
