X,Y,OBJECTID,RIPS_num,RIPS_name,allot_num,allot_name,NEPA_num,improve_subtype,improve_type,admin_st_code,admin_unit_code,maint_respone,est_year,last_insp_date,GlobalID,COORD_SRC_TYPE,ACCURACY_FT,created_date,last_edited_date,TempPurpose,RIPS_num_legacy,Old_GUID,Comment_cnt
319004.4887,4396836.4133,4441,005342,Onion Ridge Reservoir 3,,,,8.0,MANMADE POND OR RESERVOIR,CO,COG02000,,,,{D74341D0-330A-4AB4-A0A9-32B114F00A98},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,005342,{898A7019-8979-4827-AA58-9542FDE2F93C},0.0
341803.5939,4386025.2711,4442,000656,E Hockett Pond 3,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{98FCF17B-B7C7-48D8-92A9-33521583DEC2},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000656,{561AFECF-7674-45D3-875B-E6E1303FF4A4},0.0
341874.3573,4386178.6615,4443,000655,E Hockett Pond 2,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{4E1F9849-07FA-4E1D-BCED-BF048945EFFE},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000655,{6437489D-D2D0-4213-8899-DA8E62EAC41B},0.0
341978.6718,4386331.601,4444,000654,E Hockett Pond 1,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{21863751-1497-4C5B-AF7D-0A2007BCAE4B},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000654,{6FEAB3F9-F504-4BCA-8BBB-9D3552C55760},0.0
340623.8231,4385433.4934,4445,000657,S Hockett Pond 2,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{D83489FE-3A13-4CEB-A3BC-DE6F71991F63},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000657,{57CBC345-CF89-4A58-BB8E-3DD9C6DDBFB2},0.0
340749.6103,4385708.9241,4446,000658,S Hockett Pond 1,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{27E76CA3-DD06-4F40-A222-B2B566E0903D},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000658,{065A0EE3-F05D-4F23-944D-C20BE7718ED3},0.0
329873.4534,4389415.0854,4447,000725,Beacon Pond,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{1E73FC79-52FE-4E5E-A7D4-91ABFC5720A4},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000725,{FA8FC0F2-DF5C-477E-B47E-B5EC7C48DCF5},0.0
329306.096,4386023.2748,4448,000697,E Red Hill Pond 1,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{11881ACC-6D69-49A6-B34C-C4F89AB74CB6},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000697,{D3DC7160-028A-4911-8336-005E4C9C86F8},0.0
328985.4158,4386781.807,4449,000698,E Red Hill Pond 2,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{4E6694AE-99EA-4F0A-97FB-EFFF9E51E635},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000698,{29C3CEAA-4C24-423D-B341-83506513ECF8},0.0
328128.2127,4387478.6699,4450,000699,E Red Hill Pond 3,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{A5E249F7-1E57-4D4F-ACDA-8BA5BBE6C0CB},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000699,{DAA91AFB-ADBA-4A37-9270-606011D26730},0.0
