OBJECTID,COMMENT,STEWARD1,STEWARD2,SHAPE_Length,SHAPE_Area
234,Known Survey Issue,,,1497.57341219903,94873.3628183807
235,Known Survey Issue,,,1454.74380660852,124912.056320886
236,Known Survey Issue,,,1580.29345391772,160587.337193667
237,Known Survey Issue,,,511.477498212851,11034.6289238766
238,Known Survey Issue,,,1424.35842480151,85726.3594641042
239,Known Survey Issue,,,1144.31292650051,55127.2883687065
240,,,,153.477279748574,632.127329007677
241,Known Survey Issue,,,1612.30748712987,161913.408099369
242,Known Survey Issue,,,1522.1854543835,125543.637413461
243,Known Survey Issue,,,1679.32730957999,178111.278829801
244,Known Survey Issue,,,1763.4621241465,99815.0401853098
245,Known Survey Issue,,,1256.66572920436,73235.0253894697
246,Known Survey Issue,,,1611.40319439135,161755.253305272
247,,,,6464.37873632642,2603704.18525483
248,,,,6441.7292032388,2585102.87479991
249,,,,1231.07147506107,88208.4531098053
250,,,,2402.52156927606,178731.422666639
251,,,,6515.06057375051,2640377.12387668
252,,,,6446.25553357537,2589059.44160711
253,,,,1633.01126981288,115069.778499853
254,,,,1359.14939245322,111747.807090055
255,,,,1421.27505426574,121435.616583555
256,,,,1610.36138712762,145828.614518502
257,,,,1272.75247845422,97323.5050920059
258,,,,5288.17504710461,1562887.41849705
259,,,,6448.29996239412,2590447.25794228
260,,,,3602.09727561783,175814.198371096
261,,,,2069.33612569532,200965.15849569
262,G 11A & 25 (topology issue),,,0.0,0.0
263,G 30-2 & 30-4 (incomplete),,,12094.7795860642,1989912.50859511
264,G 30-2 & 30-3 (incomplete),,,8707.5212573051,1284640.20492536
265,G 30-3 & 30-4 (incomplete),,,20674.4820888941,3382199.37403125
266,G 145 & 157A,,,20622.7551110947,14022208.6381923
267,G 130 & 145 (incomplete),,,28644.2632567874,23273370.1387613
268,G 101 & 103,,,2422.95566935601,128127.398271417
269,G 46 & 101,,,9918.78885807941,5243577.72672573
270,G 47 & 116,,,38428.5517899421,82638734.5999653
271,G 109 & 116,,,26895.8451258005,1132507.39544279
272,G 81 & 116,,,14953.0034683909,11770243.1592781
273,G 47 & 159,,,20554.3880818869,8355919.91250209
274,G 38 & 63,,,4420.50645077231,77125.675040077
275,G 109 & 158 (topology issue),,,2354.85603627741,477.591844961156
276,G 14P & 91,,,29669.2030390396,15076766.9899456
277,G 7D & 27,,,7414.2810787863,113897.965814188
278,G 36 & 56BM,,,2790.74671451322,200694.095964095
279,G 13Q & 50,,,24631.6557289857,1126846.12865425
280,G 13Q & 274-2 (topology issue),,,851.930010229926,4.78337671633075
281,G 13Q & 13QT (topology issue),,,865.154325287423,311.131791602117
282,G B & 30-5,,,4125.31814583211,868828.878891287
283,G 1A & B,,,8019.59142002536,1154313.09083889
284,G 1A & 46,,,56.7814432450969,33.3146102804304
285,G 1L & 92,,,14645.3952444404,5003889.26524173
286,G 2N & 92,,,19570.1735750174,11184815.80212
287,G 4M & 92,,,12428.6324204275,3213688.91353902
288,G 6C & 36,,,19801.0071784513,5386989.52377976
289,G 36 & 264 (incomplete),,,1116.04499214151,9371.97243377127
290,G 131 & 140B (incomplete),,,22419.5879712056,6865716.33129867
291,G 131 & 140A (incomplete),,,9585.57811378554,4418767.24168853
292,G 20-2 & 41,,,58741.5895559377,200521451.286473
293,G 86 & 139,,,8138.52211481278,441572.335140269
294,G 6 & 85,,,6108.55820422418,12143.6534196071
295,G 86 & 139,,,3013.07026339856,379650.949352069
296,G 40 & 43,,,2927.84098064635,473526.141870107
297,G 16E & 267,,,16103.0213917295,5452460.18067027
298,G 16E & 142,,,1987.77849710872,233916.283736573
299,G 15H & 142,,,10417.6745143557,2663521.5344056
300,G 12G & 135,,,12931.2034321743,145630.57264134
301,G 12G & 89,,,32800.0745787871,20246102.1074707
302,G 12G & 63,,,1151.25432769606,13883.9619566371
303,G 12G & 15H,,,3875.51665114598,605192.568135128
304,G 82A & 88,,,4390.03528993393,813014.286615719
305,G 88 & 89A,,,8044.42539285359,3238888.33182485
306,G 53 & 137,,,2242.30678507678,10103.8959318958
307,G 64 & 82,,,291.310274551089,1472.71891905915
308,G 15H & 82,,,5857.72681691462,149796.629659238
309,G 63 & 89,,,38573.7199538894,95095583.6216583
310,G 64 & 89,,,2289.1973036452,101422.58544555
311,G 15H & 89,,,23466.6003255809,9449140.59419262
312,G 88 & 137,,,4179.78390912848,607487.543450372
313,G 43 & 64,,,27552.5121668428,47173356.7657514
314,G 15H & 64,,,42719.518617528,87867175.7549265
315,G 47 & 116 & 159,,,681.472405107809,9502.28055071462
316,G 12G & 63 & 89,,,13718.4264007506,5451959.28167902
317,G 15H & 64 & 82,,,4983.68575308249,45627.834779114
318,G 15H & 64 & 89,,,12771.2397639669,9133009.63187946
319,,BLM Cadastral - NM,,1599.813034582,153820.252544804
320,,BLM Cadastral - NM,,1536.02447791345,140225.885416659
321,,BLM Cadastral - NM,,1615.41556358075,161134.013047005
322,,BLM Cadastral - NM,,1607.86282079628,159571.450880811
323,,BLM Cadastral - NM,,1046.41729378786,42016.7050572571
324,,BLM Cadastral - NM,,920.92302353527,14454.6239904723
325,,BLM Cadastral - NM,,1511.5648186924,137511.540247196
326,,BLM Cadastral - NM,,1250.92105426643,82954.2972790912
327,,,,960.248504096842,38237.3468113311
328,,,,952.491326793868,36767.3304326605
329,,,,936.954066348823,33820.1586076211
330,,,,944.732965040058,35296.5497452635
331,,,,1503.16071123484,139285.79435836
332,,,,1589.96631084365,157570.478634296
