OBJECTID,GEOID10,ALAND10,AWATER10,GlobalID,T_Parcel,T_Str_CR,Pct_S_CR,T_Str_1230,Pct_S_1230,T_Vac_Q413,Pct_V_Q413,T_Vac_Q114,Pct_V_Q114,T_Vac_Q214,Pct_V_Q214,T_Vac_Q314,Pct_V_Q314,T_Vac_Q414,Pct_V_Q414
43,261635254002005,17557,0,366ee4a2-932b-49b8-a1fd-46f5a0871a6a,40.0,18.0,0.45,18.0,0.45,,,,,,,,,,
44,261635254002014,15430,0,d21c7394-c301-4254-9bc8-4b92648e33a2,33.0,10.0,0.303030303030303,10.0,0.303030303030303,,,1.0,0.1,1.0,0.1,1.0,0.1,,
45,261635254002006,20916,0,3fa99e1c-0fae-4158-8d6a-4b8627290f86,41.0,15.0,0.365853658536585,15.0,0.365853658536585,3.0,0.2,3.0,0.2,3.0,0.2,3.0,0.2,3.0,0.2
46,261635054003014,20422,0,861aaa68-f88c-41fb-92ab-39805684b8df,30.0,14.0,0.466666666666667,14.0,0.466666666666667,10.0,0.714285714285714,10.0,0.714285714285714,10.0,0.714285714285714,10.0,0.714285714285714,10.0,0.714285714285714
47,261635004004013,11879,0,c665c0b1-617d-4990-b5da-1784a3eb4955,14.0,6.0,0.428571428571429,6.0,0.428571428571429,3.0,0.5,3.0,0.5,3.0,0.5,4.0,0.666666666666667,4.0,0.666666666666667
48,261635231001050,13828,0,035f868f-2e64-4167-afa9-415350a9f3d5,21.0,8.0,0.380952380952381,8.0,0.380952380952381,2.0,0.25,2.0,0.25,2.0,0.25,2.0,0.25,2.0,0.25
49,261635231001051,21984,0,07cfd649-5c51-4f07-8527-a5c5dd9cec6a,37.0,16.0,0.432432432432432,16.0,0.432432432432432,5.0,0.3125,5.0,0.3125,5.0,0.3125,5.0,0.3125,5.0,0.3125
50,261635231001047,23172,0,add939c9-555b-4f8b-bd7e-0ceb2c73366c,,,,,,,,,,,,,,,
51,261635373004002,29184,0,2bb2eff5-e58f-43db-9174-1f90fa987b92,54.0,29.0,0.537037037037037,29.0,0.537037037037037,15.0,0.517241379310345,15.0,0.517241379310345,16.0,0.551724137931034,16.0,0.551724137931034,16.0,0.551724137931034
52,261635373004006,32607,0,6da50458-3797-40d5-be87-1a43e750353d,60.0,50.0,0.833333333333333,50.0,0.833333333333333,20.0,0.4,20.0,0.4,23.0,0.46,22.0,0.44,23.0,0.46
53,261635373004008,22712,0,1e4106e2-0853-404f-b7b7-e4bf68e8d639,38.0,27.0,0.710526315789474,27.0,0.710526315789474,10.0,0.37037037037037,10.0,0.37037037037037,10.0,0.37037037037037,10.0,0.37037037037037,10.0,0.37037037037037
54,261635015005002,21223,0,06512c51-3b48-49b9-bab1-ea0a8f00dffa,27.0,24.0,0.888888888888889,24.0,0.888888888888889,8.0,0.333333333333333,7.0,0.291666666666667,6.0,0.25,6.0,0.25,7.0,0.291666666666667
55,261635055001036,44622,0,f212bb25-c084-4193-8fce-86dc4881a9d6,14.0,4.0,0.285714285714286,4.0,0.285714285714286,,,,,,,,,,
56,261635260002018,22156,0,688537da-c097-4c8c-b22e-e24ade8dfb5c,26.0,25.0,0.961538461538462,25.0,0.961538461538462,1.0,0.04,1.0,0.04,,,,,,
57,261635258002017,9503,0,e0bbe7cf-8b4a-454d-95dc-eb6ac9e32439,20.0,15.0,0.75,15.0,0.75,5.0,0.333333333333333,7.0,0.466666666666667,7.0,0.466666666666667,6.0,0.4,4.0,0.266666666666667
58,261635249001012,8955,0,71e2124c-9c8c-4ad6-b32b-309c238c2600,1.0,,,,,,,,,,,,,,
59,261635339003046,15810,0,15f6fa7d-d7f5-4fb9-ab5e-0e09294a5255,,,,,,,,,,,,,,,
60,261635119001037,6752,0,08415ab9-0309-486f-b572-c68085abae4f,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
61,261639851001045,75217,0,a7569195-d608-46ef-9e3c-9ec1a5e00c5b,6.0,3.0,0.5,3.0,0.5,1.0,0.333333333333333,1.0,0.333333333333333,1.0,0.333333333333333,1.0,0.333333333333333,1.0,0.333333333333333
62,261635211001018,11449,0,9b723c98-ee9b-4d2d-9373-77e0ae0965f7,8.0,7.0,0.875,7.0,0.875,2.0,0.285714285714286,1.0,0.142857142857143,1.0,0.142857142857143,1.0,0.142857142857143,1.0,0.142857142857143
63,261635401001010,16921,0,4554f97b-6d59-49dd-b236-a47dd589bdb1,21.0,20.0,0.952380952380952,20.0,0.952380952380952,1.0,0.05,3.0,0.15,4.0,0.2,2.0,0.1,2.0,0.1
64,261635142002004,36145,0,98da4eb3-9e75-4510-8111-ae535bff5a76,59.0,30.0,0.508474576271186,31.0,0.525423728813559,5.0,0.166666666666667,6.0,0.2,6.0,0.2,6.0,0.2,6.0,0.2
65,261635142001005,27877,0,25e4d6eb-b9e1-4b5f-a658-1bdea24828b9,61.0,27.0,0.442622950819672,24.0,0.39344262295082,6.0,0.222222222222222,5.0,0.185185185185185,8.0,0.296296296296296,7.0,0.259259259259259,4.0,0.148148148148148
66,261635159003017,8970,0,699dff0a-12e3-4713-866e-f3dbdefd2a6b,1.0,,,,,,,,,,,,,,
67,261635160004001,15081,0,577913b0-052e-4ec4-bc2a-72347cad95e0,3.0,,,,,,,,,,,,,,
68,261635160002000,16161,0,e21e59cc-3577-4375-959e-026485919975,31.0,16.0,0.516129032258065,16.0,0.516129032258065,6.0,0.375,6.0,0.375,6.0,0.375,6.0,0.375,3.0,0.1875
69,261635160002002,15788,0,bd9274df-b504-4aec-aac8-00543454537c,34.0,14.0,0.411764705882353,13.0,0.382352941176471,3.0,0.214285714285714,4.0,0.285714285714286,4.0,0.285714285714286,4.0,0.285714285714286,1.0,0.0714285714285714
70,261635152002003,18030,0,aa9b218d-4afd-449b-96c0-a31e276c68c4,39.0,10.0,0.256410256410256,10.0,0.256410256410256,3.0,0.3,3.0,0.3,3.0,0.3,3.0,0.3,3.0,0.3
71,261635262002003,14477,0,649e03c6-b59d-42a6-bff6-62a1377dc860,28.0,12.0,0.428571428571429,12.0,0.428571428571429,3.0,0.25,3.0,0.25,3.0,0.25,3.0,0.25,3.0,0.25
72,261635265001000,20738,0,249ee9cf-b299-46ae-b719-583ca928fa7d,26.0,18.0,0.692307692307692,18.0,0.692307692307692,8.0,0.444444444444444,7.0,0.388888888888889,6.0,0.333333333333333,8.0,0.444444444444444,7.0,0.388888888888889
73,261635263002004,17898,0,40bbce73-9d05-4e16-9deb-5349f3a780a3,44.0,31.0,0.704545454545455,31.0,0.704545454545455,12.0,0.387096774193548,10.0,0.32258064516129,10.0,0.32258064516129,10.0,0.32258064516129,9.0,0.290322580645161
74,261635265003001,27324,0,9de74cda-cd1f-4802-8f01-c9d4a3d701d2,49.0,35.0,0.714285714285714,35.0,0.714285714285714,9.0,0.257142857142857,8.0,0.228571428571429,8.0,0.228571428571429,8.0,0.228571428571429,9.0,0.257142857142857
75,261635334004013,6617,0,08027375-5daf-47be-b16c-890e23766321,3.0,1.0,0.333333333333333,2.0,0.666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,261635334004012,34050,0,6525ca5f-965e-492b-827f-2c91875ce17f,64.0,35.0,0.546875,35.0,0.546875,10.0,0.285714285714286,10.0,0.285714285714286,11.0,0.314285714285714,11.0,0.314285714285714,12.0,0.342857142857143
77,261635168001027,15945,0,17206b47-8957-4230-8fc7-3bccc3070ad4,26.0,8.0,0.307692307692308,9.0,0.346153846153846,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5
