OBJECTID,SUBJ_STATE,FEATURE,SHAPE_Length,SHAPE_Area
1231,OREGON,1,0.0013665336794299,1.18447841581346e-07
1232,OREGON,1,0.0014364393196244,1.20691365667728e-07
1233,OREGON,1,0.0007637884098496,3.88052709039893e-08
1234,OREGON,1,0.0006516982084465,2.91381908311005e-08
1235,OREGON,1,0.0008959839197344,4.98343403249077e-08
1236,OREGON,1,0.0029937786090926,2.55740079799741e-07
1237,OREGON,1,0.0006626331845442,2.75151191363587e-08
1238,OREGON,1,0.000969230312758,4.10378944857734e-08
1239,OREGON,1,0.0050359959007803,1.26859902363182e-06
1240,OREGON,1,0.0955921247037633,6.99502456071117e-05
1241,OREGON,1,0.148089226924351,8.81551928399053e-05
1242,OREGON,1,0.0830149262557616,0.0001548590616824
1243,OREGON,1,0.0048050468837369,4.57982265218646e-07
1244,WASHINGTON,1,0.0091211863216878,2.63442329862233e-06
1245,OREGON,1,0.0042147714722434,5.20495111389524e-07
1246,OREGON,1,0.0080035574195051,1.4688913499219e-06
1247,OREGON,1,0.0029208406054144,5.76319515032285e-07
1248,WASHINGTON,1,0.0151371372963717,6.2975977685821e-06
1249,OREGON,1,0.0041205285067915,5.83155711111797e-07
1250,OREGON,1,0.0089193758961691,2.81988359257355e-06
1251,OREGON,1,0.0079885211747949,1.48724293610643e-06
1252,WASHINGTON,1,0.0030398553100564,3.43093763302732e-07
1253,WASHINGTON,1,0.0054516769977432,7.56673770598472e-07
1254,OREGON,1,0.0300966513960551,2.75414820741314e-05
1255,OREGON,1,0.0123462545521278,2.36983454081175e-06
1256,OREGON,1,0.0143030203768111,5.45559182122551e-06
1257,OREGON,1,0.0015869043206055,9.89818817073575e-08
1258,OREGON,1,0.0016155020815898,1.35707779072908e-07
1259,OREGON,1,0.0012469178474833,8.83280940023489e-08
1260,OREGON,1,0.0060999219641565,1.0134332495387e-06
1261,OREGON,1,0.0050798120052506,8.55145242452787e-07
1262,WASHINGTON,1,0.0034047802746575,4.59825233061947e-07
1263,OREGON,1,0.0020427755910771,2.58374772190134e-07
1264,OREGON,1,0.0068491529569508,1.50002874941923e-06
1265,OREGON,1,0.0007686250415626,2.48489598080711e-08
1266,WASHINGTON,1,0.107654546017119,0.0003027380044446
1267,OREGON,1,0.0005521100015802,1.63588930120592e-08
1268,OREGON,1,0.0007798587400076,3.32839590528776e-08
1269,OREGON,1,0.0008945409164748,4.29828909819761e-08
1270,OREGON,1,0.0007051047453124,3.47573665730317e-08
1271,OREGON,1,0.0006374607972102,2.0138857586159e-08
1272,OREGON,1,0.0034584181529428,4.96559828025037e-07
1273,OREGON,1,0.0008087825545797,4.25262970753329e-08
1274,OREGON,1,0.0035439926503383,4.37130197373058e-07
1275,OREGON,1,0.0127816409328679,1.92787374189731e-06
1276,OREGON,1,0.0034445186682752,5.09067922864717e-07
1277,OREGON,1,0.0011036365571646,6.35185586570306e-08
1278,OREGON,1,0.00191440695232,1.09289541080212e-07
1279,OREGON,1,0.0026286440371789,3.03387202272847e-07
1280,OREGON,1,0.004023009826163,7.2852985615569e-07
1281,OREGON,1,0.0011307035443297,7.49447194833197e-08
1282,OREGON,1,0.0013305639065919,6.48684867602678e-08
1283,OREGON,1,0.0029355309732111,1.911398457192e-07
1284,WASHINGTON,1,0.0055244883613769,1.3981208023364e-06
1285,OREGON,1,0.001187616165398,6.97669104896348e-08
1286,WASHINGTON,1,0.0554296300651413,3.98462962155216e-05
1287,WASHINGTON,1,0.172994840870396,0.0001757882888679
1288,WASHINGTON,1,0.0041985535885196,3.72758841763368e-07
1289,OREGON,1,0.0126077970747805,5.20482049320151e-06
1290,WASHINGTON,1,0.0357259667153363,1.65306873343537e-05
1291,OREGON,1,0.0025494660225064,3.68922585668474e-07
1292,OREGON,1,0.0551641328308761,3.33439042420485e-05
1293,OREGON,1,0.0034372274243652,6.1352574494313e-07
1294,OREGON,1,0.0065454447697618,7.89099506014591e-07
1295,WASHINGTON,1,0.118710537901007,0.0001152386241796
1296,OREGON,1,0.0004004281593774,1.08768589736005e-08
1297,OREGON,1,0.0046107213390182,4.83401267195513e-07
1298,WASHINGTON,1,0.0043230854843626,5.59831598571549e-07
1299,WASHINGTON,1,0.0028708655758074,3.60157159436919e-07
1300,OREGON,1,0.0006025495868773,2.28638663855178e-08
1301,WASHINGTON,1,0.001493853727871,6.88132440910958e-08
1302,WASHINGTON,1,0.0014094166093194,8.09459041145109e-08
1303,WASHINGTON,1,0.0314503226681916,1.58750499682324e-05
1304,WASHINGTON,1,0.0010627987793894,4.4136599801246e-08
1305,WASHINGTON,1,0.0138877766279423,5.68107994581e-06
1306,WASHINGTON,1,0.0276391111027455,2.48671247607045e-05
1307,WASHINGTON,1,0.0503094576375168,5.25698652384535e-05
1308,OREGON,1,0.0758646634600886,6.84168047592565e-05
1309,OREGON,1,0.202073341849051,0.0002658787315601
1310,WASHINGTON,1,0.0008360172476907,4.78245666166427e-08
1311,WASHINGTON,1,0.0009590863086744,4.04495843135194e-08
1312,WASHINGTON,1,0.00486524202613,5.76884852649436e-07
1313,WASHINGTON,1,0.0006930683311502,2.15680333166243e-08
1314,WASHINGTON,1,0.0308193819956956,2.10805053846731e-05
1315,WASHINGTON,1,0.0031798115919736,5.40351822841096e-07
1316,OREGON,1,0.0365822991814394,3.87810432127053e-05
1317,OREGON,1,0.0067497948366106,2.19847883810559e-06
1318,OREGON,1,0.0989927387846348,0.0001191782332327
1319,OREGON,1,0.0035496661286544,7.20264792460964e-07
1320,OREGON,1,0.0095532701336386,2.29714061991071e-06
1321,OREGON,1,0.0372455911518092,2.97824950553684e-05
1322,OREGON,1,0.0873676951487456,0.0001235459669451
1323,WASHINGTON,1,0.0035785459414508,6.8242970120732e-07
1324,OREGON,1,0.0023084463354748,4.02974974621784e-07
1325,OREGON,1,0.0048316553542897,1.4835405372374e-06
1326,OREGON,1,0.0095327830018224,4.262755512919e-06
1327,OREGON,1,0.0062499513470584,2.0179696095765e-06
1328,OREGON,1,0.0117583241920204,5.56281035027691e-06
1329,OREGON,1,0.0063746316641348,2.49080413499046e-06
1330,OREGON,1,0.007191634883768,1.15372425742922e-06
1331,OREGON,1,0.026026147330841,8.41174413164065e-06
1332,WASHINGTON,1,0.0024571453656231,3.50224445747885e-07
1333,OREGON,1,0.0026382810051201,4.00673019327247e-07
1334,WASHINGTON,1,0.152771521713303,0.0004398233876952
1335,WASHINGTON,1,0.0017716470198464,2.14578314993132e-07
1336,WASHINGTON,1,0.0024631807665198,2.7580291466822e-07
1337,WASHINGTON,1,0.0006018912633513,2.31053808461057e-08
1338,WASHINGTON,1,0.0006060918313374,2.45018863232653e-08
1339,WASHINGTON,1,0.0040887022759661,6.54409340722564e-07
1340,OREGON,1,0.0010281558185366,6.08466595679935e-08
1341,OREGON,1,0.0778136274381457,0.0001773155982076
1342,WASHINGTON,1,0.0010846127434787,7.53351814338699e-08
1343,OREGON,1,0.0006176262482172,2.81660480748302e-08
1344,WASHINGTON,1,0.0010624133912654,7.49826053556873e-08
1345,OREGON,0,5.24042234956099,0.0150499177016265
1346,OREGON,0,8.57330345194325,0.0056034938701969
1347,OREGON,1,0.0016706480938045,1.67040041622053e-07
1348,OREGON,1,0.0032739271713729,5.77949854419026e-07
1349,OREGON,1,0.012547437350473,4.19406651693177e-06
1350,OREGON,1,0.000599963773189,1.80639029001231e-08
1351,OREGON,1,0.0010120026866663,5.56313049416054e-08
1352,OREGON,1,0.0007557833177392,3.650055944905e-08
1353,OREGON,1,0.0101404241361573,5.10635748718644e-06
1354,WASHINGTON,1,0.0123258840582595,4.01819285650253e-06
1355,WASHINGTON,1,0.0783967809478373,0.0001619102639726
1356,OREGON,2,0.0006313343954284,2.63431610677903e-08
1357,OREGON,2,0.0006799834500144,3.25038681181095e-08
1358,OREGON,2,0.00037282606331,8.67392470324558e-09
1359,OREGON,2,0.0005518808166399,1.99794404769235e-08
1360,OREGON,1,0.0858778575825434,0.0001207808385587
1361,OREGON,2,0.0004944384688039,1.35734177984038e-08
1362,OREGON,2,0.0056110863725995,9.72833930892848e-07
1363,OREGON,2,0.0003851580497979,1.00602529167424e-08
1364,OREGON,2,0.0006914291312345,3.02103588785769e-08
1365,OREGON,2,0.0020419403716599,2.78939522302167e-07
1366,WASHINGTON,1,0.070374919754092,0.0001060114177472
1367,OREGON,2,0.0003056991080302,5.667636999688e-09
1368,OREGON,2,0.0002747844766397,5.0887590511418e-09
1369,OREGON,2,0.0002841454034564,4.57453868816426e-09
1370,OREGON,2,0.0003175917725601,6.644656361063251e-09
1371,OREGON,2,0.000284123587516,3.7966732307996806e-09
1372,OREGON,2,0.0003423966112278,6.7747068422954804e-09
1373,OREGON,2,0.0020093452165098,2.36130815544697e-07
1374,OREGON,2,0.0015300503491654,1.63232791870384e-07
1375,OREGON,2,0.0003809943179553,9.364243126917911e-09
1376,WASHINGTON,1,0.0012089454922188,6.24164610210771e-08
1377,WASHINGTON,1,0.0223424048109162,1.61165643700244e-05
1378,WASHINGTON,1,0.0012359891681036,6.19075176492471e-08
1379,OREGON,2,0.0006427308526485,2.91599187296564e-08
1380,WASHINGTON,1,0.0025272371973847,3.53698072924604e-07
1381,OREGON,2,0.0004066586718707,1.03547488002376e-08
1382,OREGON,1,0.0058723111767452,1.34944027670555e-06
1383,WASHINGTON,1,0.0005967106189146,1.5142137547364e-08
1384,WASHINGTON,1,0.0037496008961255,2.23554483781536e-07
1385,WASHINGTON,1,0.0006103418022585,1.97081245389529e-08
1386,WASHINGTON,1,0.0011423103286347,6.53170297300277e-08
1387,WASHINGTON,1,0.0107607131340772,2.97704117196485e-06
1388,WASHINGTON,1,0.0008511666317817,3.33197186738307e-08
1389,OREGON,2,0.0007470590442182,3.41000853204869e-08
1390,OREGON,2,0.0004459758242327,1.31543591221321e-08
1391,OREGON,2,0.0003835924055661,9.14804394069085e-09
1392,OREGON,2,0.0009045326811575,4.16346130705336e-08
1393,OREGON,2,0.0003010909266323,5.56471142700551e-09
1394,OREGON,2,0.0002808840345669,4.2297704894208605e-09
1395,OREGON,1,0.0043750885095096,1.19309174471718e-06
1396,OREGON,2,0.0002858715569099,4.711993356375331e-09
1397,WASHINGTON,1,0.0013553958687956,1.02665727755803e-07
1398,WASHINGTON,1,0.0007844639214326,2.99948237859907e-08
1399,WASHINGTON,1,0.0016786785057782,1.25777532392672e-07
1400,WASHINGTON,1,0.0016848637349958,1.16535610162626e-07
1401,WASHINGTON,1,0.0006006522328385,1.7015151264811e-08
1402,WASHINGTON,1,0.0010686066618811,6.45706156004291e-08
1403,WASHINGTON,1,0.0014147175045627,5.06415605037271e-08
1404,WASHINGTON,1,0.0016566890262426,1.47230845756925e-07
1405,OREGON,2,0.0014038076202361,8.01788634269595e-08
1406,OREGON,2,0.0003031156617852,5.223710005809271e-09
1407,OREGON,2,0.0005078774716464,1.68648492738775e-08
1408,OREGON,2,0.0004886744041153,1.56109011600882e-08
1409,OREGON,2,0.0008892873339215,5.89350359924392e-08
1410,OREGON,2,0.0003916546553004,8.92468482262406e-09
1411,OREGON,2,0.0012101011029096,9.70933676783925e-08
1412,OREGON,2,0.0008406374554746,3.38680285576165e-08
1413,OREGON,2,0.0011067254854437,6.01488930952872e-08
1414,OREGON,2,0.0005397492152707,1.81401374145446e-08
1415,OREGON,1,0.0028196016436753,3.44183169156875e-07
1416,OREGON,2,0.0006297115338754,2.7882526783023e-08
1417,OREGON,1,0.012849021762623,4.35654955066343e-06
1418,OREGON,1,0.0037307735300838,6.35592847722738e-07
1419,OREGON,2,0.0003239567486241,6.128418374445e-09
1420,OREGON,1,0.0051365136129801,8.93311801153454e-07
1421,OREGON,2,0.0003929320543703,9.49500542737487e-09
1422,OREGON,2,0.0011697982368538,6.68977545933246e-08
1423,OREGON,2,0.0003613120325468,8.745528210899811e-09
1424,OREGON,2,0.0026488166263851,3.11352395172659e-07
1425,OREGON,2,0.0016859917886825,1.63483594560309e-07
1426,OREGON,2,0.0014654768577051,1.39233469524259e-07
1427,WASHINGTON,1,0.0413189997132732,3.02985900522598e-05
