OBJECTID,LAND_CLASS,CT_LEGEND,STATE_COD,STATE_NAME,CNTY_FIELD,CNTY_COD,CNTY_NAME,LABEL_FLAG,MAP_LABEL,CT_LABEL_Y,CT_LABEL_N,SHAPE_Length,SHAPE_Area
340,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,343.342094957547,-7445.62252853836
341,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,237.969194413856,-3361.12757806992
342,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,270.708830215155,-4336.77737475864
343,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,190.393587167653,-2336.67596923754
344,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,730.944044926979,-26093.5124026323
345,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,1984.08040435398,-238916.342177655
346,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,472.305664381371,-12094.0249613353
347,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,1585.71059562109,-58823.729636363
348,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,43305.8901719529,-16918825.8525121
349,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,311.228368341455,-6024.74871491687
350,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,555.814853646442,-17656.432553618
351,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,339.713082219339,-4513.64531068892
352,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,10257.5255757059,-1536071.36031887
353,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,926.436968323737,-49752.4288109568
354,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,894.163891568738,-32325.7157798376
355,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,330.006532560841,-7680.89020903549
356,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,384.082120173237,-10437.8212132648
