OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,SASC_STE_ADSYS_CODE,STE_ADSYS_CODE_DESC,TOWN_NUMBER,TOWN_NAME,YEAR,GlobalID,Shape__Length
9116,20-W-4A,0.0,0.04,5,"Ramps, Turning Roadways or Connectors",165,WINDSOR LOCKS,2022,1d5380f3-1cbb-4b31-a86b-56443349e284,205.299373718601
9117,25-S-4,0.0,0.35,5,"Ramps, Turning Roadways or Connectors",144,TRUMBULL,2022,361fcf99-e338-4ef6-ade8-c188a255c979,1880.70455661929
9118,263L-W,0.0,0.03,I,State Park and Forest,125,SHARON,2022,331b884e-b639-4fdd-8ad8-6e7e8fb05b27,175.384249367747
9119,291-E,1.24,4.59,1,State Primary (State Maintained),132,SOUTH WINDSOR,2022,85073395-4c66-408b-9b93-75eadb994e1f,17548.4724016682
9120,291-W-2,0.0,0.49,5,"Ramps, Turning Roadways or Connectors",164,WINDSOR,2022,44ec5aba-6fdb-4ce1-982c-fb535cc7af23,2652.12967082773
9121,2A-E,0.0,0.24,7,"Ramp or TR Serving as mainline, state primary",103,NORWICH,2022,947f77d5-3e8c-490d-89e0-e8946fc651ca,1287.92373175169
9122,2A-E,9.11,9.91,2,State Secondary (State Maintained),113,PRESTON,2022,bdca6691-1d3e-4aeb-aee8-3e9d4b9510e0,4256.4515980123
9123,69-N,4.21,9.43,1,State Primary (State Maintained),8,BETHANY,2022,ab67f370-66b4-45ef-ac3e-c311fdb71251,27600.7307081581
9124,69-N,24.34,28.21,1,State Primary (State Maintained),17,BRISTOL,2022,23546a9d-d4a4-4f6b-ada7-62016bbdc1b2,20467.540700467
9125,691-W,8.21,8.3,1,State Primary (State Maintained),131,SOUTHINGTON,2022,9c8bafcf-f21f-45ee-bac1-0ecde86eda13,461.433238094962
9126,691-W-13,0.0,0.1,5,"Ramps, Turning Roadways or Connectors",79,MERIDEN,2022,cdab50af-689e-442f-bf5b-192421a26a11,349.445599073535
9127,691-W-13,0.1,0.22,5,"Ramps, Turning Roadways or Connectors",131,SOUTHINGTON,2022,f1b6cd2f-9a12-4c41-878d-01cc67900dff,790.201556357807
