OBJECTID,RMA_DSG,RMA_NAME,RMZ_NAME,BLM_ORG_CD,PLANID,GIS_ACRES,WEB_DOC_PATH,GLOBALID,SHAPE_Length,SHAPE_Area
4573,PLND,,,ORN05,Unknown,639.31541777,,{2330103F-F7A2-4BEA-9B75-EE1582FA3FE6},8980.67391408086,5040289.06840977
4574,PLND,,,ORN03,Unknown,616.10803153,,{77B87A19-37D0-4894-9E61-6EF06DEFC2B2},8847.73520079419,4857193.9177758
4575,PLND,,,ORN03,Unknown,488.35610127,,{2215C029-7266-445E-95B6-54CE2CBAC5E0},9062.2888032893,3850197.37018346
4576,PLND,,,ORN03,Unknown,165.16796375,,{2A8B2BC8-5BEC-415F-A2AC-31F83A340E2C},5689.86288690158,1302283.00749611
4577,ERMA,,,ORV04,Unknown,242.43626291,,{82B1CB28-CF14-4E8A-A531-ED41AF248586},5709.42049307356,1911255.88782714
4578,PLND,,,ORP04,Unknown,969.3447364,,{2E771D96-C9FF-4877-89CF-5E4A238C18D1},23921.6147720437,7634900.41578681
4579,PLND,,,ORP06,Unknown,2433.09611386,,{51BF058C-DFFD-4CC2-8CBD-A11BD682D1B1},25855.041552234,19162870.0796057
4580,PLND,,,ORP06,Unknown,34.65390066,,{D87869A8-98FB-441C-A5BF-D8F7BF9DC227},2138.64573002659,273066.107676559
4581,SRMA,High Desert,Prineville Reservoir Recreation Mgt Area,ORP06,Upper Deschutes Resource Management Plan (2005),3813.30883977,,{64103EAC-EDF8-4DE9-A434-39F086ED5BDC},56420.743295533,30024796.2731891
4582,PLND,,,ORP06,Unknown,88.82980427,,{CEF18AB0-6859-45A5-8D78-2E6021244D58},3433.44544007273,699926.35417612
4583,PLND,,,ORP06,Unknown,36.88921658,,{18BFED95-3274-48BE-8D14-725124385B0D},2157.7113191205,290682.747019847
4584,PLND,,,ORP06,Unknown,163.51598753,,{5579AC32-ABF2-4370-AC7A-A49CD1E9BDD2},5656.94672102334,1288439.28241351
4585,PLND,,,ORN03,Unknown,46.97539778,,{4F44A92E-EEBA-4BAB-BF84-556052DE76D2},2443.69646611304,370442.126197245
4586,PLND,,,ORN03,Unknown,80.03988526,,{55DA69F3-1EDF-4D9B-8EAA-CFBB4D577D00},3371.39393994166,631215.98197258
4587,PLND,,,ORP04,Unknown,2495.02233112,,{10ADD7EB-6A8A-417A-9A84-371A31EE9C83},21187.9572644079,19654205.3743078
4588,PLND,,,ORP06,Unknown,1425.28691148,,{2AE5809C-0120-446F-BDB8-03D253F47094},31990.4620184173,11225571.7279145
4589,ERMA,,,ORV04,Unknown,200.51006968,,{FC628B57-A0D3-4A8E-BA75-82DB10862225},5624.74072804514,1580929.89567697
4590,ERMA,,,ORV04,Unknown,700.83609311,,{66C827ED-39B9-47A3-A57E-B2D734F9595C},17392.1872915729,5525209.17026734
4591,ERMA,,,ORV04,Unknown,1303.11970748,,{E48AEE37-B421-438A-A527-025BD4DB9652},19210.8715363207,10274521.1536673
4592,PLND,,,ORN05,Unknown,1144.63472236,,{D886C9C1-84A1-49B2-8F36-9DD30DDA9C88},15615.3448720233,9025797.45779167
4593,PLND,,,ORN03,Unknown,41.44714358,,{7344B6C9-763F-4670-9A90-BD19B3D69FD2},2287.97120818052,326931.241254824
4594,PLND,,,ORN03,Unknown,82.14576796,,{7EB150AA-2494-4695-AA02-B38985F88158},3415.38631468645,647921.527149601
4595,ERMA,,,ORV04,Unknown,35.59226798,,{285A2D6A-4DDE-40BA-8CE5-4B125BD03684},2122.98372453762,280745.377681364
4596,ERMA,,,ORV04,Unknown,40.05839492,,{078A003C-27B6-4F40-A55B-CA8406D4E759},2248.40059639396,315927.832521915
4597,ERMA,,,ORV04,Unknown,321.35604267,,{FAC10283-A16B-4287-8FFD-CE4F190B7659},9003.13193375224,2534207.26762279
4598,ERMA,,,ORV04,Unknown,35.18533707,,{DEC736F9-31D9-4149-BAEA-C26FB103CD58},2112.21813621809,277542.238310666
4599,PLND,,,ORP04,Unknown,80.19851831,,{8D35B3E2-918B-42F1-AB38-214D4AB94A7C},3368.80656593104,632110.789223366
4600,ERMA,,,ORV04,Unknown,201.42633837,,{CFCC6217-8114-4496-8F5C-7F61BC0F4F98},5630.43623991574,1588834.29359376
4601,PLND, ,,ORP04,John Day Basin Resource Management Plan (2015),159.78181997,,{07227555-4F37-427E-B502-18D5122BEFB9},5619.00179858932,1259339.79456245
4602,PLND,,,ORN03,Unknown,1010.74086523,,{4E3BDA36-B9DC-4DD9-A2F0-D85FE31BEEA0},17677.4381071696,7970181.85570305
4603,PLND,,,ORN03,Unknown,391.1607547,,{D641B81F-18F7-4538-8599-6FCDDE2EFB22},7789.27617432706,3085253.20117055
4604,PLND,,,ORN03,Unknown,622.46333269,,{43FBADF7-3FDE-4CF8-AFF1-82E7E1821C7B},8859.93911100694,4909723.52391171
4605,PLND,,,ORN05,Unknown,92.78746541,,{A5135683-731F-40C6-B634-FAD5335CA8A8},4336.44205049829,-731798.520607667
4606,PLND,,,ORN05,Unknown,526.04534591,,{079EAC32-614E-40F1-A6EC-0510549A0B60},9950.26989724084,-4149349.43653179
4607,ERMA,Coburg Hills Back Country Byway,,ORN05,Northwestern and Coastal Oregon RMP 2016,10.97862324,https://eplanning.blm.gov/public_projects/lup/57902/88402/105786/Eugene_RMA.pdf#page=25,{FE1A58D6-9F1D-4821-B0BC-DFC6AE7ABE95},4196.41098233208,-86586.525749729
4608,PLND,,,ORP06,Unknown,599.26614764,,{5670CE83-047E-406B-9BD1-00AFF75DF97D},14491.2017928082,4722569.97611575
4609,PLND,,,ORP06,Unknown,674.80217286,,{41DEAAAF-E5CC-4C60-BE70-455E42A30F20},10992.5699806859,5318828.1574388
4610,PLND,,,ORP06,Unknown,316.57692871,,{2CCA8AEF-7584-435C-8897-AD91902E065E},7828.08043456931,2495446.95959686
4611,PLND, ,,ORP04,John Day Basin Resource Management Plan (2015),39.85568812,,{610DE83D-BD90-453B-9185-57658C15D420},2242.20709829721,314212.795654389
4612,ERMA,,,ORV04,Unknown,40.47144302,,{754D1C5E-8ED8-4AE9-A5A4-101B189D0DAA},2260.24847597791,319268.520993887
4613,PLND,,,ORN05,Unknown,197.42338609,,{B59A6C31-5308-47CA-83F0-8110DB5FC5A9},6699.79830190075,1557750.84684979
4614,SRMA,South Fork John Day River SRMA,,ORP04,John Day Basin Resource Management Plan (2015),36.98889309,,{B5304286-A0B0-454E-9AD9-43E753DFD4E7},2166.27602252992,291649.011184739
4615,ERMA,,,ORV04,Unknown,2260.17232945,,{814F400E-9452-4D5F-9E41-A35D4C5043E8},24650.4209177857,17823493.936602
4616,ERMA,,,ORV04,Unknown,39.59789981,,{6756B897-67D6-4531-B6BE-FEC0E739A0BA},2236.02944669645,312445.153280961
