AGE_GROUP,CONFIRMED_by_age,CongregateSetting,FORMRECEIVED_WEEK_ENDING,non_CongregateSetting,REPORTED,ObjectId
45,332,9,2020/10/10 04:00:00+00,323,2022/10/09 10:17:00+00,129
65,219,49,2020/10/10 04:00:00+00,170,2022/10/09 10:17:00+00,130
45,662,6,2020/10/31 04:00:00+00,656,2022/10/09 10:17:00+00,131
65,347,40,2020/10/31 04:00:00+00,307,2022/10/09 10:17:00+00,132
0,285,4,2020/11/07 05:00:00+00,281,2022/10/09 10:17:00+00,133
45,655,12,2020/11/07 05:00:00+00,643,2022/10/09 10:17:00+00,134
20,1414,10,2020/11/14 05:00:00+00,1404,2022/10/09 10:17:00+00,135
45,962,11,2020/11/28 05:00:00+00,951,2022/10/09 10:17:00+00,136
45,1128,9,2020/12/05 05:00:00+00,1119,2022/10/09 10:17:00+00,137
20,988,3,2020/12/26 05:00:00+00,985,2022/10/09 10:17:00+00,138
45,697,5,2020/12/26 05:00:00+00,692,2022/10/09 10:17:00+00,139
20,1157,13,2021/01/02 05:00:00+00,1144,2022/10/09 10:17:00+00,140
45,1083,24,2021/01/09 05:00:00+00,1059,2022/10/09 10:17:00+00,141
20,1511,21,2021/01/16 05:00:00+00,1490,2022/10/09 10:17:00+00,142
20,1375,3,2021/01/23 05:00:00+00,1372,2022/10/09 10:17:00+00,143
20,1059,0,2021/01/30 05:00:00+00,1059,2022/10/09 10:17:00+00,144
20,823,2,2021/02/06 05:00:00+00,821,2022/10/09 10:17:00+00,145
0,308,2,2021/02/13 05:00:00+00,306,2022/10/09 10:17:00+00,146
20,825,3,2021/02/13 05:00:00+00,822,2022/10/09 10:17:00+00,147
65,317,24,2021/02/13 05:00:00+00,293,2022/10/09 10:17:00+00,148
20,592,5,2021/02/20 05:00:00+00,587,2022/10/09 10:17:00+00,149
0,196,2,2021/02/27 05:00:00+00,194,2022/10/09 10:17:00+00,150
0,146,0,2021/04/24 04:00:00+00,146,2022/10/09 10:17:00+00,151
0,156,0,2021/05/08 04:00:00+00,156,2022/10/09 10:17:00+00,152
20,313,0,2021/05/08 04:00:00+00,313,2022/10/09 10:17:00+00,153
65,43,0,2021/05/15 04:00:00+00,43,2022/10/09 10:17:00+00,154
20,79,0,2021/06/05 04:00:00+00,79,2022/10/09 10:17:00+00,155
65,12,0,2021/06/05 04:00:00+00,12,2022/10/09 10:17:00+00,156
45,45,0,2021/06/12 04:00:00+00,45,2022/10/09 10:17:00+00,157
0,42,0,2021/06/19 04:00:00+00,42,2022/10/09 10:17:00+00,158
45,39,0,2021/06/19 04:00:00+00,39,2022/10/09 10:17:00+00,159
0,36,0,2021/06/26 04:00:00+00,36,2022/10/09 10:17:00+00,160
45,39,0,2021/07/03 04:00:00+00,39,2022/10/09 10:17:00+00,161
45,56,0,2021/07/10 04:00:00+00,56,2022/10/09 10:17:00+00,162
0,88,0,2021/07/17 04:00:00+00,88,2022/10/09 10:17:00+00,163
45,236,0,2021/07/31 04:00:00+00,236,2022/10/09 10:17:00+00,164
65,107,0,2021/07/31 04:00:00+00,107,2022/10/09 10:17:00+00,165
0,423,0,2021/08/07 04:00:00+00,423,2022/10/09 10:17:00+00,166
20,1255,0,2021/08/21 04:00:00+00,1255,2022/10/09 10:17:00+00,167
0,797,0,2021/09/11 04:00:00+00,797,2022/10/09 10:17:00+00,168
20,903,0,2021/09/25 04:00:00+00,903,2022/10/09 10:17:00+00,169
20,836,0,2021/10/02 04:00:00+00,836,2022/10/09 10:17:00+00,170
45,451,0,2021/10/02 04:00:00+00,451,2022/10/09 10:17:00+00,171
20,958,0,2021/10/09 04:00:00+00,958,2022/10/09 10:17:00+00,172
65,238,0,2021/10/09 04:00:00+00,238,2022/10/09 10:17:00+00,173
45,297,0,2021/10/23 04:00:00+00,297,2022/10/09 10:17:00+00,174
20,345,0,2021/10/30 04:00:00+00,345,2022/10/09 10:17:00+00,175
45,217,0,2021/10/30 04:00:00+00,217,2022/10/09 10:17:00+00,176
65,140,0,2021/11/13 05:00:00+00,140,2022/10/09 10:17:00+00,177
0,356,0,2021/11/20 05:00:00+00,356,2022/10/09 10:17:00+00,178
45,334,0,2021/11/20 05:00:00+00,334,2022/10/09 10:17:00+00,179
