OBJECTID,SMPOLY_COD,SURFM_POLY,DESCRIP,IMS_LEGEND,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
1,T,Till,Till,Till,438979.0,685.90399169,11173622.5106638,19121914786.0782
2,SG,Sand+Gravel,Sand and Gravel,Coarse,1415.42004394,2.21160006,81800.5639822499,61655861.0518692
3,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,44.14009857,0.0689688,7278.71013389527,1922741.3096761
4,SW,Swamp,Swamp,Natural Postglacial,36.26969909,0.0566715,9238.4557868359,1579909.40719387
5,SG,Sand+Gravel,Sand and Gravel,Coarse,62.25749969,0.09727729,11392.4175780063,2711934.88217126
6,T,Till,Till,Till,0.89529097,0.00139889,722.310815378553,38998.9076308911
7,SW,Swamp,Swamp,Natural Postglacial,33.79899978,0.052811,6080.9282128952,1472285.965838
8,T,Till,Till,Till,1.13842999,0.0017788,856.031618084458,49590.1584077763
9,A/S/F,Alluv/Sand/Fines,Alluvium overlying Sand overlying Fines,Natural Postglacial,53.16400146,0.0830688,11841.3730762045,2315823.36791341
10,S/F,Sand/Fines,Sand overlying Fines,Coarse over Fine,53.41130065,0.0834551,7120.51147866683,2326596.24712416
11,W,Water,Water,Water,159.70399475,0.249537,142380.005537961,6956684.81624711
12,A/S/F,Alluv/Sand/Fines,Alluvium overlying Sand overlying Fines,Natural Postglacial,719.01501464,1.12346005,116984.1401955,31320275.2853584
13,S/F,Sand/Fines,Sand overlying Fines,Coarse over Fine,530.22302246,0.82847297,46399.5075892575,23096508.5040996
14,T,Till,Till,Till,1.37038004,0.00214123,955.445563505794,59693.9677524417
15,T,Till,Till,Till,9.6212902,0.0150333,3596.38693450506,419103.107524279
16,T,Till,Till,Till,2.91452002,0.00455394,1773.55801125742,126956.415375393
17,W,Water,Water,Water,15.57429981,0.02433479,25839.1914243967,678415.24087793
18,A/F,Alluv/Fines,Alluvium overlying Fines,Natural Postglacial,40.10129928,0.0626583,14213.2001493838,1746813.29051419
19,SG/S/F,Sand+Gravel/Sand/Fines,Sand and Gravel overlying Sand overlying Fines,Coarse over Fine,230.48800659,0.36013799,17186.7992569389,10040070.9878863
20,A/F,Alluv/Fines,Alluvium overlying Fines,Natural Postglacial,130.7519989,0.2043,31595.502351068,5695559.4557824
21,A/F,Alluv/Fines,Alluvium overlying Fines,Natural Postglacial,3.87869,0.00606044,1701.72661315164,168955.585219095
22,TT,Thick Till,Thick Till,Thick Till,690.42199707,1.07878994,27836.7444280744,30074806.1705482
23,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,44.75490188,0.0699295,10999.6611032873,1949521.85776035
24,T,Till,Till,Till,2.36818003,0.00370028,1271.65082251529,103157.822415025
25,SG,Sand+Gravel,Sand and Gravel,Coarse,12.89540004,0.0201491,3668.18469337654,561724.446454603
26,TT,Thick Till,Thick Till,Thick Till,125.36599731,0.195885,11633.2632148813,5460951.26495532
27,SG/S/F,Sand+Gravel/Sand/Fines,Sand and Gravel overlying Sand overlying Fines,Coarse over Fine,60.69010162,0.0948282,8605.57480504544,2643659.43181427
28,W,Water,Water,Water,5.44806003,0.00851259,2653.74472581042,237317.109935947
29,T,Till,Till,Till,197.43099975,0.30848601,15829.7718123469,8600082.69911939
30,SW,Swamp,Swamp,Natural Postglacial,147.34899902,0.23023399,18205.8834294794,6418542.64888025
31,SW,Swamp,Swamp,Natural Postglacial,41.65029907,0.0650786,9129.90447674008,1814286.98692067
32,SG,Sand+Gravel,Sand and Gravel,Coarse,32.15230178,0.05023799,4684.91515455285,1400554.38778954
33,T,Till,Till,Till,2.18284988,0.0034107,1158.32265950475,95084.9934438716
34,TT,Thick Till,Thick Till,Thick Till,190.72599792,0.298009,14445.5983470916,8308006.36745775
35,S/F,Sand/Fines,Sand overlying Fines,Coarse over Fine,127.42700195,0.19910399,13202.8821078716,5550701.3439132
36,S,Sand,Sand,Coarse,6.94242,0.01084749,2322.45515368168,302411.810632931
37,SW,Swamp,Swamp,Natural Postglacial,26.5095005,0.04142099,5564.65235921953,1154752.21104961
38,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,23.4538002,0.0366466,7779.6558984124,1021648.13675821
39,A/F,Alluv/Fines,Alluvium overlying Fines,Natural Postglacial,183.56300354,0.28681701,59046.4824604543,7996002.6333727
40,SW,Swamp,Swamp,Natural Postglacial,14.61859989,0.0228416,4169.61028474815,636786.173885614
41,W,Water,Water,Water,45.38119888,0.07090809,7947.58402811328,1976805.18954308
42,W,Water,Water,Water,565.30297851,0.88328599,27834.9053935172,24624600.6596768
43,SG,Sand+Gravel,Sand and Gravel,Coarse,2.61259007,0.00408218,2451.75460669408,113804.756257055
44,W,Water,Water,Water,677.00897216,1.05782997,41073.833540267,29490509.4369077
45,T,Till,Till,Till,18451.5,28.83040046,301101.554734259,803745206.721413
46,T,Till,Till,Till,211.44500732,0.330383,20567.097955277,9210542.69593527
47,SW,Swamp,Swamp,Natural Postglacial,173.71099853,0.27142301,14891.4926313711,7566835.58882532
48,TS,"Till, Sand+Gravel, Boulders","Sandy Till, Sand and Grave, some areas of dense surface bolders",End Moraine,29.10339927,0.0454741,7050.5332735773,1267745.88239973
49,W,Water,Water,Water,98.25830078,0.153529,11522.470087771,4280129.68153583
50,W,Water,Water,Water,14.45779991,0.02259019,5500.83707079701,629779.975054123
51,T,Till,Till,Till,39050.30078125,61.01610183,1074697.70630126,1701031933.25486
52,SG,Sand+Gravel,Sand and Gravel,Coarse,63.73199844,0.0995813,9971.24473112414,2776166.99710972
53,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,126.55400085,0.19774,20225.717703525,5512671.48651658
54,T,Till,Till,Till,74.58000183,0.11653099,8200.47847276695,3248703.45983071
55,SG,Sand+Gravel,Sand and Gravel,Coarse,147.1000061,0.229844,29759.8729873292,6407691.86109275
56,TT,Thick Till,Thick Till,Thick Till,442.15100097,0.69085997,33204.6761573013,19260084.7586309
57,W,Water,Water,Water,148.81799316,0.23252899,16474.4990588214,6482533.2333046
58,SW,Swamp,Swamp,Natural Postglacial,53.45230102,0.08351919,13062.9938349423,2328380.7112556
59,S,Sand,Sand,Coarse,77.39859771,0.120935,21292.9342048764,3371485.35188435
60,T,Till,Till,Till,6084.47998046,9.50699043,293588.938140057,265039820.376547
61,S,Sand,Sand,Coarse,17.66530036,0.0276021,4900.37942552986,769501.168992888
62,TT,Thick Till,Thick Till,Thick Till,178.86999511,0.27948498,12176.7501307891,7791598.58326013
63,SG,Sand+Gravel,Sand and Gravel,Coarse,265.73199462,0.41520598,35227.4845484601,11575285.9543877
64,S,Sand,Sand,Coarse,5.47301006,0.00855157,2177.41799391307,238404.263484809
65,SW,Swamp,Swamp,Natural Postglacial,72.51599884,0.113306,24736.1603364747,3158798.40219234
66,S,Sand,Sand,Coarse,33.16149902,0.05181479,5965.2474568498,1444512.40322743
67,S,Sand,Sand,Coarse,394.30801391,0.61610597,25385.9935013858,17176062.5249005
68,T,Till,Till,Till,28.99900054,0.045311,6814.48485564119,1263197.78286363
69,S,Sand,Sand,Coarse,703.21697998,1.09878003,27001.271408679,30632114.7917776
70,T,Till,Till,Till,198.19700622,0.30968299,19222.9431058499,8633452.52675374
71,T,Till,Till,Till,28.35339927,0.04430209,5726.64995161236,1235073.16132846
72,SG,Sand+Gravel,Sand and Gravel,Coarse,0.53874498,0.00084178,645.409830314237,23467.8008396012
73,TT,Thick Till,Thick Till,Thick Till,379.64199829,0.59319102,18354.8873002635,16537206.1620546
74,S,Sand,Sand,Coarse,168.72999572,0.26363998,27932.5621163049,7349874.16889752
75,SG,Sand+Gravel,Sand and Gravel,Coarse,331.7539978,0.51836502,23252.3475806224,14451193.5611878
76,SG,Sand+Gravel,Sand and Gravel,Coarse,283.66299438,0.44322401,36935.9322084295,12356373.2275321
77,A/F,Alluv/Fines,Alluvium overlying Fines,Natural Postglacial,625.06799316,0.97666901,174812.646730037,27227985.2626845
78,S/F,Sand/Fines,Sand overlying Fines,Coarse over Fine,591.10900878,0.923608,43487.0301817162,25748706.8953649
79,SG/F,Sand+Gravel/Fines,Sand and Gravel overlying Fines,Coarse over Fine,36.55960083,0.0571243,8164.49021533441,1592535.05734644
80,W,Water,Water,Water,280.39099121,0.438111,30235.2814013635,12213834.4853497
81,SG,Sand+Gravel,Sand and Gravel,Coarse,31.37389945,0.04902169,5168.05572232319,1366646.07633536
82,A/S/F,Alluv/Sand/Fines,Alluvium overlying Sand overlying Fines,Natural Postglacial,11.92800045,0.01863759,6444.18636136054,519585.365316986
83,S,Sand,Sand,Coarse,45.46179962,0.0710341,7841.56100408464,1980316.83587109
84,SG,Sand+Gravel,Sand and Gravel,Coarse,8.31604957,0.0129938,3067.88155562678,362247.106187064
85,S/F,Sand/Fines,Sand overlying Fines,Coarse over Fine,5283.22021484,8.25502967,213535.204217386,230136959.803821
86,F,Fines,Fines,Fine,1918.59997558,2.9978199,150484.9667442,83574407.1193369
87,SW/F,Swamp/Fines,Swamp overlying Fines,Natural Postglacial,16.01670074,0.02502599,3596.90454503574,697686.147130899
88,TT,Thick Till,Thick Till,Thick Till,305.49301147,0.47733199,14737.2394733595,13307256.0407022
89,TT,Thick Till,Thick Till,Thick Till,63.17720031,0.09871439,6871.60514192133,2751999.48212317
90,S,Sand,Sand,Coarse,189.61999511,0.29628199,22824.6586421726,8259863.12123877
91,W,Water,Water,Water,5.16576004,0.00807148,2783.83454838259,225020.232206478
92,A/S,Alluv/Sand,Alluvium overlying Sand,Natural Postglacial,822.27801513,1.28480994,189777.173483615,35818449.8973207
93,SG,Sand+Gravel,Sand and Gravel,Coarse,157.33799743,0.24584099,27543.9424045015,6853643.23671573
94,SG,Sand+Gravel,Sand and Gravel,Coarse,1407.89001464,2.19983005,142078.337189461,61327716.164571
95,T,Till,Till,Till,82.65969848,0.12915599,14168.2757576429,3600656.52251739
96,TT,Thick Till,Thick Till,Thick Till,95.19629669,0.148744,9843.86849129075,4146748.60591702
97,S,Sand,Sand,Coarse,259.30999755,0.40517199,27539.7035884059,11295548.8841469
98,TT,Thick Till,Thick Till,Thick Till,391.91299438,0.61236399,24007.5400071348,17071722.5658461
99,SG,Sand+Gravel,Sand and Gravel,Coarse,41.05759811,0.06415239,9272.68718174528,1788466.38239004
100,T,Till,Till,Till,0.22364999,0.00034945,454.345990505121,9742.14213302015
101,T,Till,Till,Till,7.10768985,0.0111058,3311.706422139,309610.82965596
102,S,Sand,Sand,Coarse,26.13549995,0.04083669,4758.45862208215,1138463.16716345
103,TT,Thick Till,Thick Till,Thick Till,528.1630249,0.82525497,30287.6366769546,23006782.6112471
104,SG,Sand+Gravel,Sand and Gravel,Coarse,13.14319992,0.02053619,4098.83499406864,572516.433674771
105,SG/S,Sand+Gravel/Sand,Sand and Gravel overlying Sand,Stacked Coarse,249.94400024,0.39053699,18574.6105518559,10887538.9438001
106,SG/S,Sand+Gravel/Sand,Sand and Gravel overlying Sand,Stacked Coarse,70.13629913,0.10958799,10163.0875764061,3055138.40787089
107,SG,Sand+Gravel,Sand and Gravel,Coarse,841.89801025,1.31546998,60379.038824503,36673085.4225548
108,T,Till,Till,Till,320065.0,500.10198974,8517457.88778365,13942037149.4432
109,S,Sand,Sand,Coarse,787.83197021,1.23099005,47509.0381637505,34317963.642945
110,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,431.35198974,0.67398697,84506.9782603774,18789692.5997378
111,SW,Swamp,Swamp,Natural Postglacial,32.82099914,0.0512827,6289.82654849329,1429681.01251688
112,T,Till,Till,Till,435.09500122,0.67983502,32052.5941635939,18952723.3243911
113,SG,Sand+Gravel,Sand and Gravel,Coarse,41.603199,0.06500499,7855.2383998839,1812233.92498044
114,T,Till,Till,Till,14.16709995,0.02213609,3219.74391467963,617119.251927606
115,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,33.32320022,0.0520676,7361.59803496128,1451560.0481199
116,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,19.85939979,0.03103039,7441.90090402202,865076.370122428
117,T,Till,Till,Till,1215.11999511,1.89862,50418.8353860356,52930623.7274785
118,SW,Swamp,Swamp,Natural Postglacial,20.23520088,0.03161749,6003.24827820305,881444.927920971
119,S,Sand,Sand,Coarse,19.76810073,0.0308876,6127.2410492054,861096.456699757
120,SG,Sand+Gravel,Sand and Gravel,Coarse,61.5671997,0.09619879,9578.1845036727,2681867.49786459
121,SG,Sand+Gravel,Sand and Gravel,Coarse,99.15280151,0.154926,13433.2127372921,4319093.78902839
122,SG,Sand+Gravel,Sand and Gravel,Coarse,9.85229969,0.01539419,3315.16496150929,429166.086588693
123,G,Gravel,Gravel,Coarse,69.61849975,0.10877899,9983.85418379175,3032583.77640003
124,SW,Swamp,Swamp,Natural Postglacial,19.26939964,0.03010839,4174.01751530314,839373.396553536
125,T,Till,Till,Till,194217.0,303.46499633,6198863.91061384,8460109004.59529
126,TT,Thick Till,Thick Till,Thick Till,61.0127983,0.0953325,6941.08437684254,2657717.69817359
127,T,Till,Till,Till,5.24869012,0.00820107,1963.98511329864,228632.885971439
128,T,Till,Till,Till,208.06599426,0.32510301,24532.5587527838,9063337.82852502
129,SW,Swamp,Swamp,Natural Postglacial,23.52790069,0.0367624,5526.38643632971,1024876.53439011
130,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,11.40960025,0.01782739,6927.50859791889,497000.56949169
131,S,Sand,Sand,Coarse,40.52000045,0.0633125,5393.07817529717,1765050.76016812
132,TT,Thick Till,Thick Till,Thick Till,2.94634008,0.00460364,1460.12608621172,128342.532120244
133,T,Till,Till,Till,50.6092987,0.07907699,6415.87055994925,2204539.34012078
134,SG,Sand+Gravel,Sand and Gravel,Coarse,9.96932983,0.0155771,3759.517490386,434264.372229966
135,W,Water,Water,Water,17.74480056,0.02772619,6992.54738325291,772962.61608035
136,G,Gravel,Gravel,Coarse,18.79129981,0.02936149,4980.50069423943,818550.651121373
137,TT,Thick Till,Thick Till,Thick Till,13.34360027,0.0208493,3010.35809699776,581246.281282813
138,SG,Sand+Gravel,Sand and Gravel,Coarse,525.4699707,0.821047,68244.5585082795,22889469.5315374
139,TT,Thick Till,Thick Till,Thick Till,40.64110183,0.0635017,5630.51896062545,1770324.99720012
140,T,Till,Till,Till,40.32730102,0.0630114,7138.38486541386,1756658.38791861
141,S/F,Sand/Fines,Sand overlying Fines,Coarse over Fine,79.24770355,0.12382499,8521.55752972063,3452032.82001388
142,SG,Sand+Gravel,Sand and Gravel,Coarse,71.36360168,0.111506,12396.0056950794,3108597.28584374
143,TT,Thick Till,Thick Till,Thick Till,170.94700622,0.26710501,13059.3893513501,7446465.74773518
144,A/F,Alluv/Fines,Alluvium overlying Fines,Natural Postglacial,50.85029983,0.07945349,24329.6040448153,2215037.07162739
145,S/F,Sand/Fines,Sand overlying Fines,Coarse over Fine,370.36499023,0.57869499,26836.4915094617,16133080.6286944
146,T,Till,Till,Till,1276.51000976,1.99454998,177210.718327925,55604906.6795538
147,F,Fines,Fines,Fine,34.27199935,0.0535501,11496.5837005481,1492890.55720734
148,W,Water,Water,Water,2229.31005859,3.48329997,148175.958448886,97108796.5513635
149,S/F,Sand/Fines,Sand overlying Fines,Coarse over Fine,248.49299621,0.388271,27094.1305120085,10824372.5888831
150,TT,Thick Till,Thick Till,Thick Till,58.78960037,0.09185879,6418.40710876514,2560875.36658353
151,W,Water,Water,Water,7.40846014,0.01157569,2851.64411092929,322712.583306559
152,W,Water,Water,Water,409935.0,640.52301025,11775894.7214588,17856746239.3828
153,W,Water,Water,Water,298.08499145,0.46575799,37698.8451097051,12984579.0163117
154,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,253.89399719,0.39671,37753.2120725824,11059641.831549
155,SG,Sand+Gravel,Sand and Gravel,Coarse,18.09219932,0.02826909,7832.12918303043,788098.376478849
156,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,26.35810089,0.04118449,7163.04072887006,1148157.71256013
157,W,Water,Water,Water,89.15350341,0.139302,20980.0788403877,3883526.30832493
158,SG,Sand+Gravel,Sand and Gravel,Coarse,72.50360107,0.113287,10671.3662668655,3158258.5752198
159,TT,Thick Till,Thick Till,Thick Till,67.06739807,0.10479299,8558.86960544835,2921456.44840877
160,SG,Sand+Gravel,Sand and Gravel,Coarse,200.01300048,0.31251999,36206.868903985,8712564.63849567
161,W,Water,Water,Water,21.5883007,0.03373159,8909.88993477752,940384.075238529
162,TS,"Till, Sand+Gravel, Boulders","Sandy Till, Sand and Grave, some areas of dense surface bolders",End Moraine,14.7262001,0.0230097,3621.98895336889,641473.466000538
163,W,Water,Water,Water,37.47829818,0.0585598,7784.70673673583,1632552.81706301
164,W,Water,Water,Water,159.63999938,0.249438,14755.148754508,6953924.10193152
165,SW,Swamp,Swamp,Natural Postglacial,10.80850028,0.01688819,5380.45733832308,470816.433335826
166,TT,Thick Till,Thick Till,Thick Till,114.97799682,0.179653,16104.0883178177,5008432.19913494
167,W,Water,Water,Water,23.4720993,0.03667509,5906.19665082855,1022442.27135183
168,SG,Sand+Gravel,Sand and Gravel,Coarse,7.22783994,0.01129349,2301.11979653757,314844.842291708
169,T,Till,Till,Till,10.82419967,0.01691289,2835.54552826206,471504.34275243
170,SG,Sand+Gravel,Sand and Gravel,Coarse,217.98500061,0.34060201,16493.3647540451,9495428.89944245
171,SG,Sand+Gravel,Sand and Gravel,Coarse,684.75500488,1.06992995,34591.5954543955,29827911.7677318
172,W,Water,Water,Water,38.34579849,0.0599153,7834.61778850058,1670343.399083
173,SG,Sand+Gravel,Sand and Gravel,Coarse,22.0781002,0.0344971,4032.59342783281,961722.966681121
174,SW,Swamp,Swamp,Natural Postglacial,76.35220336,0.1193,10318.2138666951,3325901.24718025
175,T,Till,Till,Till,10.27579975,0.0160559,3368.34343523236,447612.460173159
176,TT,Thick Till,Thick Till,Thick Till,24.67410087,0.0385533,4849.03451044928,1074804.86224012
177,SG,Sand+Gravel,Sand and Gravel,Coarse,1372.43005371,2.1444199,183375.861047894,59783062.2745541
178,S/F,Sand/Fines,Sand overlying Fines,Coarse over Fine,22.0727005,0.03448849,5820.86276763345,961485.161658691
179,TT,Thick Till,Thick Till,Thick Till,155.16499328,0.242446,13502.712146857,6759001.97250019
180,TT,Thick Till,Thick Till,Thick Till,28.31310081,0.0442392,6347.24000261274,1233317.20463516
181,SG,Sand+Gravel,Sand and Gravel,Coarse,2.90757989,0.0045431,1526.76299169596,126654.331333681
182,F,Fines,Fines,Fine,3.84757995,0.00601183,3599.27231827937,167600.423270075
183,SG,Sand+Gravel,Sand and Gravel,Coarse,15.33279991,0.02395739,9153.21089937613,667895.085270316
184,TT,Thick Till,Thick Till,Thick Till,39.978199,0.06246589,6779.37395498103,1741448.61715945
185,W,Water,Water,Water,5.13184022,0.00801848,2161.1883436307,223542.519590261
186,F,Fines,Fines,Fine,5.89954996,0.00921805,4923.29519667195,256984.701450368
187,SG,Sand+Gravel,Sand and Gravel,Coarse,1540.18005371,2.4065299,131704.37902934,67090316.9117672
188,SW,Swamp,Swamp,Natural Postglacial,52.99129867,0.082799,11416.3423031337,2308303.17350159
189,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,8.61166,0.0134557,3567.33445855783,375123.602460046
190,W,Water,Water,Water,36.29869842,0.05671669,33376.5468386006,1581170.39694377
191,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,64.46430206,0.100726,20437.8750263696,2808066.54958558
192,W,Water,Water,Water,73.58039855,0.114969,15782.2504286379,3205162.26214573
193,SG,Sand+Gravel,Sand and Gravel,Coarse,505.76000976,0.79025101,34789.9019226089,22030921.1638238
194,TT,Thick Till,Thick Till,Thick Till,259.92001342,0.40612599,15001.7486765242,11322133.9956311
195,T,Till,Till,Till,1.78851997,0.00279456,1272.66720876536,77907.8481046393
196,T,Till,Till,Till,2.22811007,0.00348141,1260.72768623958,97056.5467104765
197,T,Till,Till,Till,0.11067999,0.00017293,379.133476520484,4821.25533106838
198,SG,Sand+Gravel,Sand and Gravel,Coarse,124.77700042,0.194964,21248.5019441146,5435289.11851744
199,SG/F,Sand+Gravel/Fines,Sand and Gravel overlying Fines,Coarse over Fine,17.95879936,0.0280607,5251.88286879823,782286.145621915
200,W,Water,Water,Water,49.67630004,0.0776192,10899.2824081994,2163899.54824881
201,T,Till,Till,Till,3496.23999023,5.46288013,164419.083369707,152296446.813474
202,TT,Thick Till,Thick Till,Thick Till,97.90170288,0.15297099,11022.3931540234,4264597.52878883
203,TT,Thick Till,Thick Till,Thick Till,135.102005,0.211097,13540.745349206,5885049.11041123
204,TT,Thick Till,Thick Till,Thick Till,84.38700103,0.13185499,8463.46993002767,3675897.75952152
205,SG,Sand+Gravel,Sand and Gravel,Coarse,78.36609649,0.12244699,12364.5406701529,3413628.2287337
206,T,Till,Till,Till,36.35580062,0.0568059,6043.24743920624,1583658.53023325
207,S/F,Sand/Fines,Sand overlying Fines,Coarse over Fine,130.15299987,0.20336399,27261.7842754698,5669472.24876544
208,SG/F,Sand+Gravel/Fines,Sand and Gravel overlying Fines,Coarse over Fine,250.92799377,0.39207598,27478.0392172878,10930439.3502924
209,F,Fines,Fines,Fine,1003.13000488,1.56739997,79989.8125865062,43696467.2634358
210,T,Till,Till,Till,345.11300659,0.53924,20123.7360023691,15033137.9595414
211,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,346.56698608,0.54151099,105997.971922306,15096446.3247586
212,SW,Swamp,Swamp,Natural Postglacial,50.92110061,0.0795643,18885.5598586716,2218124.30953502
213,T,Till,Till,Till,11617.90039062,18.15299987,433851.43828636,506076656.612315
214,S,Sand,Sand,Coarse,100.11599731,0.156431,11351.4118574446,4361046.88711885
215,SG,Sand+Gravel,Sand and Gravel,Coarse,19.7255001,0.0308212,3894.25830221551,859244.406432486
216,SG/S,Sand+Gravel/Sand,Sand and Gravel overlying Sand,Stacked Coarse,47.94060134,0.07490719,11801.2356902134,2088293.8991105
217,SG,Sand+Gravel,Sand and Gravel,Coarse,1046.61999511,1.63534998,85588.9441453987,45590973.8435365
218,T,Till,Till,Till,247.30499267,0.38641399,15969.668606898,10772601.3843627
219,SW,Swamp,Swamp,Natural Postglacial,97.4421997,0.152253,25069.9842859453,4244582.18829755
220,T,Till,Till,Till,64.10700225,0.10016699,7977.13653069234,2792502.08902515
221,T,Till,Till,Till,10.60949993,0.01657729,2687.65705867662,462149.46090342
222,SW,Swamp,Swamp,Natural Postglacial,26.41950035,0.0412804,8752.22351765623,1150831.8544067
223,SW,Swamp,Swamp,Natural Postglacial,39.2038002,0.06125599,10410.6951799344,1707718.12262457
224,T,Till,Till,Till,473.98498535,0.740601,41346.7005742664,20646764.9267686
225,SG/S/F,Sand+Gravel/Sand/Fines,Sand and Gravel overlying Sand overlying Fines,Coarse over Fine,105.76599884,0.165259,11970.3833599378,4607167.66029315
226,T,Till,Till,Till,1.29519999,0.00202374,943.277430900036,56418.858570167
227,SG,Sand+Gravel,Sand and Gravel,Coarse,72.26380157,0.11291199,9474.98887046708,3147812.44452496
228,TT,Thick Till,Thick Till,Thick Till,91.53489685,0.14302299,11838.609406433,3987257.53262429
229,SW,Swamp,Swamp,Natural Postglacial,47.63349914,0.07442729,10876.3306749011,2074914.45628579
230,SG,Sand+Gravel,Sand and Gravel,Coarse,44.60380172,0.0696934,13482.7737066274,1942940.20740656
231,S,Sand,Sand,Coarse,92.37390136,0.144334,18989.5333917468,4023808.58037294
232,S,Sand,Sand,Coarse,8.82207965,0.01378449,2642.57406290603,384289.933142116
233,TT,Thick Till,Thick Till,Thick Till,30.81119918,0.0481425,5487.6109178676,1342137.15255378
234,SW,Swamp,Swamp,Natural Postglacial,17.63940048,0.0275615,6790.92672215795,768371.047138085
235,SW,Swamp,Swamp,Natural Postglacial,56.26119995,0.0879082,16184.8606799747,2450739.23725885
236,TT,Thick Till,Thick Till,Thick Till,31.98349952,0.04997429,4788.18890184662,1393202.76625922
237,SG/S,Sand+Gravel/Sand,Sand and Gravel overlying Sand,Stacked Coarse,55.24969863,0.0863277,7929.76491657553,2406677.23269916
238,SG,Sand+Gravel,Sand and Gravel,Coarse,44.56129837,0.06962709,13200.9900110019,1941091.58987975
239,S/F,Sand/Fines,Sand overlying Fines,Coarse over Fine,106.27300262,0.166051,14050.3582854497,4629231.0287143
240,SG/S,Sand+Gravel/Sand,Sand and Gravel overlying Sand,Stacked Coarse,339.33999633,0.53021901,35523.8792899639,14781671.0324412
241,S/F,Sand/Fines,Sand overlying Fines,Coarse over Fine,34.67359924,0.05417739,5183.84235426456,1510379.779878
242,W,Water,Water,Water,57.72320175,0.09019249,22651.2442368215,2514422.81246159
243,A/F,Alluv/Fines,Alluvium overlying Fines,Natural Postglacial,129.37800598,0.20215299,28838.8965885991,5635698.45711621
244,F,Fines,Fines,Fine,8.15795993,0.01274679,4100.43253119527,355360.40091515
245,SG,Sand+Gravel,Sand and Gravel,Coarse,35.66289901,0.0557232,6080.86823933583,1553473.74768141
246,W,Water,Water,Water,8.06124973,0.0125957,3093.42877892208,351148.207392539
247,SG,Sand+Gravel,Sand and Gravel,Coarse,359.05801391,0.561028,55695.4964995785,15640557.5505185
248,SW,Swamp,Swamp,Natural Postglacial,14.17020034,0.022141,4803.30411165384,617255.278388207
249,W,Water,Water,Water,164.84399414,0.25756898,13408.1534545595,7180624.69607126
250,TT,Thick Till,Thick Till,Thick Till,352.01300048,0.55001997,33089.1788530893,15333676.8263497
251,T,Till,Till,Till,27.78350067,0.04341169,8021.41831605898,1210248.21584601
252,SW,Swamp,Swamp,Natural Postglacial,38.42269897,0.0600354,6535.27400328989,1673692.18721111
253,S,Sand,Sand,Coarse,12.01729965,0.01877699,2999.81716978532,523472.47403731
254,S,Sand,Sand,Coarse,2.50881004,0.00392002,1376.72774352879,109283.818759288
255,G,Gravel,Gravel,Coarse,21.25329971,0.03320829,4492.96688342298,925795.517288006
256,SG/S/F,Sand+Gravel/Sand/Fines,Sand and Gravel overlying Sand overlying Fines,Coarse over Fine,254.76600646,0.398072,20278.6200254863,11097601.0883477
257,T,Till,Till,Till,3.64978003,0.00570278,1764.32315053845,158984.416287931
258,SG,Sand+Gravel,Sand and Gravel,Coarse,24.8770008,0.0388702,7034.51594174009,1083639.84752802
259,TA,Talus,Talus,Natural Postglacial,37.51179885,0.0586122,10577.4159600685,1634014.47977332
260,SG,Sand+Gravel,Sand and Gravel,Coarse,14.72109985,0.0230017,4338.05906417864,641251.028990746
261,TT,Thick Till,Thick Till,Thick Till,45.33309936,0.0708329,6204.35177890786,1974707.85767618
262,SG,Sand+Gravel,Sand and Gravel,Coarse,0.60233402,0.00094114,1011.56320873676,26237.6342323061
263,SG/F,Sand+Gravel/Fines,Sand and Gravel overlying Fines,Coarse over Fine,29.18770027,0.0456058,8559.06127607116,1271417.98674786
264,T,Till,Till,Till,26.14369964,0.04084959,4577.15632586331,1138820.50172918
265,SG/S,Sand+Gravel/Sand,Sand and Gravel overlying Sand,Stacked Coarse,272.74798583,0.42616799,30698.1895703994,11880890.5911751
266,T,Till,Till,Till,166.26699829,0.259792,14177.3641614021,7242576.90602706
267,F,Fines,Fines,Fine,79.96759796,0.124949,24975.4200162366,3483387.44283016
268,TT,Thick Till,Thick Till,Thick Till,101.94499969,0.159288,12279.8188396742,4440703.38455438
269,SG,Sand+Gravel,Sand and Gravel,Coarse,155.4810028,0.24293899,20759.8657164468,6772742.46622824
