OBJECTID,SMPOLY_COD,SURFM_POLY,DESCRIP,IMS_LEGEND,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
4717,SG,Sand+Gravel,Sand and Gravel,Coarse,28.76140022,0.0449397,4993.33949422122,1252847.17830823
4718,SG,Sand+Gravel,Sand and Gravel,Coarse,38.75049972,0.0605476,13246.9776251763,1687971.64925342
4719,T,Till,Till,Till,28.87420082,0.04511589,4827.40927262018,1257760.29772359
4720,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,2.13961005,0.00334314,2419.6376276311,93201.3733793317
4721,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,12.31560039,0.01924319,4653.14871774876,536469.623290174
4722,A/SG/S,Alluv/Sand+Gravel/Sand,Alluvium overlying Sand and Gravel overlying Sand,Natural Postglacial,13.37580013,0.0208997,6337.81137323107,582649.326291863
4723,SW,Swamp,Swamp,Natural Postglacial,23.57629966,0.03683799,9382.3302338309,1026983.43225144
4724,SG/S/F,Sand+Gravel/Sand/Fines,Sand and Gravel overlying Sand overlying Fines,Coarse over Fine,0.91231799,0.0014255,788.821751461022,39740.6159201723
4725,SW,Swamp,Swamp,Natural Postglacial,52.12189865,0.08144039,6629.3987460487,2270428.04276227
4726,TT,Thick Till,Thick Till,Thick Till,135.01100158,0.21095499,12026.164392203,5881097.79665972
4727,T,Till,Till,Till,8.34115982,0.0130331,2332.09013225501,363341.043577864
4728,W,Water,Water,Water,337.10299682,0.52672302,32142.0132553452,14684190.3190102
4729,W,Water,Water,Water,18.92280006,0.0295668,3831.12278373105,824276.02052947
4730,S,Sand,Sand,Coarse,38.32649993,0.0598852,8396.79285248317,1669503.71996683
4731,SG,Sand+Gravel,Sand and Gravel,Coarse,6.68819999,0.01045029,3226.84740381776,291337.876761381
4732,TT,Thick Till,Thick Till,Thick Till,128.68899536,0.201076,9653.64665191293,5605686.04005959
4733,SG/S,Sand+Gravel/Sand,Sand and Gravel overlying Sand,Stacked Coarse,371.25900268,0.58009201,34099.0951398811,16172025.2841355
4734,SG,Sand+Gravel,Sand and Gravel,Coarse,32.05049896,0.05007889,6657.21865602543,1396119.29060805
4735,SG,Sand+Gravel,Sand and Gravel,Coarse,11.0611,0.017283,3557.96818322398,481823.502134128
4736,TT,Thick Till,Thick Till,Thick Till,68.32089996,0.106751,9281.4366201445,2976059.36031673
4737,W,Water,Water,Water,5.84365987,0.00913072,3272.87585045424,254549.802339077
4738,SG/S,Sand+Gravel/Sand,Sand and Gravel overlying Sand,Stacked Coarse,3.83650994,0.00599454,2500.03723941956,167118.367430308
4739,W,Water,Water,Water,5.30583,0.00829035,2001.08707889568,231121.90437551
4740,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,183.21699523,0.28627699,55268.285522774,7980936.42351532
4741,T,Till,Till,Till,20.33569908,0.03177449,4396.61839078892,885822.198826733
4742,TT,Thick Till,Thick Till,Thick Till,97.24310302,0.15194199,8576.572996185,4235910.12042965
