OBJECTID,ID305B,MILES_SQUARE,CYCLE,NAME,MARINE_AQUATIC_LIFE,RECREATION,FISH_CONSUMPTION,SHELLFISH,IMPAIRED,SHAPE_Length,SHAPE_Area
58,CT-C1_002-SB,0.372,2012,"LIS CB Inner - Inner Clinton Harbor, Clinton",Not Supporting,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,Yes,21148.1794158666,10377399.7058145
59,CT-C1_003-SB,0.072,2012,"LIS CB Inner - Hammonasset River, Clinton",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,26163.4200852147,2004912.58104265
60,CT-E1_019,0.191,2012,"LIS EB Inner - Jordan Cove, Waterford",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,32641.230842191,5329055.27311996
61,CT-E1_023,0.031,2012,"LIS EB Inner - Fourmile River (mouth), Old Lyme",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,10331.9964637195,864108.868579571
62,CT-W1_005,0.072,2012,"LIS WB Inner - Southport Harbor, Fairfield",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,13931.7434392543,2016457.98698027
63,CT-E1_016-SB,1.555,2012,"LIS EB Inner - Thames River (Upper), Norwich",Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,152946.582019049,43355803.5615809
64,CT-E1_027-SB,0.007,2012,"LIS EB Inner - Duck River, Old Lyme",Not Assessed,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,7220.30823167854,183157.772196225
65,CT-E1_024-SB,3.284,2012,"LIS EB Inner - Connecticut River (mouth), Old Lyme",Not Assessed,Not Assessed,Not Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,187381.763210123,91545858.8730836
66,CT-C2_019-SB,0.295,2012,"LIS CB Shore - New Haven Harbor (West), Milford",Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,No,18686.6867463042,8217102.09775337
67,CT-W1_019,0.132,2012,"LIS WB Inner - Cos Cob Harbor (upper), Greenwich",Not Assessed,Not Assessed,Fully Supporting,Not Assessed Harvesting for Direct Consumption,No,18741.7910472614,3667618.56309681
68,CT-W1_008,0.168,2012,"LIS WB Inner - Sherwood Millpond, Westport",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,50701.3364762648,4679287.04699399
69,CT-C1_011,0.066,2012,"LIS CB Inner - Farm River, East Haven",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,45781.0219088525,1844745.66682275
70,CT-C1_007,0.047,2012,"LIS CB Inner - West River, Guilford",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,26350.7315293489,1317364.32839152
71,CT-C1_020-SB,0.741,2012,"LIS CB Inner - Housatonic River (lower), Milford",Not Assessed,Not Assessed,Fully Supporting,Not Assessed Commercial Harvesting where Authorized,No,85798.6565892212,20655639.3579372
72,CT-E3_011,5.639,2012,"LIS EB Midshore - Old Saybrook, Indian Harbor",Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,57646.7166726261,157218608.931288
73,CT-C3_001,2.692,2012,"LIS CB Midshore - Westbrook Harbor, Westbrook",Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,40337.5174447492,75045739.0451791
74,CT-E3_012,7.407,2012,LIS EB Midshore - Westbrook,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,88773.6682578699,206495230.394368
75,CT-E1_030,0.181,2012,"LIS EB Inner - Hamburg Cove/Eightmile River (mouth), Lyme",Not Assessed,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",No,18265.9738655041,5054150.63724267
76,CT-W3_010,2.113,2012,"LIS WB Midshore - Outer Cove Harbor, Darien",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,38700.8838749336,58903269.493238
77,CT-C2_011,0.546,2012,"LIS CB Shore - Stony Creek (East), Branford",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,52267.5214991965,15221554.6687621
78,CT-C3_009-I,1.457,2012,"LIS CB Midshore - Thimble Islands, Branford",Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,75470.3197500749,40614880.4899732
79,CT-C2_012,0.379,2012,"LIS CB Shore - Stony Creek (West), Branford",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,39606.805607261,10555102.7738397
80,CT-W1_020,0.025,2012,"LIS WB Inner - Indian Harbor (upper), Greenwich",Not Supporting,Not Assessed,Fully Supporting,Not Assessed Harvesting for Direct Consumption,Yes,9582.32452348792,685988.438871483
81,CT-W2_023,0.374,2012,"LIS WB Shore - Smith Cove, Indian Hrbr, Greenwich",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,36286.0095426858,10435117.5662644
82,CT-C2_024-SB,0.64,2012,"LIS CB Shore - Housatonic River mouth, Stratford",Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,28860.212929491,17852314.4109618
83,CT-C4_001,37.978,2012,LIS CB Offshore - Madison,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",No,175785.920501051,1058769377.8743
84,CT-C1_005,0.138,2012,"LIS CB Inner - Clinton Harbor (SA Inputs), Clinton",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,98107.7573017659,3842627.11534597
85,CT-W2_003,0.492,2012,"LIS WB Shore - Seaside Park Beach, Bridgeport",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,30076.785638492,13719018.5935333
86,CT-W2_017,0.498,2012,"LIS WB Shore - Darien Cove, Darien",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,46949.5096111007,13893733.6144171
87,CT-C1_015-SB,0.065,2012,"LIS CB Inner - West River (Lower), West Haven",Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,27773.3102192349,1817773.28021208
88,CT-C1_021-SB,0.402,2012,"LIS CB Inner - Housatonic River (Upper), Orange",Not Supporting,Not Assessed,Fully Supporting,Not Assessed Commercial Harvesting where Authorized,Yes,43096.3295570767,11206148.5192943
89,CT-E1_011-SB,0.219,2012,"LIS EB Inner - Mumford Cove (Inner), Groton",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,17747.2107938251,6105252.72566075
90,CT-E1_021,0.048,2012,"LIS EB Inner - Pattagansett Rvr (mouth), East Lyme",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,16943.0398792269,1345579.891656
91,CT-E2_021,0.182,2012,"LIS EB Shore - Plum Bank, Old Saybrook",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,12262.3702120912,5081545.11457672
92,CT-E2_022,0.389,2012,"LIS EB Shore - Indiantown Harbor, Old Saybrook",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,28446.8328214907,10856712.6241672
93,CT-C1_004-SB,0.009,2012,"LIS CB Inner - Hayden Creek, Clinton",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,12064.515931827,248499.95004896
94,CT-C1_013-SB,2.343,2012,"LIS CB Inner - New Haven Harbor, New Haven",Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,58309.3018226329,65321194.3068196
95,CT-C1_012,0.016,2012,"LIS CB Inner - Morris Creek, East Haven",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,11231.3581999898,432531.485153799
96,CT-C2_017-SB,0.586,2012,"LIS CB Shore - Morris Cove, New Haven",Not Supporting,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,Yes,36372.4218838541,16325094.7129849
97,CT-E2_020,0.5,2012,"LIS EB Shore - Willard Bay, Old Saybrook",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,29879.568592061,13928373.6854045
98,CT-E2_018,0.332,2012,"LIS EB Shore - Soundview Beach, Old Lyme",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,20951.4117918318,9246758.45712406
99,CT-C2_004,0.505,2012,"LIS CB Shore - Outer Clinton Harbor, Clinton",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,30531.041508012,14086479.99214
100,CT-E2_002,0.668,2012,"LIS EB Shore - Stonington Point, Stonington",Insufficient Information,Insufficient Information,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,43631.7253247157,18627636.1365471
101,CT-C3_013-SB,6.051,2012,"LIS CB Midshore - New Haven Harbor, East Haven",Not Supporting,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,Yes,54179.7350316777,168704132.153548
