OBJECTID,ID,SURFACE_MATERIAL,MAINTENANCE_RESPONSIBILITY,WIDTH,COMMENTS,GLOBALID,PLAN_NUM,MAPNUM,DEEDBOOK,DEEDPAGE,TRAIL_NAME,ADDITION_TRAIL_NAME,TRAILOWNER,TRAILNAME,SOURCEDATE,SOURCETYPE,ADA,SIGNAGE,RESTRICTION,PARK_REGISTRY_ID,TRIRIGA_ID,SENSITIVE_RESOURCE,DIFFICULTY,STEPS,PARK_NAME,SUPERVISOR_DISTRICT,PLANNING_DISTRICT,MAINTENANCE_AREA,CreationDate,Creator,EditDate,Editor,Shape__Length
4901,804673,Asphalt,Fairfax County Park Authority,6.0,,d9db1c5b-3038-4678-b998-96f05ab33c54,,0401,,,,,,,2007/04/20 00:00:00+00,GPS,,,,249.0,PA249-TRL-A,, ,F,Pimmit View,Dranesville,McLean,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,176.681958815905
4902,803193,Gravel,Fairfax County Park Authority,4.0,,954185d8-86ac-4162-a235-c942d2dcec8c,,0921,,,,,,,2007/04/06 00:00:00+00,GPS,,,,177.0,PA177-TRL-G,, ,F,Franconia,Franconia,Rose Hill,3,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,196.350343935523
4904,804232,Concrete,Fairfax County Park Authority,8.0,,d836d320-b9d6-4189-9c34-c98a113dca33,1685-SAB-001-1,0614,,,,,,,2011/06/20 00:00:00+00,GPS,,,,188.0,PA188-TRL-BG,,,F,Lillian Carey,Mason,Baileys,2,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,55.2748892251254
4905,803328,Bridge,Fairfax County Park Authority,4.0,,302dfe2b-74c0-450d-9095-aa6d3a0081ea,,0911,,,,,,,2011/06/24 00:00:00+00,GPS,,,,297.0,PA297-TRL-BG,,,F,Springfield Forest,Franconia,Springfield,3,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,11.2053299404628
4906,800606,Bridge,Fairfax County Park Authority,4.0,,949a8adf-0f2c-4d0c-984d-eeebce68abb8,,0361,,,,,,,2007/03/15 00:00:00+00,GPS,,,,189.0,PA189-TRL-BG,, ,F,Little Difficult Run Stream Valley,Sully,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,27.9039642577089
4908,805247,Natural,Fairfax County Park Authority,4.0, ,54a0a81a-aa01-4412-a8d4-bbd982d2de82,,1073,,,,,,,2008/01/28 00:00:00+00,GPS,,,,392.0,PA392-TRL-N,,,F,Laurel Hill,Mount Vernon,Lower Potomac,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,1029.78669883579
4909,803123,Concrete,Fairfax County Park Authority,4.0,,91a1a3cd-16f4-4294-aabb-d581380dd4da,,1013,,,,,,,2007/04/10 00:00:00+00,GPS,,,,222.0,PA222-TRL-C,, ,F,Mount Vernon Manor,Mount Vernon,Mount Vernon,3,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,343.946608359008
4910,802188,Asphalt,Fairfax County Park Authority,6.0,,3c474093-c209-4786-867d-11464d2234b4,,0884,,,,,,,2007/04/04 00:00:00+00,GPS,,,,150.0,PA150-TRL-A,, ,F,Huntsman,Springfield,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,179.1587837755
4911,802468,Asphalt,Fairfax County Park Authority,8.0,CCT,54d6c8f1-61f4-478a-af62-d23b2538d1da,,1122,,,Cross County Trail,,,,2007/04/04 00:00:00+00,GPS,,,,392.0,PA392-TRL-A,, ,F,,Mount Vernon,Lower Potomac,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,70.4256738724335
4912,800787,Natural,Fairfax County Park Authority,4.0,CCT,d7883ff8-dfac-4cd6-9ae5-51e0f7c6a9df,,0191,,,Cross County Trail,,,,2007/03/05 00:00:00+00,GPS,,,,66.0,PA66-TRL-N,, ,F,Difficult Run Stream Valley,Dranesville,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,1120.72683973341
4913,802740,Bridge,Fairfax County Park Authority,8.0,CCT,3172a261-e904-4b17-919c-96ab168b78c0,,0894,,,Cross County Trail,,,,2007/04/03 00:00:00+00,GPS,,,,259.0,PA259-TRL-BG,, ,F,Pohick Stream Valley,Springfield,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,45.6199907809152
