OBJECTID,COORD_SRC_TYPE,COORD_SRC2,DEF_FET_TYPE,DEF_FET2,ACCURACY_FT,GlobalID,ADMIN_ST,SHAPE_Length
4655,MAP,MAP,UNK,UNK,-1,{7DA9AE74-0D79-4921-939A-8AD81F4A05CA},UT,5940.85396864239
4656,MAP,MAP,UNK,UNK,-1,{0ACCB89E-1C7F-4EF5-A654-F1266F92112E},UT,856.958325222638
4657,MAP,MAP,UNK,UNK,-1,{C20F264E-469C-4DBE-A014-88B4E44AF680},UT,4103.17632702966
4658,UNK,UNK,UNK,UNK,40,{526973C4-F38E-400F-ACAB-82C2363FA174},UT,25158.4898781869
4660,UNK,UNK,UNK,UNK,-1,{5DDC6D37-B7AC-4157-9A7B-39287AB2D056},UT,883.617571757111
4661,MAP,MAP,CONST_FEAT,FENCE,40,{8660DD97-A7BD-4B2F-97AA-8C9E6E01B891},UT,1.71811640989768
4662,MAP,MAP,CONST_FEAT,FENCE,40,{42B9A893-14CA-4B26-AB28-523D2DD5BBB5},UT,115.9436268605
4663,MAP,MAP,UNK,UNK,-1,{966756B0-8BD8-4158-9002-67FAF511655C},UT,5275.60489246269
4664,MAP,MAP,UNK,UNK,-1,{0F21EA89-D4B5-42CE-BFD6-C73201F2879C},UT,7962.59614221326
4665,MAP,MAP,UNK,UNK,-1,{EE09CB9F-6CD3-41C4-9F2F-515168D95C95},UT,5363.42195090539
4666,MAP,MAP,UNK,UNK,-1,{D4733B78-FC0E-4C65-AF99-08C7783AD245},UT,8725.0606807023
4667,MAP,MAP,UNK,UNK,-1,{8EEADE32-7A07-4EF7-908C-9CB0D080F02E},UT,15963.2251244588
4668,DEM,DEM,LANDFORM,RIM,40,{D01A79F5-BE1C-492C-A942-8323C18967F2},UT,16154.7727531534
4669,MAP,MAP,UNK,UNK,-1,{1B411605-59E4-4264-B4B9-D8D71F784CA8},UT,10003.7172101471
4670,MAP,MAP,UNK,UNK,-1,{766A61C4-8C12-455C-BF66-5E1353AC8884},UT,3621.82206484985
4671,MAP,MAP,UNK,UNK,-1,{F8EA6F6E-BBD0-4EC7-9F35-68B9CCD31D7F},UT,3844.76072811407
4672,MAP,MAP,UNK,UNK,-1,{333E6D90-956C-41D5-9683-BAB808723432},UT,4511.3280365652
