X,Y,OBJECTID,FEATURE_TYPE,GlobalID
449735.76203125,85138.4835937507,171,Quarry,{9E20C618-3D3F-49A4-AE0A-8DFC5BD899B2}
449659.36703125,85255.6226562504,172,Quarry,{426664C6-2F7B-4B43-ADF2-0899B0D32CCB}
448666.23171875,86197.8279687501,173,Quarry,{824DE396-D1C3-4E70-B0AB-4CE24DEDA2A3}
440583.638125,93093.7520312499,174,Quarry,{986034E5-60CB-446A-B771-113F821CEE0C}
441001.264375,97764.0345312506,175,Quarry,{A991EEDD-FCB7-4EF9-B9A5-AA43CC828F3B}
442503.69984375,98629.8448437508,176,Quarry,{49E17C4E-634A-4EF2-9027-34276FC11627}
442702.326875,98548.3568750005,177,Quarry,{1942EA2B-337D-4724-B2A8-988A0BE642BF}
442926.41890625,98731.7048437502,178,Quarry,{EBA12FC8-7DF7-4D13-B40D-F6339EC88422}
442600.466875,98909.9600000009,179,Quarry,{E8BC5585-2C40-48C3-B0B2-6ACBB37DA2E0}
447908.22328125,97941.9359374996,180,Quarry,{8FC50AAE-2421-4FA3-BFA2-D603DF19C529}
447824.18875,97326.9559374992,181,Quarry,{C2083AD5-CC3D-4686-849C-28EDC9E95E07}
447927.32203125,97220.0029687509,182,Quarry,{E3D58621-37C2-4E78-B500-6F3A58617ED0}
447831.82828125,96994.6376562491,183,Quarry,{4B5E589B-93F7-4284-B780-62187F4C2E74}
447912.043125,96669.9587500002,184,Quarry,{52B66FA8-CB2C-4369-A1D1-E2C07E6B2C57}
448931.91671875,97174.1659375001,185,Quarry,{216CF4E1-ED53-4604-A797-0921F6ABBA0C}
449122.90421875,97197.0845312495,186,Quarry,{E7C0317D-4B3A-485F-8A36-F89534BDD4BA}
450734.83921875,97529.4028124996,187,Quarry,{F49D82EA-9526-4F0E-889E-D8C56DE3EF56}
453134.491875,96181.6673437506,188,Quarry,{F20EFD4B-8972-4F9A-9D12-EF7565D86304}
453063.18984375,98560.0990625005,189,Quarry,{F8A595B0-F8AD-4418-B3F0-985631F47F2C}
458548.3525,93859.2585937493,190,Quarry,{4ABB6E14-62F1-4B40-9F2A-60821D169A2F}
458008.494375,92718.4262499996,191,Quarry,{89924C56-2A59-464F-8D02-7145667AF93F}
459098.39671875,85374.3179687504,192,Quarry,{2DF42DCF-FA0F-40DA-9BE8-954D54ECE196}
452747.42375,91491.0128125008,193,Quarry,{00F8B64C-F7E4-4953-BB69-5BB67B3F1084}
455961.10765625,93265.9239062499,194,Quarry,{5EF6E73B-992B-4BF1-8DDC-711020FB5ABC}
451535.289375,89583.6837499999,195,Quarry,{8CCCFB55-0A94-4C61-B7C9-A3B8C734DA40}
448489.674375,89639.7067187503,196,Quarry,{830E532A-E7F6-4C14-8D26-8C1F49053747}
447180.77296875,90261.0529687498,197,Quarry,{3FDCE9F2-18E6-4D84-9391-848BFBA2509D}
446895.56484375,93418.7139062509,198,Quarry,{1DB083C7-B267-40C6-8168-4B6954CBD4ED}
447124.74984375,93403.4348437507,199,Quarry,{2597AFBF-FECD-473E-AD79-DD79D970ED8F}
447089.09890625,93204.8079687506,200,Quarry,{FC6941EC-A827-478D-A406-08349E22FA43}
447287.7259375,93220.0868749991,201,Quarry,{59B1588B-EB23-47E8-B216-C1AC504867ED}
444130.065,95883.7267187499,202,Quarry,{820DAE0C-3444-49D3-BD95-99C5AD40F3D1}
446910.84390625,95511.9376562499,203,Quarry,{457C226A-425C-41E0-8FDA-009CC6595626}
442724.3965625,98032.9734374993,204,Quarry,{E74C4640-8493-44C6-95F4-0B9728E86856}
455743.4290625,101484.80234375,205,Quarry,{AE8B7EC7-3B9E-4F1A-AD95-BE5603E49A75}
459186.298125,99216.7190624997,206,Quarry,{EAC5FD7E-81E0-45B2-953F-98A27C2DA7F0}
455763.8009375,104852.974062501,207,Quarry,{3BB6A1CC-AE97-4D24-9A89-D7D36508D34A}
455139.05953125,106197.526562501,208,Quarry,{1CE25513-5A8D-4F2F-A3BA-8FDE603C8E02}
457441.09625,110105.34421875,209,Quarry,{B105F447-CB6C-4C01-9EAE-5F682C44D9AF}
452422.79203125,109300.862187499,210,Quarry,{3FAEB624-D5C7-472D-95D5-377B31AB0377}
451845.58515625,109667.55828125,211,Quarry,{FCD47675-4B30-4C93-90FF-3263D0D44C21}
451315.91296875,109701.5115625,212,Quarry,{F61B9864-5125-493E-82C6-09E6184545CB}
451444.935625,109932.394375,213,Quarry,{1C5F17CD-F3F1-47DE-B633-27C7BF20F7BC}
449949.7153125,110388.43015625,214,Quarry,{CAE13BD5-9FA1-49DA-A8BB-7E2A3DF7E8B9}
450106.32515625,110124.86734375,215,Quarry,{80BDA937-2ED3-4120-876E-1852DC383FD7}
450106.32515625,110388.43015625,216,Quarry,{029810F3-A193-40F2-9E3A-F749DE39761A}
449630.129375,108334.040625,217,Quarry,{42D39F0E-2480-4F7B-AA1B-5AB97A7BFDEA}
447190.58171875,110488.38046875,218,Quarry,{22279132-62DA-4D93-88DA-CE65BA0DEE92}
443513.43453125,108787.317812501,219,Quarry,{D55CE6B9-551D-4BA6-AD3D-EC0536195D65}
439586.7303125,101015.397343749,220,Quarry,{A220D49B-2AE8-4E90-84FF-D899FCBBFA64}
443095.8084375,101565.4415625,221,Quarry,{2F11A388-9366-4B59-9741-1A98A277ABFF}
443268.97046875,101702.95265625,222,Quarry,{3DE09A9D-A681-4C0D-91A9-477795748F73}
443055.064375,101748.78953125,223,Quarry,{FE09EF1F-3C34-49AC-AD37-BC13D4484125}
443625.480625,101580.720625,224,Quarry,{5F76850F-468B-4C51-9015-28B72813D469}
445107.5440625,101835.370625,225,Quarry,{395828C8-4FB2-4F55-96CC-197A190F9D66}
447755.90484375,101626.557656251,226,Quarry,{89BF3F3C-1F56-437C-91E1-67FE03E405EB}
448076.7640625,101463.5815625,227,Quarry,{CECD5AAE-3C0A-4730-ACDA-1A7BEA136506}
449854.2215625,100984.839375,228,Quarry,{3278BDC0-C61B-4DBF-BFE8-346586E7A08A}
450078.31359375,101509.4184375,229,Quarry,{431B9CF5-08CC-4FAE-8E43-D199EDC887C3}
449930.6165625,101911.765625,230,Quarry,{E0302F25-42D9-4831-BC9D-722B93BCF6ED}
452171.5371875,98934.90625,231,Quarry,{CB84CE32-939D-4D00-89A4-EC237116953E}
455909.80046875,100228.528593751,232,Quarry,{D0DF361D-D18F-47A2-8969-D27C0A837486}
450730.2178125,103615.3746875,233,Quarry,{2EB2C341-EDF4-44F1-83CF-1EA3D5AD4142}
450220.91765625,104842.788125001,234,Quarry,{69C3FB05-1C63-40D1-89E7-5EAA89ED136C}
450113.96453125,107027.68578125,235,Quarry,{E9CA39AE-5158-4735-AE80-4E7A37988135}
444526.941875,107226.3128125,236,Quarry,{07F65962-921D-4E32-9242-738FA9C9E320}
456002.0403125,105075.651406251,237,Quarry,{49C05BC1-6260-4B57-B238-D1AC694C76CE}
454720.859375,85570.3870312497,238,Quarry,{8A4EBA37-B598-4361-AB72-4460D4FD9403}
437412.39984375,32597.0018750001,239,Quarry,{33651214-7DE5-4761-9AC0-301FA2DB5713}
