Facilty_Number,Facility_Name,Address,Zip,Area_Number,Program_Code,Establishment_Type,Status,Score_Recent,DateRecent,Score2,Date2,Score3,Date3,ObjectId
29037,BUDGETEL INN,3304 BARDSTOWN RD,40218,27,620,HOTEL / MOTEL,ACTIVE,59,2022/10/28 00:00:00,71,2022/04/04 00:00:00,100,2021/05/11 00:00:00,42
35456,BLOOM ELEMENTARY SCHOOL,1627 LUCIA AVE,40204,26,635,SCHOOLS,ACTIVE,96,2023/03/01 00:00:00,100,2022/09/09 00:00:00,100,2022/04/27 00:00:00,43
93918,SLEEP INN,1850 PRIORITY WAY,40299,22,620,HOTEL / MOTEL,ACTIVE,98,2023/02/03 00:00:00,96,2022/01/31 00:00:00,96,2021/01/22 00:00:00,44
35318,OKOLONA ELEMENTARY SCHOOL,7606 PRESTON HWY,40219,27,635,SCHOOLS,ACTIVE,100,2023/03/20 00:00:00,90,2022/10/12 00:00:00,94,2022/03/15 00:00:00,45
103591,HOME 2 SUITES,240 S HANCOCK ST,40202,26,620,HOTEL / MOTEL,ACTIVE,94,2022/10/27 00:00:00,84,2021/11/10 00:00:00,88,2019/12/18 00:00:00,46
35459,ST. PAUL ELEMENTARY SCHOOL,6901 DIXIE HWY,40258,23,635,SCHOOLS,ACTIVE,100,2023/03/06 00:00:00,100,2022/11/14 00:00:00,100,2022/04/12 00:00:00,47
94107,LOUISVILLE CLASSICAL ACADEMY,2005 DOUGLASS BLVD,40205,29,635,SCHOOLS,ACTIVE,100,2023/03/08 00:00:00,100,2022/09/09 00:00:00,100,2022/01/10 00:00:00,48
29055,DAYS INN AIRPORT,2905 FERN VALLEY RD,40213,27,620,HOTEL / MOTEL,ACTIVE,88,2023/05/19 00:00:00,73,2022/03/09 00:00:00,71,2021/03/04 00:00:00,49
79657,DRURY INN & SUITES,9501 BLAIRWOOD RD,40222,29,620,HOTEL / MOTEL,ACTIVE,88,2022/12/29 00:00:00,92,2021/12/22 00:00:00,92,2019/05/28 00:00:00,50
103928,WINGATE LOUISVILLE FAIR & EXPO CENTER,3200 KEMMONS DR,40218,27,620,HOTEL / MOTEL,ACTIVE,88,2023/04/05 00:00:00,89,2022/03/14 00:00:00,96,2019/12/23 00:00:00,51
94279,WEST END SCHOOL,3628 VIRGINA AVE,40211,24,635,SCHOOLS,ACTIVE,98,2023/04/21 00:00:00,100,2022/11/02 00:00:00,100,2022/04/29 00:00:00,52
35321,OUR LADY OF LOURDES,510 BRECKENRIDGE LN,40207,29,635,SCHOOLS,ACTIVE,88,2023/04/28 00:00:00,96,2022/11/30 00:00:00,100,2022/03/11 00:00:00,53
29064,GALT HOUSE,140 N. 4TH ST,40202,24,620,HOTEL / MOTEL,ACTIVE,96,2022/01/13 00:00:00,90,2020/02/25 00:00:00,88,2019/02/01 00:00:00,54
80431,TEMPORARY TATTOO ARTIST CERT.,400 E GRAY ST,40202,30,634,TATTOO STUDIO,HOLD,100,2018/10/20 00:00:00,0,,0,,55
35460,JEFFERSONTOWN ELEMENTARY SCHOOL,3610 CEDARWOOD,40299,22,635,SCHOOLS,ACTIVE,100,2023/02/22 00:00:00,100,2022/09/16 00:00:00,100,2022/02/11 00:00:00,56
104028,THE SEELBACH HILTON LOUISVILLE,500 S 4TH ST,40202,24,620,HOTEL / MOTEL,ACTIVE,92,2022/12/06 00:00:00,96,2021/12/02 00:00:00,96,2020/02/04 00:00:00,57
94918,SLEEP INN & SUITES,3330 PRESTON HWY,40213,28,620,HOTEL / MOTEL,ACTIVE,80,2023/01/30 00:00:00,89,2022/04/27 00:00:00,94,2020/01/02 00:00:00,58
35322,ST. NICHOLAS ACADEMY,5501 NEW CUT ROAD,40214,28,635,SCHOOLS,ACTIVE,100,2023/04/14 00:00:00,96,2022/10/20 00:00:00,92,2022/04/19 00:00:00,59
29066,RESIDENCE INN BY MARRIOTT,120 N HURSTBOURNE PKWY,40222,25,620,HOTEL / MOTEL,ACTIVE,84,2022/12/15 00:00:00,73,2021/12/09 00:00:00,88,2020/03/04 00:00:00,60
80432,CREATIVE INK TATTOO STUDIO,9513 DIXIE HWY,40272,23,634,TATTOO STUDIO,ACTIVE,95,2023/01/05 00:00:00,95,2022/05/11 00:00:00,100,2021/09/14 00:00:00,61
35461,JOHN PAUL II,3521 GOLDSMITH LN,40220,29,635,SCHOOLS,ACTIVE,100,2023/01/27 00:00:00,95,2022/09/21 00:00:00,100,2022/03/21 00:00:00,62
104030,INFINITE ELECTRIC TATTOO,3503 S HURSTBOURNE PKWY,40299,22,634,TATTOO STUDIO,ACTIVE,100,2023/02/03 00:00:00,100,2022/09/09 00:00:00,100,2021/10/08 00:00:00,63
95054,HOLIDAY INN,1325 S. HURSTBOURNE PKWY,40222,29,620,HOTEL / MOTEL,ACTIVE,90,2023/01/12 00:00:00,96,2021/12/16 00:00:00,96,2019/12/23 00:00:00,64
35324,MAUPIN ELEMENTARY SCHOOL,1312 CATALPA ST,40211,24,635,SCHOOLS,ACTIVE,100,2023/03/17 00:00:00,92,2022/10/20 00:00:00,96,2022/02/23 00:00:00,65
29072,GALT HOUSE EAST,140 N. 4TH ST,40202,24,620,HOTEL / MOTEL,ACTIVE,96,2023/06/12 00:00:00,91,2022/10/04 00:00:00,94,2021/04/20 00:00:00,66
80433,CREATIVE INK TATTOO STUDIO,9513 DIXIE HWY,40272,23,644,BODY PIERCING STUDIO,ACTIVE,91,2023/01/05 00:00:00,90,2022/05/11 00:00:00,100,2021/09/14 00:00:00,67
35462,J. J. AUDUBON ELEMENTARY SCHOOL,1051 HESS LANE,40217,28,635,SCHOOLS,ACTIVE,100,2023/01/24 00:00:00,96,2022/09/21 00:00:00,100,2022/02/11 00:00:00,68
104175,BLUE BIRD INC BOUTIQUE,1007 E MAIN ST,40206,26,634,TATTOO STUDIO,ACTIVE,100,2023/04/14 00:00:00,100,2022/10/20 00:00:00,100,2022/03/09 00:00:00,69
95269,TRUTH'S TATTOOS,3510 TAYLOR BLVD,40215,28,634,TATTOO STUDIO,ACTIVE,97,2022/11/23 00:00:00,94,2020/10/23 00:00:00,95,2019/05/30 00:00:00,70
35325,L.T. JOHNSON MIDDLE SCHOOL,2509 WILSON,40210,24,635,SCHOOLS,ACTIVE,94,2023/04/24 00:00:00,96,2022/11/07 00:00:00,98,2022/05/04 00:00:00,71
29074,RED ROOF INN #7134,3322 RED ROOF INN PLACE,40218,27,620,HOTEL / MOTEL,ACTIVE,87,2023/05/12 00:00:00,95,2022/03/11 00:00:00,92,2019/11/26 00:00:00,72
29720,CEDAR RIDGE CAMP & RETREAT CNT,4010 ROUTT RD,40299,22,650,RESIDENTIAL,ACTIVE,100,2023/08/02 00:00:00,98,2023/06/08 00:00:00,100,2023/05/15 00:00:00,73
31505,FAIRDALE HIGH SCHOOL,1001 FAIRDALE ROAD,40118,27,635,SCHOOLS,ACTIVE,100,2023/04/27 00:00:00,98,2022/12/02 00:00:00,100,2022/03/07 00:00:00,74
35218,TRINITY HIGH SCHOOL,4011 SHELBYVILLE RD,40207,29,635,SCHOOLS,ACTIVE,100,2023/05/17 00:00:00,92,2022/10/24 00:00:00,100,2022/02/28 00:00:00,75
35230,ZACHARY TAYLOR ELEMENTARY SCHOOL,9620 WESTPORT RD,40241,25,635,SCHOOLS,ACTIVE,96,2023/03/16 00:00:00,96,2022/11/21 00:00:00,100,2022/05/09 00:00:00,76
35231,TRUNNELL ELEMENTARY SCHOOL,7609 ST ANDREWS CHURCH RD,40214,28,635,SCHOOLS,ACTIVE,100,2023/02/13 00:00:00,100,2022/11/01 00:00:00,100,2022/04/15 00:00:00,77
35233,TULLY SPECIAL EDUCATION,3300 COLLEGE DR,40299,22,635,SCHOOLS,ACTIVE,96,2023/03/15 00:00:00,100,2022/09/26 00:00:00,100,2022/02/16 00:00:00,78
35235,WAGGENER HIGH SCHOOL,330 S. HUBBARDS LN,40207,29,635,SCHOOLS,ACTIVE,90,2023/04/19 00:00:00,92,2022/11/10 00:00:00,98,2022/03/17 00:00:00,79
35254,H. WATTERSON ELEMENTARY SCHOOL,3900 BRECKINRIDGE LN,40218,22,635,SCHOOLS,ACTIVE,100,2023/04/17 00:00:00,100,2022/09/26 00:00:00,100,2022/04/15 00:00:00,80
35255,WESTPORT MIDDLE SCHOOL,8100 WESTPORT RD,40222,25,635,SCHOOLS,ACTIVE,93,2023/03/24 00:00:00,96,2022/11/18 00:00:00,98,2022/04/27 00:00:00,81
35264,S. WELLINGTON ELEMENTARY SCHOOL,4800 KAUFMAN LN,40216,23,635,SCHOOLS,ACTIVE,98,2023/03/21 00:00:00,100,2022/11/17 00:00:00,100,2022/03/08 00:00:00,82
35265,WESTERN HIGH SCHOOL,2501 ROCKFORD LN,40216,23,635,SCHOOLS,ACTIVE,98,2023/01/24 00:00:00,92,2022/09/22 00:00:00,98,2022/01/25 00:00:00,83
35267,WESTERN MIDDLE SCHOOL,2201 W. MAIN ST,40212,24,635,SCHOOLS,ACTIVE,100,2023/04/17 00:00:00,96,2022/11/04 00:00:00,98,2022/03/22 00:00:00,84
35268,WHEATLEY ELEMENTARY SCHOOL,1107 S. 17TH ST,40210,24,635,SCHOOLS,ACTIVE,92,2023/04/13 00:00:00,96,2022/09/28 00:00:00,100,2022/03/02 00:00:00,85
35269,WHEELER ELEMENTARY SCHOOL,5700 CYNTHIA DR,40291,22,635,SCHOOLS,ACTIVE,100,2023/04/19 00:00:00,100,2022/09/22 00:00:00,100,2022/04/18 00:00:00,86
35270,WILDER ELEMENTARY SCHOOL,1913 HERR LN,40222,21,635,SCHOOLS,ACTIVE,96,2023/03/21 00:00:00,98,2022/11/28 00:00:00,100,2022/03/04 00:00:00,87
35275,WALLER WILLIAMS ENVIRONMENTAL SCHOOL,2415 ROCKFORD LANE,40216,23,635,SCHOOLS,ACTIVE,100,2023/02/28 00:00:00,100,2022/11/11 00:00:00,100,2022/03/08 00:00:00,88
35277,WILT ELEMENTARY SCHOOL,6700 PRICE LANE RD,40229,27,635,SCHOOLS,ACTIVE,100,2023/04/13 00:00:00,100,2022/09/21 00:00:00,100,2022/03/28 00:00:00,89
35278,JEFFERSON CO. TRADITIONAL MIDDLE SCHOOL,1418 MORTON AVE,40204,26,635,SCHOOLS,ACTIVE,87,2023/03/09 00:00:00,96,2022/09/14 00:00:00,100,2022/02/01 00:00:00,90
35279,W.M. YOUNG ELEMENTARY SCHOOL,3526 MUHAMMAD ALI BLVD.,40212,24,635,SCHOOLS,ACTIVE,100,2023/03/22 00:00:00,100,2022/11/11 00:00:00,100,2022/04/27 00:00:00,91
35283,ST. XAVIER HIGH SCHOOL,1609 POPLAR LEVEL RD,40217,28,635,SCHOOLS,ACTIVE,100,2023/04/19 00:00:00,100,2022/10/13 00:00:00,100,2022/02/23 00:00:00,92
35284,BALLARD HIGH SCHOOL,6000 BROWNSBORO RD,40222,21,635,SCHOOLS,ACTIVE,90,2023/04/13 00:00:00,92,2022/11/21 00:00:00,100,2022/05/19 00:00:00,93
35285,BARRETT MIDDLE SCHOOL,2561 GRINSTEAD DR,40206,26,635,SCHOOLS,ACTIVE,91,2023/02/24 00:00:00,98,2022/09/13 00:00:00,100,2022/05/09 00:00:00,94
35286,MINOR DANIELS ACADEMY,1960 BASHFORD MANOR LANE,40218,29,635,SCHOOLS,ACTIVE,100,2023/02/27 00:00:00,96,2022/09/12 00:00:00,100,2022/02/28 00:00:00,95
35288,J.H. BATES ELEMENTARY SCHOOL,7601 BARDSTOWN RD,40291,22,635,SCHOOLS,ACTIVE,100,2023/02/27 00:00:00,100,2022/09/12 00:00:00,100,2022/03/03 00:00:00,96
35289,BETH HAVEN,5515 JOHNSONTOWN RD,40272,23,635,SCHOOLS,ACTIVE,98,2023/02/14 00:00:00,96,2022/10/07 00:00:00,96,2022/03/16 00:00:00,97
35290,BLAKE ELEMENTARY SCHOOL,3801 BONAVENTURE BLVD,40219,27,635,SCHOOLS,ACTIVE,100,2023/04/18 00:00:00,96,2022/10/12 00:00:00,100,2022/02/23 00:00:00,98
35292,IROQUOIS HIGH SCHOOL,4615 TAYLOR BLVD,40215,28,635,SCHOOLS,ACTIVE,96,2023/04/19 00:00:00,96,2022/11/03 00:00:00,96,2022/05/05 00:00:00,99
35293,BLUE LICK ELEMENTARY SCHOOL,9801 BLUE LICK RD,40229,27,635,SCHOOLS,ACTIVE,100,2023/04/10 00:00:00,100,2023/04/10 00:00:00,100,2022/08/31 00:00:00,100
35294,A.E. BOWEN ELEMENTARY SCHOOL,1601 ROOSEVELT LN,40222,25,635,SCHOOLS,ACTIVE,100,2023/02/24 00:00:00,96,2022/11/15 00:00:00,98,2022/03/17 00:00:00,101
35296,BRECKENRIDGE METROPOLITAN HIGH SCHOOL,1128 E. BROADWAY,40204,26,635,SCHOOLS,ACTIVE,92,2023/02/22 00:00:00,96,2022/09/13 00:00:00,98,2022/01/31 00:00:00,102
35297,W.E.B. DUBOIS,3307 INDIAN TRAIL,40213,27,635,SCHOOLS,ACTIVE,94,2023/04/28 00:00:00,96,2022/10/13 00:00:00,96,2022/02/15 00:00:00,103
35298,BUTLER HIGH SCHOOL,2222 CRUMS LN,40216,24,635,SCHOOLS,ACTIVE,100,2023/05/22 00:00:00,100,2022/11/22 00:00:00,100,2022/02/22 00:00:00,104
35299,D.C. BYCK ELEMENTARY SCHOOL,2328 CEDAR ST,40212,24,635,SCHOOLS,ACTIVE,100,2023/04/17 00:00:00,100,2022/11/10 00:00:00,100,2022/04/15 00:00:00,105
