X,Y,OBJECTID,NAME,ADDRESS,DIVISION,SOCCER,OVERLAPPIN,E_SURFACE,E_LIGHTS,PMAID,LOCID,AMWO_ID,RES1,RES2,GLOBALID,GIS_CREATOR,GIS_CRT_DT,GIS_EDITOR,GIS_EDT_DT,SDQL
1278727.12487639,247388.953181982,1117,Ravenna Park,20th Ave NE & NE 58th St,North,1,Y,Grass,No,391.0,,,2- Sched,,{3271A87C-47CC-48D5-A4EE-975A3CB4F7C6},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1287854.2499948,190760.015587062,1118,Hutchinson PG,5801 S Pilgrim,South,1,Y,Grass,No,439.0,,,3- Sched,,{78BD83EE-7523-4EFC-9677-FCFBEB81EFA9},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1260881.87513389,192752.203203723,1119,Roxhill Park & PF,9244 29th Ave SW,South,1,Y,Grass,No,464.0,,,4 sched,,{97FD6B83-8AFB-416F-8D78-64958E2A4AD1},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1278269.25013597,218591.109202981,1120,Sam Smith Park,1400 23rd Ave S,South,1,N,Grass,No,4242.0,,,1- Sched,,{739F5028-06A4-4FD4-B298-C1E642352BB5},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1277285.62513472,229979.468644053,1121,Miller PF,330 20th Ave E,Central,1,Y,Synthetic,Yes,373.0,,,3 - Sched,,{A530A556-6E2E-46AC-8925-0BECCE1E8FCD},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1274383.12503423,245836.874921307,1122,University PG,NE 50th St & 9th Ave,North,1,Y,Grass,No,435.0,,,2- Sched,,{66D6FB64-3A81-47E7-A76F-98E97394D32F},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1269628.6250288,243866.265673563,1123,Wallingford PF,4233 N 43rd St,North,1,N,Grass,No,449.0,,,1,,{DC3E8F43-873A-4F30-9C2D-9DE224F77E38},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1272200.87480555,196098.484568894,1124,South Park PG,8319 8th Ave S,South,1,Y,Grass,No,467.0,,,3- Sched,,{F6CED4C5-23A1-4252-9B6E-22EF08D4453A},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1289814.00887056,250753.141991645,1125,Magnuson Park,7400 Sand Point Way NE,NE,2,N,"Synthetic, Grass",Yes,,,,,,{0C1407DD-A124-44B3-8169-DAE8C46DA8FA},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1257285.06605455,214719.536893636,1126,Hiawatha PF,2700 California Ave SW,South,1,Y,Synthetic,Yes,456.0,,,2- Sched,,{E251B2C5-7B5A-41BB-8B50-E47B06D51B9A},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1283786.74992771,251714.078061894,1127,View Ridge PF,4400 NE 70th St,North,1,Y,Grass,No,444.0,,,3- Sched,,{262305CC-222F-48C8-97F6-4C7C7022FA6E},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1281152.87494613,226134.156124726,1128,Madrona PG,3315 E Spring St,Central,1,N,Grass,No,371.0,,,1- Sched,,{C7D47C02-1B3D-4A7C-B291-4E856B701546},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1259367.79187597,240249.427762896,1129,Interbay PF,3027 17th Ave W,Central,2,Y,Grass,Yes,3887.0,,,3- Sched,,{D9041985-A744-450D-AE00-827E1BF8AF21},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1272327.37520872,251425.906394139,1130,Green Lake Park,7201 E Green Lake Way,North,1,Y,Grass,No,307.0,,,,,{0C2189B4-DC8A-489A-8875-DE1DE97A8C96},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1280533.3748728,251778.265597552,1131,Eckstein MS,3003 NE 75th St,SSD,3,N,Synthetic,No,,,,1- Sched,,{1AC01B02-8CCF-4E9E-89F9-3BFB0A507DDB},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1257402.25020339,238523.625112146,1132,Bay View PG,2614 24th Ave W,Central,1,Y,Grass,No,303.0,,,2- Sched,,{1B1E3525-F832-46F0-9317-37E75D8D3AE1},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1257862.49993905,257702.90630731,1133,North Beach ES,9018 24th Ave NW,SSD,1,Y,Grass,No,,,,2- Sched,,{147AF75E-E02F-4924-9E4E-8195679E4B4A},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1278066.87488456,217968.343716219,1134,Colman PG,1470 23rd Ave S,Central,1,Y,Grass,No,406.0,,,,,{E1D1EA15-883E-48CF-B379-08BBEA68E291},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1258659.37498572,253240.624877557,1135,Loyal Heights PF,2023 NW 77th St,North,1,Y,Synthetic,Yes,289.0,,,3- Sched,,{A99CFF06-5DB1-4E2F-937E-E2CAD004D98B},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1284589.62496239,244352.515685305,1136,Laurelhurst PF,NE 45th St & 48th Ave NE,North,1,Y,Grass,No,340.0,,,3- Sched,,{2B581CD5-BD19-448B-9A74-A89F262D9B61},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1284304.37487672,251680.312709481,1137,View Ridge ES,7047 50th Ave NE,SSD,1,Y,Grass,No,,,,2- Sched,,{B3926895-065B-4799-9F56-3B4E356D51B2},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1266106.65635097,199762.777765229,1138,Riverview PF,7226 12 Ave SW,South,1,?,Grass,No,463.0,,,,,{E58ABEAF-3453-4E54-84CF-034A11001787},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1272997.96409065,266657.763725638,1139,Northacres Park,12530 3rd Ave NE,North,1,Y,Grass,No,361.0,,,3- Sched,,{42DA7356-B1E7-47F4-9A5F-3EA4F6DEF81D},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1274176.37511964,231838.29694739,1140,Lowell ES,1058 E Mercer St,SSD,1,Y,Grass,No,,,,,,{105978B5-9694-4B8A-A98B-FE347B50700B},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1259808.37498431,257505.203290641,1141,Soundview PF,1590  NW 90th St,North,2,Y,Grass,No,251.0,,,6- Sched,,{5DBE9C0C-940D-4668-9038-564E72961A28},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1290480.95241855,252056.351983637,1142,Magnuson Park,7400 Sand Point Way NE,NE,4,N,Grass,No,,,,4,,{1B6A0F30-5BE1-4171-8607-B1D42A99B170},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
