OBJECTID,OHIOCODE,ALT_OHIOCODE,NAME,OLD_NAME,Q100,SHAPE_Length,SHAPE_Area
3630,B143119,43119B1,Southeast Harney Lake,,A143119,0.4999786030688,0.0156236625213544
3631,B843118,43118B8,Coyote Buttes,,A143118,0.500027014070933,0.0156266881486315
3632,B643119,43119B6,Goose Egg Butte,,A143119,0.500005674027659,0.0156253546212616
3633,B743119,43119B7,Little Juniper Mountain,,A143119,0.500003811029485,0.0156252381840205
3634,B243120,43120B2,Horse Mountain,,A143120,0.500002645040543,0.0156251653071686
3635,B343120,43120B3,Buffalo Well,,A143120,0.500003456046418,0.0156252159934264
3636,B443120,43120B4,Vaughn Well,,A143120,0.500003320052116,0.0156252074933377
3637,B543120,43120B5,Fandango Canyon,,A143120,0.500003223063901,0.0156252014302349
3638,B643120,43120B6,Christmas Valley,,A143120,0.500002966088485,0.0156251853676277
3639,B743120,43120B7,Thorn Lake,,A143120,0.500004864130698,0.0156253039934266
3640,B843120,43120B8,Tuff Butte,,A143120,0.500007903627594,0.0156241927288808
3641,B143121,43121B1,Silver Lake,,A143121,0.500009378202406,0.0156255861236649
3642,B243121,43121B2,Oatman Flat,,A143121,0.500009458124103,0.0156255911191605
3643,B343121,43121B3,Antelope Mountain,,A143121,0.500006782013855,0.0156254238623232
3644,B143124,43124B1,McKinley,,A143124,0.500033595990279,0.0156270997139742
3645,B843123,43123B8,Dora,,A143123,0.500033583759845,0.0156270978811035
3646,B443121,43121B4,Location Butte,,A143121,0.500005280005237,0.0156253299825825
3647,B143122,43122B1,Mount Thielsen,,A143122,0.500036947172579,0.0156273089666454
3648,B843121,43121B8,Miller Lake,,A143121,0.499979091064437,0.0156236928410502
3649,B543121,43121B5,Tea Table Mountain,,A143121,0.499995241028404,0.0156247025601191
3650,B643121,43121B6,Sugarpine Mountain NW,,A143121,0.499996714031919,0.0156247946246454
3651,B743121,43121B7,Chemult,,A143121,0.500000240009505,0.0156250149975056
3652,B243122,43122B2,Diamond Lake,,A143122,0.5000071250616,0.015625445312357
3653,B343122,43122B3,Garwood Butte,,A143122,0.500006361044823,0.0156253975613057
3654,B443122,43122B4,Fish Creek Desert,,A143122,0.500006263038765,0.0156253914357996
3655,B543122,43122B5,Twin Lakes Mountain,,A143122,0.500004966030261,0.0156253103733243
3656,B643122,43122B6,Quartz Mountain,,A143122,0.500005155032693,0.0156253221862328
3657,B743122,43122B7,Taft Mountain,,A143122,0.500006754031324,0.015625422123154
3658,B843122,43122B8,Red Butte,,A143122,0.499983532883292,0.0156239685855229
3659,B143123,43123B1,Lane Mountain,,A143123,0.500029721875905,0.0156268574840859
3660,B243123,43123B2,Dixonville,,A143123,0.500006360036099,0.0156253974993429
3661,B343123,43123B3,Roseburg East,,A143123,0.500011223070208,0.0156257014362861
3662,B443123,43123B4,Roseburg West,,A143123,0.500010902144136,0.0156256813740958
3663,B543123,43123B5,Reston,,A143123,0.500007285150039,0.0156254553124109
3664,B643123,43123B6,Mount Gurney,,A143123,0.500007378085943,0.0156254611241869
3665,B743123,43123B7,Sitkum,,A143123,0.500010932060183,0.0156256832500718
3666,B243124,43124B2,Coquille,,A143124,0.500012377055886,0.0156257735674934
3667,B343124,43124B3,Riverton,,A143124,0.500010732070559,0.0156256707546069
3668,B443124,43124B4,Bullards,,A143124,0.50001073709448,0.0156256710673585
3669,B843124,43124B8,,,A143124,0.499969639360643,0.0156231030594323
3670,B743124,43124B7,,,A143124,0.50000776607177,0.0156254853749586
3671,B643124,43124B6,,,A143124,0.50000855408538,0.0156255346258134
3672,B543124,43124B5,,,A143124,0.500008995098554,0.0156255621891202
3673,A143116,43116A1,Dorsey Butte,,A143116,0.499991183347838,0.0156244153625327
3674,A243116,43116A2,Jackass Butte,,A143116,0.500007984078899,0.0156254989486592
3675,A343116,43116A3,Castle Butte,,A143116,0.500010818071565,0.015625676145217
3676,A443116,43116A4,Oreana,,A143116,0.500011057053568,0.0156256911029308
3677,A543116,43116A5,Sinker Canyon,,A143116,0.500010416056643,0.0156256510026938
3678,A643116,43116A6,Silver City,,A143116,0.500009919580129,0.0156254890735321
3679,A843120,43120A8,Duncan Reservoir,,A143120,0.500006664629586,0.0156264118033593
3680,A343118,43118A3,Lambing Canyon,,A143118,0.500006455659296,0.0156245248585265
3681,A243118,43118A2,Folly Farm,,A143118,0.50001295415917,0.015625809644472
3682,A743116,43116A7,De Lamar,,A143116,0.500009017050189,0.0156255657408842
3683,A443118,43118A4,Anderson Mountain,,A143118,0.500004978073708,0.015625311436992
3684,A543118,43118A5,Happy Valley,,A143118,0.500002289013072,0.0156241625169493
3685,A143118,43118A1,Turnbull Peak,,A143118,0.500013892194361,0.0156258682401458
3686,A843116,43116A8,Swisher Mountain,,A143116,0.500008983059834,0.0156255627020615
3687,A643118,43118A6,Diamond,,A143118,0.500001406038161,0.0156250878712418
3688,A843117,43117A8,Saddle Butte,,A143117,0.500011097181004,0.0156256935048823
3689,A743117,43117A7,Wrangle Butte,,A143117,0.500010949183131,0.0156256843156284
3690,A643117,43117A6,Lambert Rocks,,A143117,0.500010519204588,0.0156256574389057
3691,A543117,43117A5,Bogus Bench,,A143117,0.500010876243273,0.0156256797519466
3692,A743118,43118A7,Diamond Swamp,,A143118,0.500001120023262,0.0156250699942226
3693,A443117,43117A4,Jordan Craters South,,A143117,0.500010908227648,0.0156256817530574
3694,A143117,43117A1,Hooker Creek,,A143117,0.500012148076698,0.0156257598258583
3695,A343117,43117A3,Cow Lakes,,A143117,0.500009986146336,0.0156246378606999
3696,A243117,43117A2,Downey Canyon,,A143117,0.500012898108183,0.0156258060480934
3697,A843118,43118A8,Jackass Butte,,A143118,0.500000981001648,0.0156240761869794
3698,A343119,43119A3,Meadow Lake,,A143119,0.500007430017582,0.0156254643528452
3699,A243119,43119A2,Weed Lake Butte,,A143119,0.500005869023535,0.0156253653726031
3700,A143119,43119A1,Twin Buttes,,A143119,0.500004843664313,0.0156243996845594
3701,A443119,43119A4,Flybee Lake,,A143119,0.50000776702696,0.0156254832775681
3702,A543119,43119A5,Rawhide Canyon,,A143119,0.500006000044322,0.0156253782149837
3703,A643119,43119A6,Dry Valley Rim,,A143119,0.500005674025378,0.0156253545972221
3704,A743119,43119A7,Cox Canyon,,A143119,0.500003459940128,0.0156242463707982
3705,A843119,43119A8,Venator Canyon,,A143119,0.499991526377821,0.0156244693159303
3706,A243120,43120A2,Poverty Basin North,,A143120,0.500002236972072,0.0156241655211192
3707,A143120,43120A1,Alkali Buttes,,A143120,0.499997292239575,0.0156248307196189
3708,A343120,43120A3,Fire Lake,,A143120,0.500022762736332,0.0156264226529321
3709,A443120,43120A4,Sheep Rock,,A143120,0.50000434357412,0.0156252676086062
3710,A543120,43120A5,Saint Patrick Mountain,,A143120,0.499983824503815,0.0156239888778294
3711,A643120,43120A6,Sheeplick Draw,,A143120,0.500001920087056,0.0156251199966913
3712,A743120,43120A7,Egli Rim,,A143120,0.500003628138165,0.0156252267889354
3713,A143121,43121A1,Hager Mountain,,A143121,0.50001250221011,0.0156257798493226
3714,A243121,43121A2,Bridge Creek Draw,,A143121,0.50001252012456,0.0156257824909273
3715,A343121,43121A3,Rodman Rock,,A143121,0.500008914016616,0.0156255585025245
3716,A443121,43121A4,Bear Butte,,A143121,0.5000074630042,0.015625466416788
3717,A543121,43121A5,Sugarpine Mountain,,A143121,0.499993530035824,0.0156236094382908
3718,A643121,43121A6,Round Butte,,A143121,0.499995003985707,0.0156237147119123
3719,A743121,43121A7,Mazama,,A143121,0.50002236809022,0.0156263965116641
3720,A843121,43121A8,Welch Butte,,A143121,0.500011375647498,0.0156257118863919
3721,A143122,43122A1,Pumice Desert East,,A143122,0.500054461702815,0.0156284038221342
3722,A243122,43122A2,Pumice Desert West,,A143122,0.500005458057377,0.0156253411253267
3723,A343122,43122A3,Hamaker Butte,,A143122,0.500006757540602,0.0156245568100534
3724,A443122,43122A4,Fish Mountain,,A143122,0.500006678037737,0.0156254173730196
3725,A543122,43122A5,Buckeye Lake,,A143122,0.500004788031772,0.0156252992485744
3726,A643122,43122A6,Acker Rock,,A143122,0.500004971034157,0.0156253106864599
3727,A743122,43122A7,Dumont Creek,,A143122,0.500006672996092,0.0156244353593109
3728,A843122,43122A8,Deadman Mountain,,A143122,0.500006890016167,0.0156244482381177
3729,A143123,43123A1,White Rock,,A143123,0.500005029047228,0.0156253105512817
3730,A243123,43123A2,Dodson Butte,,A143123,0.499997188189798,0.0156248222390945
3731,A343123,43123A3,Myrtle Creek,,A143123,0.500000594362687,0.0156250371157375
3732,A443123,43123A4,Winston,,A143123,0.50000818214215,0.0156255113744746
3733,A543123,43123A5,Tenmile,,A143123,0.500009446150591,0.0156255903740088
3734,A643123,43123A6,Camas Valley,,A143123,0.500009531086934,0.0156255959823116
3735,A743123,43123A7,Kenyon Mountain,,A143123,0.500011294800898,0.0156247828214608
3736,A843123,43123A8,Remote,,A143123,0.500012455859964,0.0156248408919117
