ObjectId,Source_Name,Road,From_,To_,Classification,District,Lane_Miles
313,FY 16-17,Krystle Ridge Pl,Dead end,Dead End,Local,12,0.164848388
314,FY 16-17,Bluegill Blvd,McNeely Lake Dr,Park Lake Dr,Local,23,0.224710238
315,FY 17-18,Algonquin Pkwy,S 40th St,Southwestern Pkwy,Minor Arterial,1,4.107202969
316,FY 16-17,Langland Pl,Wickfield Dr,Dead End,Local,20,0.120391063
317,FY 16-17,Bluffington Ct,Bluffington Rd,Dead End,Local,24,0.054815931
318,FY 17-18,Annella Way,Judge Blvd,Famous Way,Local,24,0.861040629
319,FY 16-17,Laughlin Ave,W Kenwood Dr,Dead End,Local,21,0.562551905
320,FY 16-17,Bluffington Rd,Wood Rock Rd,Dead End,Local,24,0.518314898
321,FY 17-18,Apple Blossom Pl,Apple Valley Dr,Dead End,Local,23,0.112913164
322,FY 16-17,Leisure Ln,McNeely Lake Dr,Park Lake Dr,Local,23,0.229405959
323,FY 16-17,Bon Air Ave,Brockton,Goldsmith Ln,Local,26,0.171405609
324,FY 16-17,Booker Rd,Old Harrods Creek Rd,Dead End,Local,19,0.349323914
325,FY 16-17,Brandon Rd,Ridgewood Rd,Dead End,Local,9,0.446302823
326,FY 16-17,Callie Dr,Tin Dor Way,Dead End (north),Local,13,0.245955123
327,FY 16-17,Carey Ave,Bardstown Rd,Alpha Ave,Local,"2, 10",1.084442514
328,FY 16-17,Chamberlain Ln,LaGrange Rd,Westport Rd,Primary Collector,17,10.75643802
329,FY 16-17,Charmon Ave,Minor Ln,End,Local,13,0.20454365
330,FY 16-17,Chatfield Ct,Wooded Lake Dr,Dead End,Local,20,0.039161108
331,FY 16-17,Cherokee Pkwy,Bardstown Rd,Willow Ave,Minor Arterial,8,0.866168228
332,FY 16-17,Cherry Grove Ct,Wooded Lake Dr,Dead End,Local,20,0.173012902
333,FY 16-17,Chestnut Tree Ln,Stone Bluff Rd,Ridge Creek Rd,Local,24,0.642427898
334,FY 16-17,Chiswell Dr,Alameter Dr,Baymeadow Dr,Local,12,0.11809112
335,FY 16-17,Church Ln,Bellewood Rd,Old Harrods Creek Rd,Local,19,0.219078011
336,FY 16-17,Clearridge Pl,Cinderella Way,Dead End,Local,24,0.138079456
