Day,Month,Year,ST_14316495 (mm),ST_06037000 (mm),ST_14338000 (mm)
12,3,1982,8.640199947,5.46079998,5.085999988
13,3,1982,1.473400033,0.361400001,0.007095238
14,3,1982,2.855999947,1.096399999,2.86342857
15,3,1982,8.235000229,2.006400013,7.090190456
16,3,1982,1.155200005,4.971150005,3.99261906
17,3,1982,2.282400012,4.584150052,2.61733335
18,3,1982,0.649600005,3.063950014,1.663761905
19,3,1982,5.451399994,9.159800005,6.415285746
20,3,1982,2.363399982,9.28440001,3.750190508
21,3,1982,1.071999985,0.186749999,1.301809524
22,3,1982,0.0,0.526349998,0.0
23,3,1982,0.0,0.903449997,0.0
24,3,1982,0.0,4.141050017,0.0
25,3,1982,0.0,1.88575002,0.0
26,3,1982,1.922600007,1.34104999,1.284952381
27,3,1982,5.768599987,1.066849996,2.523857139
28,3,1982,15.4592001,4.128700006,16.16490464
29,3,1982,4.82699995,15.20579982,2.427714263
30,3,1982,6.738599968,6.39610002,7.394238109
31,3,1982,16.32500038,5.675150013,11.66366663
1,4,1982,8.438799858,8.989399958,5.86871431
2,4,1982,8.278399944,10.20220003,7.930952367
3,4,1982,20.82540016,6.954800105,13.8877143
4,4,1982,15.42560043,7.638499928,9.997285797
5,4,1982,11.19279976,7.531400037,5.530142864
6,4,1982,5.775800037,1.051650006,8.771618979
7,4,1982,11.31499996,4.133300042,7.763809545
8,4,1982,5.09380002,2.371800002,0.880000009
9,4,1982,0.0,0.4679,0.160095239
10,4,1982,0.0,2.977550006,0.470095233
11,4,1982,18.80159988,2.678550011,16.70676181
12,4,1982,9.627799892,14.92075,2.386095237
13,4,1982,6.784399986,4.600050068,5.423238107
14,4,1982,24.3590004,2.822299981,10.18728572
15,4,1982,20.14900017,2.443449986,10.63423808
16,4,1982,0.793599984,7.886750007,0.020428571
17,4,1982,1.587400007,0.0062,0.0
18,4,1982,1.245599987,0.473800003,0.0
19,4,1982,0.0,4.031550014,0.0
20,4,1982,0.0,0.0,0.0
21,4,1982,0.0,0.0,0.0
22,4,1982,0.0,0.24155,0.0
23,4,1982,0.0,0.0,0.0
24,4,1982,0.0,0.0,0.0
25,4,1982,0.0,0.0,0.0
26,4,1982,0.0,0.0,0.0
27,4,1982,0.0,2.985849977,0.0
28,4,1982,0.120600001,2.426249993,0.181809523
29,4,1982,4.324600029,5.963150001,1.334238109
30,4,1982,0.0,1.513599998,0.0
1,5,1982,0.0012,0.0,0.0
2,5,1982,0.0,0.0,0.0
3,5,1982,0.701200008,1.840249985,0.0
4,5,1982,0.0176,0.0,0.0
