OBJECTID,AV_LEGEND,CLASS,AREANAME,SHAPE_Length,SHAPE_Area
71,CR-R,Conditionally Restricted-Relay, ,911.026275354163,37794.8109187935
72,P,Prohibited, ,993.445269956346,63215.7833905486
73,P,Prohibited, ,917.767113420953,53350.0533946923
74,P,Prohibited, ,1475.54838246685,41319.6378686411
75,A,Approved, ,19870.7882846923,10630343.4902649
76,P,Prohibited, ,220.818671221424,3505.25840159229
77,P,Prohibited, ,316.93651404314,5050.00069531244
78,P,Prohibited, ,404.656320415046,8790.12883029312
79,CR-R,Conditionally Restricted-Relay, ,834.343475872208,39166.52214074
80,CA,Conditionally Approved, ,5197.79884081824,621757.445387561
81,CR-R,Conditionally Restricted-Relay, ,2366.94859005182,194641.227038575
82,CR-R,Conditionally Restricted-Relay, ,12882.1861233783,3880809.2413975
83,P,Prohibited, ,3405.71177411898,272719.690014113
84,P,Prohibited, ,11471.585828006,541811.751623292
85,CR-R,Conditionally Restricted-Relay, ,2043.70835323562,195463.779476833
86,A,Approved, ,170.253975689165,1829.74114334381
87,P,Prohibited, ,1299.01210649168,67508.5695209405
88,P,Prohibited, ,1217.92078742964,70926.2038385546
89,CA,Conditionally Approved,Area 'F',5428.01034350337,1522505.84766203
90,CR-R,Conditionally Restricted-Relay, ,2240.37205619063,228514.980774272
91,P,Prohibited, ,1552.60973358284,58208.715768872
92,P,Prohibited, ,1508.03947781779,88449.4673487491
93,P,Prohibited, ,2934.49001556172,352264.675868623
94,R-R,Restricted-Relay, ,831.528005012272,45741.9590705145
95,P,Prohibited, ,350.812262499126,5076.90507322664
96,CR-R,Conditionally Restricted-Relay, ,1892.62302814244,285021.060126843
97,CR-R,Conditionally Restricted-Relay, ,1053.69620743517,31051.5107396474
98,R-R,Restricted-Relay, ,11313.4491416541,1226808.04739971
99,P,Prohibited, ,401.463384612833,10281.1898262452
100,CR-R,Conditionally Restricted-Relay, ,376.075643092012,6562.59819591029
101,P,Prohibited, ,27259.0081733474,1323106.75491938
102,P,Prohibited, ,17336.8441318606,1145490.26043391
