OBJECTID,BOUNDARY,DATA_SRC,SHAPE_Length
451,County,NY,184618.413592666
452,County,MA,234152.097386833
453,State,CT,118059.007328029
454,State,MA,2592.9185360328
455,County,NY,151555.909829754
456,State,CT,12066.0403683164
457,State,CT,171811.972475314
458,State,CT,101515.004638362
459,State,CT,9140.32413637506
460,State,CT,87616.4637481872
461,State,RI,44058.9027889921
462,State,RI,81880.9512397899
463,County,NY,248103.177464876
464,County,CT,216283.856769611
465,County,CT,198015.190914175
466,County,CT,185128.897876579
467,County,NY,116535.44005249
468,State,CT,103332.302629149
469,State,CT,139763.907303983
470,State,RI,93142.4448792212
471,Shoreline,MA,89338.4345685644
472,Shoreline,MA,294.876109296078
473,Shoreline,MA,2671.61281881693
474,Shoreline,MA,451.213515723265
475,Shoreline,MA,5182.49929167788
476,Shoreline,MA,572.628630347077
477,Shoreline,MA,3099.07832807895
478,Shoreline,MA,89108.3533039428
479,State,RI,1917.73419615475
480,State,RI,11181.7189816511
481,County,MA,33259.688716218
482,Shoreline,MA,87800.7664356518
483,State,RI,67.8383054326798
484,Shoreline,MA,8564.26282565515
485,County,RI,10774.3901736935
486,County,RI,125398.638824524
487,Shoreline,MA,1604.22764852849
488,State,RI,24452.9640850277
489,Shoreline,MA,72691.8968033668
490,Shoreline,MA,5231.9097009052
491,Shoreline,MA,1762.11053662104
492,Shoreline,MA,1249.61619891096
493,Shoreline,MA,1157.80124106404
494,County,CT,126946.903584931
495,State,CT,30856.253321379
496,County,CT,134999.511361431
497,County,CT,63667.4895940469
498,County,CT,114026.360549475
499,County,CT,123138.095058431
500,County,RI,112064.407312186
501,State,CT,51132.7588566224
502,State,RI,79826.1531546769
503,County,CT,146404.421061461
504,County,NY,162120.655879847
505,State,CT,15702.0698280892
506,County,CT,35169.2884771038
507,County,NY,60880.8988153013
508,County,CT,18638.8231584767
509,County,NY,175985.688089106
510,Shoreline,MA,27577.1839019895
511,Shoreline,MA,734.356275270251
512,State,CT,94266.2370412759
513,County,CT,118270.595263121
514,Shoreline,MA,3623.08333697036
515,County,CT,178033.855035607
516,State,CT,58443.7529194957
517,County,NY,133685.21192212
518,Shoreline,MA,588.69973988118
519,Shoreline,MA,1930.60814852575
520,Shoreline,MA,535.8933906023
521,Shoreline,MA,741.856583820315
522,Shoreline,MA,850.532071059168
523,Shoreline,MA,1459.90680318972
524,Shoreline,MA,813.660001600067
525,Shoreline,MA,6440.28889803487
526,County,NY,47483.8346362715
527,Shoreline,MA,309.895415366634
528,Shoreline,MA,9647.02570884048
529,County,CT,111442.182739068
530,Shoreline,MA,7116.83746362652
531,Shoreline,MA,487.806396043873
532,Shoreline,RI,1189.77510473448
533,State,NJ,106403.519613762
534,County,NY,121724.74595476
535,Shoreline,MA,904.140782992042
536,Shoreline,MA,5549.47351141907
537,County,NY,1188.2506291547
538,Shoreline,MA,661.836020584577
539,Shoreline,MA,2161.22205116717
540,County,CT,42655.6032878522
541,State,CT,185522.320709679
542,County,NY,96088.2839494911
543,County,NY,132726.433952105
544,County,CT,42276.0549536257
545,County,CT,21178.6805663955
546,County,CT,997.8084421563
547,County,CT,2250.84601798655
548,State,NJ,42261.0167610512
549,State,NJ,6690.63954734965
550,State,NJ,99063.7297220607
551,County,NJ,56849.4503740696
552,County,NJ,85848.2503202011
553,County,NJ,11510.6258072992
