X,Y,OBJECTID,COMPKEY,UNITID,UNITDESC,CONDITION,CONDITION_ASSESSMENT_DATE,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITTYPE,CURRENT_STATUS_DATE,CATEGORY,INSTALL_DATE,INSTALLER,ELECTR_WIRE_LOC,CONTROL_PROTOCOL_TYPE,METERED,LAST_PM_DATE,SOLAR_INSTALL_DATE,HANSEN7ID,DISPHOUSINGCOND,MOUNT_TYPE,CROSSWALK_TUB,FLASHING,ATTACHMENT_CONDITION,POLE_CONDITION,SUPPORT_INSTALL_DATE,SPAN_CONDITION,CONTROL_CONDITION,CONTROL_TYPE,MODEM_TYPE,MODEL_TYPE,SIDE,SCHOOL_SPEED_CAMERA,OVERRIDECOMMENT,SHAPE_LNG,SHAPE_LAT
1254649.32821581,238906.650920898,3481,639269,BCN-395,32ND AVE W 0260 BLOCK W SIDE ( 357) 135 FT S/O W ARMOUR S ST (BCN-SCHL)                                                                                                                                                                                        , ,, , ,DISTRICT7, ,N,16,5083,368.0,23.0,BCN,,BCN-SCHL,2015/07/29 00:00:00+00, , , ,N,,,, , ,N,N, , ,, , , , ,GLANCE,W,N,,-122.398380889505,47.6441985981915
1284012.56082781,202851.91331923,3482,863650,BCN-580,RAINIER AVE S 0595 BLOCK E SIDE ( 717) 350 FT N/O S GRAHAM ST (BCN-SCHL)                                                                                                                                                                                       , ,, ,INSVC,DISTRICT2, ,N,16,12397,740.0,27.0,BCN,,BCN-SCHL,, , , ,N,,,, , ,N,N, , ,, , , , , ,E,N,,-122.276541377005,47.5469470036656
1263620.52582456,199897.780447975,3483,850678,BCN-572,SW ORCHARD ST 0200 BLOCK C SIDE (   0) 0 FT W/O DUMAR WAY SW (BCN-XWK)                                                                                                                                                                                         , ,, ,INSVC,DISTRICT1, ,N,16,22644,0.0,,BCN,2023/08/03 00:00:00+00,BCN-XWK,2022/07/06 00:00:00+00, , , ,N,,,, , ,N,N, , ,, , , , ,BCN-RRFB,C,N,,-122.358857891103,47.5377715375389
1265090.63180822,230191.858311146,3484,703158,BCN-489,1ST AVE N 0020 BLOCK E SIDE ( 395) 0 FT S/O THOMAS ST (BCN-XWK)                                                                                                                                                                                                , ,, , ,DISTRICT7, ,N,16,1026,408.0,-25.0,BCN,,BCN-XWK,2018/05/15 00:00:00+00, , , ,N,,,, , ,N,N, , ,, , , , ,BCN-RRFB,E,N,,-122.35533285955,47.6208859920957
1272782.60494131,236915.028919891,3485,698095,BCN-480,E LYNN ST 0060 BLOCK C SIDE (   0) 0 FT E/O FRANKLIN AVE E (BCN-XWK)                                                                                                                                                                                           , ,, , ,DISTRICT4, ,N,16,14310,0.0,,BCN,,BCN-XWK,2018/01/02 00:00:00+00, , , ,N,,,, , ,N,N, , ,, , , , ,BCN-RRFB,C,N,,-122.32467699277,47.6397267809355
1280444.13981506,214348.347347304,3486,567300,BCN-48,S MCCLELLAN ST 0320 BLOCK S SIDE (   0) 0 FT E/O 32ND AVE S (BCN-SCHL)                                                                                                                                                                                         , ,, ,INSVC,DISTRICT2, ,N,16,20818,13.0,-26.0,BCN,,BCN-SCHL,2014/07/10 00:00:00+00,SDOT, , ,N,,,SB61X1, ,TM-SHLDR,N,Y, , ,, , ,WEB, ,BCN-TC3,S,N,,-122.291869956922,47.5782743546068
1286838.38424438,193958.028876066,3487,754371,BCN-553,SEWARD PARK AVE S 0900 BLOCK E SIDE ( 200) 200 FT S/O S HENDERSON ST (BCN-SCHL)                                                                                                                                                                                , ,, , ,DISTRICT2, ,N,16,12815,213.0,21.0,BCN,,BCN-SCHL,2019/09/03 00:00:00+00, , , ,N,,,, , ,N,N, , ,, , , , ,GLANCE,E,N,,-122.264431599609,47.5227134097504
1277583.11371297,213502.913014561,3488,567469,BCN-62,23RD AVE S 0310 BLOCK W SIDE (  15) 15 FT S/O S WINTHROP ST (BCN-SCHL)                                                                                                                                                                                         ,GOOD,2014/07/21 00:00:00+00,SDOT,INSVC,DISTRICT2, ,N,16,3465,28.0,-16.5,BCN,2014/07/21 00:00:00+00,BCN-SCHL,2014/07/21 00:00:00+00,SDOT, , ,N,,2014/07/21 00:00:00+00,, ,TM-SHLDR,N,Y, , ,2009/09/08 00:00:00+00, , ,WEB, ,BCN-TC3,W,N,,-122.303394024567,47.5758077897087
1275455.27315238,243648.991829887,3489,568674,BCN-134,BROOKLYN AVE NE 0410 BLOCK C SIDE ( 540) 0 FT S/O NE 42ND ST (BCN-REG)                                                                                                                                                                                         , ,, ,INSVC,DISTRICT4, ,N,16,9479,540.0,,BCN,2023/08/08 00:00:00+00,BCN-REG,, , , ,N,,,, ,TM-OVRHEAD,N,N, , ,, , , , , ,C,N,,-122.314363387208,47.658325900573
1278881.40901664,225250.489913061,3490,703917,BCN-491,E CHERRY ST 0250 BLOCK N SIDE ( 238) 30 FT W/O 26TH AVE (BCN-SCHL)                                                                                                                                                                                             , ,, , ,DISTRICT3, ,N,16,13894,251.0,27.0,BCN,,BCN-SCHL,2018/05/19 00:00:00+00,SDOT, , ,N,,2018/05/19 00:00:00+00,, , ,N,N, , ,, , , , ,GLANCE,N,N,,-122.299041520627,47.608075688576
