OBJECTID,NLCS_ID,NLCS_NAME,CASEFILE_NO,ADMIN_ST,WC_TYPE,GlobalID,Shape_Length,Shape_Area
86,,Tank Canyon,UNK,AZ,Other Lands with Wilderness Characteristics,{DE47FDE1-FCEF-4EBD-BE7A-B1670B22988B},31571.909317617,37863274.8780085
87,,Boundary Plain,UNK,AZ,Other Lands with Wilderness Characteristics,{785DB723-F7E5-45AE-BC5D-0D4B5E1718FB},19886.2121540942,15849868.5050745
88,,Olaf Knolls,UNK,AZ,Other Lands with Wilderness Characteristics,{CA81C280-B607-42E3-9022-C787695CBD4D},33398.1275896777,33542196.9118208
89,,Castle Peak,UNK,AZ,Other Lands with Wilderness Characteristics,{203F7B1A-35E3-4F58-9528-6D2257B31C83},6977.16118965631,449209.275218092
90,,Javelina Mountains South,UNK,AZ,Wilderness Characteristic Protection Area,{6FDDAFA2-8746-437A-BAD9-7CA7D0AC5689},54441.9466269102,52985611.2703998
91,,Sand Tanks East,UNK,AZ,Other Lands with Wilderness Characteristics,{B6E6871E-2DB1-4E19-AD7E-CB64965295B1},113009.362116494,11733671.1510372
92,,Big Horn Mountains,UNK,AZ,Other Lands with Wilderness Characteristics,{F75BFCD3-6052-4BB0-9EA3-2DE808B2537E},5774.63522285104,59901.5723377067
93,,Fox Wash,UNK,AZ,Wilderness Characteristic Protection Area,{9BDF2678-0F1E-4FE2-874A-1345EE4DB31D},44824.3880108186,75247575.7203032
94,,Billy Goat Peak West,UNK,AZ,Other Lands with Wilderness Characteristics,{F02FD1DA-86FD-4400-ACCC-75BE937037A1},32865.2411242113,22604185.5095013
95,,NPS Addition 2,UNK,AZ,Wilderness Characteristic Protection Area,{6943EE58-E247-4586-AA1C-200AF266458C},9728.13328515529,4515909.08018899
96,,Greenwood Peak,UNK,AZ,Other Lands with Wilderness Characteristics,{96E731E8-3EDD-45FA-AA18-64B85265A17F},117508.320932862,79669084.2789245
97,,Harcuvars (NE Unit),UNK,AZ,Other Lands with Wilderness Characteristics,{8FFA5C34-DA82-4629-ADED-86257D40627F},29419.844381124,19339927.8866141
98,,Kestrel,UNK,AZ,Other Lands with Wilderness Characteristics,{D5130AEC-7C7E-4BD1-8DB8-51DA1D72D75F},35129.7763390548,23894195.1512134
99,,Glen Canyon 1,UNK,AZ,Other Lands with Wilderness Characteristics,{737349DE-FD47-4D3A-8DA7-7E5914080DA0},15549.1553435694,7976896.22094601
100,,Hidden Canyon,UNK,AZ,Other Lands with Wilderness Characteristics,{F1FA31AB-4A7E-46FD-B798-9800198BE583},53499.9712655134,39372176.2729564
101,,Corral Valley,UNK,AZ,Other Lands with Wilderness Characteristics,{B1C182E3-F551-4F8E-A8F8-5C0B29EFB5FD},22447.2145220483,20934521.7144483
102,,Lime Kiln Mountain,UNK,AZ,Other Lands with Wilderness Characteristics,{A5CB6343-E52E-4C25-B829-FC51D71D19E1},112778.624884765,61234859.935552
103,,Andrus Canyon,UNK,AZ,Wilderness Characteristic Protection Area,{D092ECE1-722F-4BAE-8823-BA79C8230F56},20990.5379929148,22470250.023
105,,Mustang Point,UNK,AZ,Wilderness Characteristic Protection Area,{9C1AD1E7-35B1-46D2-94D0-B7ABC96C74FE},86467.8343066584,79334668.6176222
106,,Snap Canyon 2,UNK,AZ,Other Lands with Wilderness Characteristics,{B6DAC2E3-A3D9-4594-8FF1-6F146937511F},14930.0908534965,1319834.32512787
107,,Tank Mountains,UNK,AZ,Other Lands with Wilderness Characteristics,{BD6C1249-63E3-410E-87CD-BAE3FE28B1CC},29387.2558211233,42154089.5676219
108,,Coati Wash/Walnut Wash,UNK,AZ,Other Lands with Wilderness Characteristics,{69A7F8DA-DACF-43E9-BE3F-A481083B0C2D},4960.04588467732,1100834.96446858
109,,Cornwall Canyon,UNK,AZ,Other Lands with Wilderness Characteristics,{198E9678-BD3B-4F8C-874B-CBD884EA83D6},40147.9914964237,25355579.081622
110,,Mociac Well,UNK,AZ,Wilderness Characteristic Protection Area,{74B410F0-1E7B-4F15-B8D5-F13D9CE2B951},18661.9275345984,12424198.6743224
112,,NPS Addition 1,UNK,AZ,Wilderness Characteristic Protection Area,{AE3F12C6-1BE6-43F9-BAEE-99CDB90689DC},4759.51490288397,1156454.0280245
113,,Pigeon Canyon 1,UNK,AZ,Wilderness Characteristic Protection Area,{5B01ED95-3DC1-451A-A1C4-A48DFFE404E0},63468.2127282715,74964504.7469385
114,,One Toe Ridge,UNK,AZ,Wilderness Characteristic Protection Area,{2FC799A0-D472-42C3-82E4-E4001798DA55},32365.6150761217,17021609.325262
115,,White Pocket,UNK,AZ,Wilderness Characteristic Protection Area,{B0434D97-31B2-4D87-835F-EDB939226108},26661.4135977717,25565588.8301477
116,,Yellow Medicine Butte,UNK,AZ,Wilderness Characteristic Protection Area,{096E791C-D7DA-40B4-B560-F58BABA120C3},36105.1876989217,73269175.6487736
117,,Dutch Flat North,UNK,AZ,Other Lands with Wilderness Characteristics,{5C7950F2-4370-481B-9AC3-D9A99705CBAB},52481.5467037704,74515573.6787911
118,,Hacuvars (N. Unit),UNK,AZ,Other Lands with Wilderness Characteristics,{2FCE0D66-E8B4-49CF-8636-A9F4CBA27648},14288.342830164,7791813.62434117
119,,Milltown,UNK,AZ,Other Lands with Wilderness Characteristics,{5DDDEF74-D87E-4088-A37E-D4D25FF5066B},21098.6573440889,23772316.1304724
120,,Paiute Addition 1,UNK,AZ,Wilderness Characteristic Protection Area,{F2AB5B23-7DE0-44DC-9A33-A09FB83378C2},14327.8215491573,11369370.3063814
121,,Snap Canyon 3,UNK,AZ,Wilderness Characteristic Protection Area,{8E0E13CB-413D-4442-930E-3A4473FD3FC6},21901.8057777241,17297807.708581
122,,Belmont East,UNK,AZ,Wilderness Characteristic Protection Area,{0235B1E9-A22D-49E3-99E8-DD407B7CC637},52349.2170984195,106029590.180675
124,,Devils Canyon,UNK,AZ,Other Lands with Wilderness Characteristics,{D63316F6-CB72-4FCD-AA3A-1CD12B3F5AC2},166651.355983897,207022135.621243
125,,Face Mountain,UNK,AZ,Other Lands with Wilderness Characteristics,{B3781B0E-9950-4248-B827-931CAEE70BC6},62528.7252313309,133438646.36438
126,,Parashant Canyon 1,UNK,AZ,Wilderness Characteristic Protection Area,{B40E6D2B-2E76-48B5-8AD2-EDB107220922},172812.100453808,63209074.1543871
127,,Paiute Addition 1,UNK,AZ,Wilderness Characteristic Protection Area,{C74C142F-54AF-49CD-8917-4CD7004E36BA},20204.7701748549,5414105.30024128
128,,Dark Forest,UNK,AZ,Other Lands with Wilderness Characteristics,{A094BDB1-EB30-4AD7-8569-C374B8B68C8A},29261.68212255,25262844.7321732
129,,Buckskin Mountains,UNK,AZ,Other Lands with Wilderness Characteristics,{73CFD2D0-0E07-4FF6-B933-A102369B2F5E},88153.9591123073,174970789.294501
131,,Ragged Top,UNK,AZ,Other Lands with Wilderness Characteristics,{F06D3713-299B-4F6D-9862-82E2FF59E601},24533.2592858077,26958787.3077023
132,,Five Mile Wash,UNK,AZ,Other Lands with Wilderness Characteristics,{566BF4C9-1836-4C59-80A6-39C9C71BDB33},25636.4469734185,16026831.8814456
134,,Paiute Addition 1,UNK,AZ,Other Lands with Wilderness Characteristics,{BE72A855-61BD-40ED-9B9E-BB83A3759F4F},2750.94334304385,57462.5000411139
135,,Harcuvars (S. Unit),UNK,AZ,Other Lands with Wilderness Characteristics,{20F8D99C-122D-4448-AE41-BD84B2CCC36C},10728.2839472617,7359624.90219991
136,,Mokaac Fault,UNK,AZ,Other Lands with Wilderness Characteristics,{818022C8-7EBC-4DFB-BC7F-AD5F8C3FCA41},45208.8061292347,48555443.9617233
137,,Kanab Creek,UNK,AZ,Other Lands with Wilderness Characteristics,{F1411E7B-AE9F-48B2-8C0A-97BD8CBAC6D7},75272.9918845113,48569382.0009507
138,,Hidden Rim,UNK,AZ,Other Lands with Wilderness Characteristics,{2EB0917C-BE30-45B3-9823-59E075010888},61376.8953647625,63929155.8812121
139,,Grand Wash Addition,UNK,AZ,Other Lands with Wilderness Characteristics,{66772DC9-B987-4458-BEF6-3EFA0FB262D6},19830.0887237865,1094132.82099917
140,,Big Horn Mountains,UNK,AZ,Other Lands with Wilderness Characteristics,{750E3A2E-F473-4F9B-8A33-4A6333631C15},5533.63844286947,1494550.76681739
141,,Hummingbird Springs,UNK,AZ,Other Lands with Wilderness Characteristics,{059894D2-A872-44FC-893F-4EF1B19B25F2},87111.5033793636,54471447.7958296
142,,West Silverbell Mountains,UNK,AZ,Other Lands with Wilderness Characteristics,{4B651E7A-558B-4252-9891-B6BE61E494D7},20975.7183576895,13452718.3185191
143,,Mociac Well,UNK,AZ,Other Lands with Wilderness Characteristics,{1D0ECDD2-2C30-49B9-A94A-12983410D4EE},3281.04079332413,22179.3120597831
145,,Sand Hills,UNK,AZ,Other Lands with Wilderness Characteristics,{E4CA2A48-EC84-48C0-875C-197CA7CCEEE7},29176.7386942842,35017110.2855441
147,,Lost Spring 1,UNK,AZ,Other Lands with Wilderness Characteristics,{AD6BB824-B032-4EA3-8A41-ACCED78B6D29},47671.6908118431,39292824.879801
148,,Javalina Mountains North,UNK,AZ,Wilderness Characteristic Protection Area,{801751A5-BBEF-4EB0-95E5-7F968265C1FF},97847.5465570152,148759550.879804
149,,Lower Burro Creek,UNK,AZ,Other Lands with Wilderness Characteristics,{BFBF9324-C799-4B42-A8A2-FDFFFC79FD6A},62369.8892462935,91263638.1643306
150,,Ferry Swale 1,UNK,AZ,Other Lands with Wilderness Characteristics,{8B1621D0-A363-45F6-BB2C-E208D6A476AC},11726.6466084661,6014839.4229271
151,,Virgin Peak Ridge,UNK,AZ,Wilderness Characteristic Protection Area,{4518C080-8AA6-4E5A-A028-03F49C90F3FD},26191.5211029446,12703813.1424662
152,,Hidden Hills 1,UNK,AZ,Other Lands with Wilderness Characteristics,{851A1A0E-919B-4C01-A2BA-3C2573A7B011},38701.165422474,54979313.4410274
154,,Shed Valley,UNK,AZ,Other Lands with Wilderness Characteristics,{93D3A705-423B-4DCF-85C4-5F19E1C44FBF},27800.9407039757,30550973.0372783
155,,Black Mountain,UNK,AZ,Wilderness Characteristic Protection Area,{09834CC5-2522-4DF2-8BDE-A0A464173ECA},31434.8657243576,43399036.2078536
156,,Red Pocket,UNK,AZ,Other Lands with Wilderness Characteristics,{FA1CA90E-3F2C-4230-A62B-FE6E3AE8B2A4},20207.3481411461,13464360.6357443
