OBJECTID,ParcelId,CreateUser,CreateDate,EditUser,EditDate,UsageClass,PlanYear,Shape__Area,Shape__Length
3429,RES_3301,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,75680.3355102539,1435.4801436391
3430,RES_919,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,20281.8012695313,619.290701516201
3431,RES_1042,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,110392.244018555,2300.59844085172
3432,RES_1958,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,28948.0294799805,771.290059043488
3433,RES_1094,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,59384.446472168,1239.40445747781
3434,RES_2112,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,73508.0690307617,1153.82721226325
3435,RES_1167,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,16781.5215454102,514.148931569089
3436,RES_2209,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,712251.169921875,3270.59472502792
3437,COMM_138,,,LANDUSE,2020/07/25 00:52:22+00,9.0,0.0,45410.4832763672,1038.04229567553
3438,RES_525,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,103072.036315918,1404.91912115116
3439,RES_641,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,193967.768249512,2604.68011181924
3440,RES_750,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,20701.9317016602,696.210289057193
3441,RES_1639,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,66984.4705200195,1424.11432142266
3442,IND_3123,,,WILLIADU,2020/10/20 21:20:24+00,9.0,0.0,709812.579833984,3599.71949627814
3443,RES_1243,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,47407.7233276367,1132.83994859522
3444,RES_1206,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,109881.34375,2185.91112107507
3445,OS_3613,,,LANDUSE,2020/07/25 00:52:22+00,8.0,0.0,211624.872436523,2267.55397637726
3446,RES_739,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,22997.1715087891,649.9037094143
3447,RES_2209,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,130237.784484863,2097.99683706464
3448,RES_1550,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,96668.9088745117,2050.15586513264
3449,RES_3396,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,106879.205078125,2420.81208762792
3450,OS_3603,,,LANDUSE,2020/07/25 00:52:23+00,8.0,0.0,281751.291137695,2291.81250956687
3451,RES_708,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,87750.6759643555,1808.96532310447
3452,RES_2735,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,197049.719970703,3785.10857527355
3453,RES_1999,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,85636.8410644531,1806.61051199714
3454,RES_1381,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,117164.10357666,2401.1554876771
3455,RES_2867,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,47637.8176269531,1122.69198799877
3456,RES_748,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,19909.7808227539,674.208358511716
3457,RES_1868,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,25025.085144043,710.53714254317
3458,COMM_35,,,LANDUSE,2020/07/25 00:52:23+00,1.0,0.0,169161.11920166,1847.35276535467
3459,RES_2825,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,61378.7155151367,1386.96838126211
3460,COMM_3421,,,LANDUSE,2020/07/25 00:52:23+00,1.0,0.0,200629.744445801,3046.4176912918
3461,IND_262,,,LANDUSE,2020/07/25 00:52:23+00,3.0,0.0,901908.449707031,4982.98774839836
3462,MIXED USE_3088,,,LANDUSE,2020/07/25 00:52:23+00,2.0,0.0,33259.1665649414,736.730902433832
3463,RES_978,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,59222.0453491211,1324.89199708079
3464,RES_700,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,163502.693115234,1583.42672188474
3465,COMM_21,,,LANDUSE,2020/07/25 00:52:23+00,1.0,0.0,89547.2958984375,1455.03220247585
3466,RES_1950,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,56308.6756591797,1264.52858985144
3467,RES_1634,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,34946.664855957,810.610251297987
3468,RES_452,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,140525.094543457,2504.23220313356
3469,RES_1571,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,53989.7392578125,1261.10924052607
3470,RES_2766,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,172383.212097168,1719.3145248957
3471,RES_2780,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,138716.623168945,2945.10083394702
3472,RES_3402,,,LANDUSE,2020/07/25 00:52:23+00,0.0,0.0,115298.947692871,2590.6919731632
3473,COMM_112,,,LANDUSE,2020/07/25 00:52:23+00,1.0,0.0,865948.309265137,5801.1444146023
