OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUNDED,DATAQUALITY,FLAGS,SHAPE_Length
1125,21213,S ROYAL BROUGHAM WAY,521,N,2018/11/27 00:00:00+00,575.0,641.0,7163.0,6455.0,7500,Study(Normalized),,320.218948203786
1126,"16939,16940,16938",NE 50TH ST,1499,N,2018/05/31 00:00:00+00,507.0,804.0,9078.0,8729.0,8300,Study(Normalized),,731.640029551071
1127,"20320,20319",S HOLGATE ST,488,N,2018/07/25 00:00:00+00,924.0,987.0,12628.0,11866.0,12200,Study(Normalized),,761.938188176296
1128,"13218,13220,13219",UNIVERSITY WAY NE,1415,N,2018/07/31 00:00:00+00,286.0,337.0,4498.0,4192.0,4400,Study(Normalized),,1305.96463949046
1129,"9318,9317,9316",BOREN AVE,893,B,2015/08/31 00:00:00+00,,,22258.0,20377.0,22300,Study - 13-15,,1158.04446995861
1130,12220,PINE ST,881,Y,,,,7500.0,,7500,Estimate,,321.730269551337
1131,"22456,22455,22445,22447,22446,22448","SW JACOBSEN RD,SW HUDSON ST",305,N,2018/01/02 09:15:00+00,149.0,194.0,2155.0,2052.0,2200,Study,,2968.20969089931
1132,"19331,19330,19329",S ALBRO PL,227,N,,,,13000.0,,13000,Estimate,,1529.82676822539
1133,"5358,5356,5357,5355",35TH AVE NE,1616,N,2015/10/22 00:00:00+00,,,10887.0,10252.0,10900,Study - 13-15,,2652.59246332697
1134,7231,5TH AVE,758,Y,,,,10000.0,,10000,Estimate,,305.913575162334
1135,"490131,9664",CHERRY ST,681,Y,2015/03/11 00:00:00+00,,,8526.0,7584.0,8500,Study - 13-15,,321.718193736712
1136,11665,MARION ST,683,Y,2018/09/13 00:00:00+00,546.0,614.0,7599.0,7222.0,8000,Study(Normalized),,321.82711943285
1137,"18068,18069",NE RAVENNA BLVD,1593,N,2018/02/12 06:15:00+00,399.0,375.0,4187.0,3946.0,4200,Study,,514.044794912231
1138,166849,BEACON AVE S,359,N,,,,6677.0,6094.0,12800,Estimate,Combined,3342.59440545569
1139,18067,NE RAVENNA BLVD,1596,N,2018/01/24 08:30:00+00,436.0,400.0,4764.0,4636.0,4800,Study,,320.116329492805
1140,"20630,20631,166681,20632,20629,20633",S LANDER ST,449,N,2018/07/25 00:00:00+00,498.0,597.0,6438.0,5700.0,6200,Study(Normalized),,1130.13460725325
1141,5002,32ND AVE NW,1787,N,2018/02/15 14:15:00+00,332.0,389.0,4337.0,4192.0,4300,Study,,1397.7601100817
1142,1008,1ST AVE,775,Y,2015/07/07 00:00:00+00,,,19420.0,18856.0,19400,Study - 13-15,,425.81966137378
1143,"3607,3606,3608",24TH AVE NW,1784,N,2017/12/12 12:15:00+00,706.0,847.0,9524.0,9039.0,9500,Study,,1376.15359478998
1144,"18072,18074,18073",NE RAVENNA BLVD,1585,N,2018/01/24 08:45:00+00,212.0,277.0,3047.0,2918.0,3000,Study,,666.960513404658
1145,"15540,15538,15536,15537,15539",N 45TH ST,1465,N,2018/01/05 12:00:00+00,88.0,157.0,1506.0,1458.0,1500,Study,,903.971503855702
1146,"9051,2211","BALLARD BR OFF RP,15TH AVE NW",1492,N,2018/08/02 00:00:00+00,409.0,621.0,6918.0,6729.0,6900,Study(Normalized),,486.753801788133
1147,10004,DENNY WAY,1064,B,,,,25000.0,,25000,Estimate,,321.623789130784
1148,6234,4TH AVE S,515,N,2018/06/19 00:00:00+00,3039.0,3193.0,37765.0,35893.0,36900,Study(Normalized),,338.44856916309
1149,"11262,11258,11261,11259,11260,11174,11252","LAKESIDE AVE S,LAKE WASHINGTON BLVD,LAKESIDE AVE",629,N,2017/11/08 12:45:00+00,895.0,773.0,7927.0,7480.0,7900,Study,,2929.238138011
1150,11051,JAMES ST,633,Y,2018/07/11 00:00:00+00,607.0,529.0,7486.0,6723.0,7300,Study(Normalized),,322.045953038716
1151,"22769,22770,22763,22765,22768,22764,22771,22766,22767",SW ROXBURY ST,74,N,2015/08/10 00:00:00+00,,,17082.0,15937.0,17100,Study - 13-15,,2323.2399108852
1152,"11822,11825,11823,11824,9701,9702,9700,9703","MERIDIAN AVE N,COLLEGE WAY N",1849,N,2017/10/17 10:45:00+00,627.0,714.0,8020.0,7846.0,8000,Study,,4723.78217194377
1153,1850,14TH AVE,901,N,,,,8000.0,,8000,Estimate,,356.80742744719
1154,"7152,10256,10247,10254,273778,10248,10253,10249,10251,10250,10255,10252","48TH AVE SW,ERSKINE WAY SW",286,N,2014/02/19 00:00:00+00,,,2684.0,2552.0,2700,Study - 13-15,,2781.16441964762
1155,"8621,8622,8620,8618,8619,10900,10901,10902","9TH AVE SW,HIGHLAND PARK WAY SW",150,N,2017/12/13 07:30:00+00,401.0,554.0,5824.0,5540.0,5800,Study,,4115.96601369257
1156,"11056,11055",JAMES ST,685,Y,2015/08/14 00:00:00+00,,,29257.0,27665.0,29300,Study - 13-15,,644.338739055196
1157,23584,W MERCER ST,1144,N,,,,10908.0,,10900,Estimate,,322.256918735997
1158,"23273,23274,23272",W EMERSON PL,1982,N,2014/02/20 00:00:00+00,,,14135.0,13485.0,14100,Study - 13-15,,821.129458388988
1159,"9981,9982,9980,9979",DELRIDGE WAY SW,177,N,,,,18500.0,,18500,Estimate,,1082.21165490412
1160,8690,AIRPORT WAY S,265,N,,,,20000.0,,20000,Estimate,,556.487339848502
1161,23620,W NICKERSON ST,1357,N,,,,3000.0,,3000,Estimate,,138.283832957889
1162,13597,WHITMAN PL N,1607,N,,,,4500.0,,4500,Estimate,,566.749607104864
1163,"4459,4458,4457,4460",3RD AVE NW,1644,N,2015/06/22 00:00:00+00,,,7075.0,6673.0,7100,Study - 13-15,,2400.20615771171
1164,"12709,12707,12708,12705,603012",SAND POINT WAY NE,1540,N,,,,18000.0,,18000,Estimate,,2770.91660814164
1165,"20483,20482",S JACKSON ST,573,B,,,,6600.0,,6600,Estimate,,644.024759260011
1166,"9988,9987",DELRIDGE WAY SW,114,N,2015/04/24 00:00:00+00,,,15117.0,14604.0,15100,Study - 13-15,,695.286491899915
1167,13530,WESTLAKE AVE,1020,Y,,,,4500.0,,4500,Estimate,,473.898176475347
1168,"13762,13763",YESLER WAY,612,Y,2014/08/06 00:00:00+00,,,6109.0,5948.0,6100,Study - 13-15,,472.527018204128
1169,7232,5TH AVE,772,Y,2018/06/15 00:00:00+00,1143.0,1062.0,17676.0,16763.0,17300,Study(Normalized),,305.957771653853
1170,"9487,9484,9485,9486",BROOKLYN AVE NE,1533,N,2018/06/29 00:00:00+00,125.0,228.0,2359.0,2372.0,2300,Study(Normalized),,2314.12452006053
1171,"8334,8335,8323,8333",8TH AVE NE,1679,N,2018/08/30 00:00:00+00,256.0,296.0,4096.0,3920.0,4100,Study(Normalized),,1049.17330029747
